"","entity","deepseek","gemma2","llama","llama70b","mistral","models_present","n_entity_types"
"43","4/55","Prevalence",NA,NA,NA,NA,1,1
"44","1/28","Prevalence",NA,NA,NA,NA,1,1
"45","2%","Prevalence","Prevalence",NA,"Proportion","Proportion of individuals that died",4,3
"46","1/36","Prevalence",NA,NA,NA,NA,1,1
"47","9/16","Prevalence",NA,NA,NA,NA,1,1
"48","5/26","Prevalence",NA,NA,NA,NA,1,1
"49","canine pathogens","Pathogen","Pathogen",NA,"Pathogen","Pathogen",4,1
"50","free-ranging jackals","Host","Host",NA,NA,"Host",3,1
"51","African ecosystems","Undefined","Ecological System","Ecosystem","Environment","Ecosystem",5,4
"52","rare and endangered canids","Host","Host","Host","Host",NA,4,1
"53","specific canine diseases","Disease",NA,"Disease",NA,NA,2,1
"54","Herpesvirus","Pathogen","Pathogen","Virus","Pathogen","Pathogen",5,2
"55","Urocyon littoralis","Host","Host",NA,"Host",NA,3,1
"56","Channel Islands","Location","Geographic Location","Geographic Location","Geographic location","Location",5,3
"57","California","Location","Geographic Location","Geographic Region","Location","Location",5,3
"58","USA","Location","Country","Country","Location","Country",5,2
"59","serologic survey","Epidemiologic study",NA,"Public Health Study","Study design","Study type",4,4
"60","canine adenovirus","Pathogen","Pathogen","Virus","Pathogen","Pathogen",5,2
"61","canine parvovirus","Pathogen","Pathogen","Virus","Pathogen","Pathogen",5,2
"62","canine herpesvirus","Pathogen","Pathogen","Virus","Pathogen","Pathogen",5,2
"63","canine coronavirus","Pathogen","Pathogen","Virus","Pathogen","Pathogen",5,2
"64","toxoplasmosis","Disease","Disease","Disease","Disease","Disease",5,1
"65","canine distemper virus","Pathogen","Pathogen","Virus","Pathogen","Pathogen",5,2
"66","antibody prevalence","Undefined",NA,"Measure","Proportion","Measurement",4,4
"67","194","Number of individuals that died","Number of individuals infected","Number of individuals that died","Number of individuals","Number of individuals infected",5,3
"68","59%","Proportion of individuals that died","Antibody prevalence","Proportion of individuals that died","Proportion of individuals that died","Proportion of individuals that died",5,2
"69","pestivirus","Pathogen","Pathogen",NA,"Pathogen","Pathogen",4,1
"70","Pyrenean Chamois","Common name","Host","Host","Host","Host",5,2
"71","Rupicapra pyrenaica pyrenaica","Host","Host","Species","Host","Species",5,2
"72","Spain","Location","Location","Country","Location","Country",5,2
"73","northeastern Spain","Geographical region","Geographic Location",NA,NA,NA,2,2
"74","2001-02","Duration","Time period","Time period","Time period","Year",5,3
"75","noncoding regions","Genomic region","Genetic Feature","Genomic feature","Genomic feature","Genetic Element",5,4
"76","border disease virus cluster","Outbreak","Outbreak",NA,NA,"Pathogen",3,2
"77","disease","Disease","Disease",NA,"Infectious disease","Disease",4,2
"78","16 of 17 chamois","Undefined",NA,NA,NA,NA,1,1
"79","82.1% to 88.1%","Proportion",NA,NA,"Proportion","Proportion",3,1
"80","study","Investigation",NA,"Research study",NA,"Research",3,3
"81","southern chamois","Host","Host","Host","Host","Host",5,1
"82","Rupicapra pyrenaica","Host","Host","Species","Host","Species",5,2
"83","border disease virus","Pathogen","Pathogen","Virus","Pathogen","causes",5,3
"84","central Pyrenees","Geographic location","Geographic Location","Geographic Region","Geographic location","Geographical location",5,4
"85","NE Spain","Geographic location","Geographic Location","Region","Location","Geographical location",5,5
"86","2001 and 2002","Duration",NA,NA,NA,NA,1,1
"87","42%","Proportion","Proportion","Proportion of individuals that died","Proportion of individuals that died","Proportion of individuals that died",5,2
"88","depression","Disease","Mental Health Condition","Mental health condition","Disease","Mental health condition",5,3
"89","weakness","Symptom","Symptom","Vulnerability","Symptom","Symptom",5,2
"90","movement difficulties","Symptom","Symptom","Symptom","Symptom","Symptom",5,1
"91","northern elephant seal","Host","Host","Mammal",NA,"Host",4,2
"92","Mirounga angustirostris","Host","Host",NA,"Host",NA,3,1
"93","California sea lion","Host","Host","Host","Host","Host",5,1
"94","Zalophus californianus","Host",NA,NA,"Host","Host",3,1
"95","Urate nephrolithiasis","Disease","Disease","Disease","Disease","Disease",5,1
"96","Nephrolithiasis","Disease",NA,NA,"Disease",NA,2,1
"97","Uric acid","Undefined",NA,NA,"Metabolite",NA,2,2
"98","Ammonium urate","Chemical compound",NA,NA,"Chemical compound",NA,2,1
"99","1-10 mm","Size","Size",NA,"Size range",NA,3,2
"100","1-15 mm","Measurement","Size",NA,"Size range",NA,3,3
"101","Kidneys","Organ",NA,NA,NA,NA,1,1
"102","Renal pelvic dilation","Symptom",NA,NA,"Symptom",NA,2,1
"103","Pyelonephritis","Disease",NA,NA,"Disease",NA,2,1
"104","Hydronephrosis","Disease",NA,NA,"Disease",NA,2,1
"105","Necropsy examination","Undefined",NA,NA,NA,NA,1,1
"106","Histopathology","Undefined",NA,"Diagnostic test",NA,NA,2,2
"107","white-tailed deer","Common name","Host","Host","Host","Host",5,2
"108","Odocoileus virginianus","Host","Host","Host","Host",NA,4,1
"109","Ehrlichia spp.","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"110","Ehrlichia chaffeensis","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"111","human granulocytic ehrlichiosis (HGE) agent","Pathogen",NA,NA,"Pathogen","Pathogen",3,1
"112","Ehrlichia-like organism","Pathogen",NA,"Pathogen",NA,NA,2,1
"113","Amblyomma americanum","Vector","Tick","Tick","Vector","Vector",5,2
"114","Ixodes scapularis","Vector","Vector","Vector","Vector","Vector",5,1
"115","serologic techniques","Method",NA,NA,NA,NA,1,1
"116","molecular techniques","Method",NA,NA,NA,NA,1,1
"117","culture techniques","Method",NA,NA,NA,NA,1,1
"118","indirect fluorescent antibody testing","Method",NA,"Technique","Technique","Technique",4,2
"119","nested polymerase chain reaction","Method",NA,NA,"Technique","Technique",3,2
"120","species-specific primers","Molecular biology tool",NA,NA,NA,NA,1,1
"121","16S rDNA fragments","Genetic material",NA,NA,"Molecular marker","Genetic material",3,2
"122","geometric mean titer = 111","Geometric mean titer",NA,NA,NA,NA,1,1
"123","geometric mean titer = 1,024","Measurement",NA,NA,NA,NA,1,1
"124","inguinal lymph node","Anatomical structure","Anatomical Structure","Lymph node",NA,NA,3,3
"125","neutrophil","Cell type","Immune cell","Cell type","Cell","Cell type",5,3
"126","Ehrlichia-type morula","Pathogen",NA,"Infectious agent","Pathogen component","Pathogen feature",4,4
"127","coastal Georgia","Location","Geographic Location",NA,"Geographic location","Geographical location",4,4
"128","southeastern United States","Geographical region","Geographic Region","Region","Region","Geographical region",5,3
"129","deer population","Host",NA,NA,NA,"Host",2,1
"130","coinfection","Event",NA,NA,NA,NA,1,1
"131","isolation","Event",NA,NA,NA,NA,1,1
"132","Antibodies","Immune response component","Immune Response Component","Immune response component","Immune response component","Immune response",5,3
"133","pathogenic agents","Pathogen",NA,NA,"Pathogen","Pathogen",3,1
"134","free-living wild species","Host",NA,NA,NA,NA,1,1
"135","Tanzania","Location","Country","Country","Location","Location",5,2
"136","535 sera","Number of individuals sampled",NA,NA,NA,NA,1,1
"137","eight species of wildlife","Host",NA,NA,NA,NA,1,1
"138","game areas","Undefined","Animal habitat",NA,"Habitat","Location",4,4
"139","1987","Year","Year","Year","Year","Year",5,1
"140","1989","Year","Year","Year","Year","Year",5,1
"141","foot-and-mouth disease","Disease","Disease",NA,"Disease","Disease",4,1
"142","bovine herpes virus types 1 and 2","Pathogen","Pathogen",NA,"Pathogen","Pathogen",4,1
"143","lumpy skin disease","Disease","Disease",NA,"Disease","Disease",4,1
"144","bovine viral diarrhoea","Disease","Disease",NA,"Disease","Disease",4,1
"145","Akabane","Disease","Disease","Virus","Disease","Disease",5,2
"146","bovine ephemeral fever","Disease","Disease",NA,"Disease","Disease",4,1
"147","bluetongue","Disease","Disease",NA,"Disease","Disease",4,1
"148","enzootic bovine leucosis","Disease","Disease",NA,"Disease","Disease",4,1
"149","African horse sickness","Disease","Disease","Disease","Disease","Disease",5,1
"150","African swine fever viruses","Pathogen",NA,NA,NA,NA,1,1
"151","Brucella abortus","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"152","buffalo","hosts","Host",NA,"Host","Host",4,2
"153","Syncerus caffer","Host","Host","Host","Host","Host",5,1
"154","wildebeest","hosts","Host",NA,"Host","Host",4,2
"155","Connochaetes taurinus","Host","Host","Host","Host","Host",5,1
"156","topi","Host","Common name",NA,"Host","Common name",4,2
"157","Damaliscus korrigum","Host","Host","Host","Host","Host",5,1
"158","zebra","Host",NA,NA,NA,NA,1,1
"159","wart hog","Host","Host",NA,"Host","Common name",4,2
"160","Bacterial valvular endocarditis","Disease","Disease",NA,"Disease",NA,3,1
"161","Black bear","Common name",NA,NA,NA,NA,1,1
"162","Ursus americanus","Host","Host","Species","Host","Host",5,2
"163","Labrador","Host","Animal breed","Breed","Host","Breed",5,3
"164","Fall 1991","Undefined",NA,NA,NA,NA,1,1
"165","Radio-collared","Study subject",NA,NA,NA,NA,1,1
"166","Coagulase-positive Staphylococcus aureus","Pathogen",NA,NA,NA,NA,1,1
"167","Valvular endocarditis","Disease",NA,NA,NA,NA,1,1
"168","Infection","Disease",NA,"Disease","Disease",NA,3,1
"169","Organs","Body part",NA,NA,NA,NA,1,1
"170","parainfluenza 3 virus","Pathogen","Virus","Virus","Pathogen","Pathogen",5,2
"171","bison","Host",NA,NA,"Host",NA,2,1
"172","Bison bison","Host","Host","Host","Host","Host",5,1
"173","Delta bison","Host","Animal subspecies","Species","Host","Host",5,3
"174","Delta Junction","Location",NA,"Location","Location","Location",4,1
"175","Alaska","Location","Geographic Location","Geographic Location","Location","Location",5,2
"176","serum antibody prevalence","Undefined",NA,NA,NA,"Indicator",2,2
"177","0%","Proportion","Proportion",NA,NA,"Proportion of individuals that died",3,2
"178","1977","Year","Year","Year","Year","Year",5,1
"179","domestic cattle","Host","Host",NA,NA,"Host",3,1
"180","clinical disease","Disease","Disease",NA,"Disease","Disease",4,1
"181","productivity","Undefined","Ecological Factor",NA,NA,"Economic impact",3,3
"182","Rocky Mountain cougars","Host","Wildlife",NA,"Host","Species",4,3
"183","Puma concolor","Host","Host","hosts","Host","hosts",5,2
"184","feline immunodeficiency virus (FIV)","Pathogen",NA,NA,NA,NA,1,1
"185","feline parvovirus (FPV)","Pathogen",NA,NA,NA,NA,1,1
"186","feline coronavirus (FCoV)","Pathogen",NA,NA,NA,NA,1,1
"187","feline calicivirus (FCV)","Pathogen",NA,NA,NA,NA,1,1
"188","feline herpesvirus (FHV)","Pathogen",NA,NA,NA,NA,1,1
"189","Yersinia pestis","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"190","serological and genetic material","Biological sample",NA,NA,NA,NA,1,1
"191","15 years","Duration","Duration","Duration","Duration","Duration",5,1
"192","1990-2004","Duration","Time period","Time period","Time period","Time period",5,2
"193","207 cougars","Number of individuals",NA,NA,NA,NA,1,1
"194","four populations","Population","Group","Population","Host","Group",5,3
"195","Rocky Mountains","Geographical location","Geographic Location","Geographical feature","Geographic location","Geographical location",5,4
"196","serologic data","Evidence",NA,NA,NA,NA,1,1
"197","annual variation","Property",NA,NA,"Ecological pattern","Event",3,3
"198","seroconversions","Undefined","Laboratory finding","Measurement","Immune response","Event",5,5
"199","epidemic","Property","Outbreak","Property","Disease Outbreak",NA,4,3
"200","endemic","Property","Descriptive Term","Property","Disease characteristic",NA,4,3
"201","family membership","Family","Social construct","Social relationship","Demographic characteristic","Demographic",5,5
"202","Hawaiian monk seal","Common name","Host","Host","Host","Species",5,3
"203","Monachus schauinslandi","Species","Species","hosts","hosts","hosts",5,2
"204","1997-2001","Duration",NA,NA,NA,NA,1,1
"205","northwestern Hawaiian Islands","Geographic location","Geographic Location","Geographic Location",NA,"Geographical location",4,3
"206","25%","Proportion","Proportion","Proportion of individuals that died",NA,"Proportion of individuals that died",4,2
"207","332 animals","Number of individuals",NA,NA,NA,"Number of individuals",2,1
"208","viruses","Pathogen","Pathogen",NA,NA,"Pathogen",3,1
"209","bacteria","Pathogen","Pathogen",NA,"Pathogen","Pathogen",4,1
"210","parasites","Pathogen","Pathogen","Ectoparasite","Pathogen","Pathogen",5,2
"211","phocine herpesvirus-1","Pathogen","Pathogen","Virus",NA,"Pathogen",4,2
"212","Leptospira bratislava","Bacteria","Pathogen","Pathogen","Pathogen","Pathogen",5,2
"213","Leptospira hardjo","Bacteria",NA,NA,NA,"Pathogen",2,2
"214","Leptospira icterohaemorrhagiae","Bacteria",NA,NA,NA,"Pathogen",2,2
"215","Leptospira pomona","Bacteria",NA,NA,NA,"Pathogen",2,2
"216","Brucella spp.","Bacteria","Pathogen","Pathogen","Pathogen","Pathogen",5,2
"217","B. canis","Bacteria","Pathogen","Pathogen","Pathogen",NA,4,2
"218","Chlamydophila abortus","Bacteria","Pathogen","Pathogen","Pathogen","Pathogen",5,2
"219","Toxoplasma gondii","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"220","Dirofilaria immitis","Pathogen","Pathogen","Nematode","Pathogen","Pathogen",5,2
"221","morbilliviruses","Pathogen","Virus","Virus",NA,"Virus",4,2
"222","polymerase reaction","Laboratory technique",NA,NA,NA,"Technique",2,2
"223","Ehrlichia sp.-like organism","Pathogen",NA,NA,NA,"Pathogen",2,1
"224","DGA","Primer","Primer",NA,"Primer","Unknown",4,2
"225","GA1UR","Primer","Primer",NA,"Primer","Unknown",4,2
"226","DCH","Primer",NA,NA,"Primer","amplifies",3,2
"227","GE9f","Primer","Primer",NA,"Primer","Undefined",4,2
"228","16S rDNA","Genetic marker","Genetic Marker","Molecular marker",NA,"Genetic marker",4,3
"229","control samples","Control group",NA,NA,NA,"Research sample",2,2
"230","white blood cells","Undefined","Immune cell",NA,NA,"Cell type",3,3
"231","DNA","Genetic material","Biomolecule","Molecule",NA,"Biological molecule",4,4
"232","deer","Host",NA,NA,"Host","Host",3,1
"233","Anthrax","Disease","Disease","Zoonotic Bacterial Disease","Disease","Disease",5,2
"234","Luangwa Valley","Location","Geographic Location","Geographic Location","Geographic location","Geographical location",5,4
"235","Zambia","Location","Country","Country","Location","Country",5,2
"236","hippos","Host","Host",NA,NA,"Host",3,1
"237","Hippopotamus amphibius","Host","Host","Host","Host","Host",5,1
"238","4000 deaths","Number of individuals that died",NA,NA,"Number of individuals that died",NA,2,1
"239","June and November 1987","Time period",NA,NA,NA,NA,1,1
"240","Cape buffalo","Undefined","Host","Host","Host","Host",5,2
"241","elephant","Host","Host",NA,NA,"Host",3,1
"242","Loxodonta africana","Host","Host","Host","Host","Host",5,1
"243","August and September 1988","Duration",NA,NA,NA,NA,1,1
"244","100 km up-river","Location",NA,NA,NA,NA,1,1
"245","August 1989","Date","Time",NA,NA,NA,2,2
"246","field study","Study type","Observational Study",NA,NA,NA,2,2
"247","Bacillus anthracis","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"248","environmental contamination","Environmental factor",NA,NA,NA,"Process",2,2
"249","risks to people","Public Health Risk",NA,NA,NA,NA,1,1
"250","control methods","Intervention",NA,NA,NA,NA,1,1
"251","local laboratory staff","Laboratory",NA,NA,NA,"Person",2,2
"252","continued monitoring","Public health action",NA,NA,NA,NA,1,1
"253","enzootic status","Status",NA,NA,NA,"Disease status",2,2
"254","Spirochetes","Pathogen","Pathogen","Bacteria","Pathogen","Pathogen",5,2
"255","Borrelia burgdorferi","Pathogen","Pathogen","Pathogen","Pathogen","causes",5,2
"256","black-tailed jackrabbit","Host","Host","Host",NA,"Host",4,1
"257","Lepus californicus californicus","Host","Host","Host","Host","Host",5,1
"258","Columbian black-tailed deer","Host","Host","Host","Host","Common name",5,2
"259","Odocoileus hemionus columbianus","Host","Host","Host","Host","Host",5,1
"260","ticks","Tick","Host","Vector","Vector",NA,4,3
"261","Ixodidae","Vector",NA,"Arachnid family","Vector",NA,3,2
"262","Dermacentor occidentalis","Tick","Host","Tick species","Tick species","Host",5,3
"263","D. parumapertus","Tick","Host","Tick species","Tick species","Host",5,3
"264","Ixodes neotomae","Tick","Host","Tick species","Tick species","Host",5,3
"265","I. pacificus","Tick","Host","Tick species","Tick species","Host",5,3
"266","Haemaphysalis leporispalustris","Tick","Host","Tick species","Tick species","Host",5,3
"267","Borrelia-specific monoclonal antibody (H9724)","Immunological entity",NA,NA,NA,NA,1,1
"268","Borrelia burgdorferi-specific monoclonal antibody (H5332)","Immunological entity",NA,NA,NA,NA,1,1
"269","indirect immunofluorescence","Technique",NA,NA,"Diagnostic technique","Method",3,3
"270","direct immunofluorescence","Diagnostic method",NA,NA,"Diagnostic technique","Method",3,3
"271","northern California","Location",NA,NA,NA,"Geographical location",2,2
"272","Lyme borreliosis","Disease","Disease","Infectious disease","Disease","Disease",5,2
"273","spirochetemia","Disease",NA,NA,NA,NA,1,1
"274","bovine tuberculosis","Disease","Disease",NA,NA,"Disease",3,1
"275","badger","Host",NA,"Mammal",NA,NA,2,2
"276","Meles meles","Host","Host","Host","Host","Species",5,2
"277","south-west England","Geographical region","Geographic Location","Region",NA,"Geographical location",4,4
"278","high-density badger population","Host population",NA,"Host",NA,NA,2,2
"279","culling","Disease control measure",NA,NA,NA,NA,1,1
"280","British cattle","Host","Host","Host","Host","Host",5,1
"281","culture of clinical samples","Laboratory procedure","Diagnostic tool",NA,NA,NA,2,2
"282","excretion of bacilli","Transmission",NA,NA,NA,NA,1,1
"283","demographic processes","Population characteristic",NA,"Process",NA,"Process",3,2
"284","movement","Transmission","Transmission","Process",NA,"Process",4,2
"285","social organization","Social structure","Not enough information provided","Property",NA,"Process",4,4
"286","disease dynamics","Disease dynamics","Phenomenon","Process",NA,"Process",4,3
"287","probability of TB incidence","Probability",NA,NA,NA,NA,1,1
"288","incident case","Undefined",NA,NA,NA,"Event",2,2
"289","group size instability","Ecological factor",NA,NA,NA,NA,1,1
"290","group size reduction","Undefined",NA,NA,NA,NA,1,1
"291","individual movement","Movement",NA,NA,NA,NA,1,1
"292","group-level movement","Movement pattern",NA,NA,NA,NA,1,1
"293","proportion of females","Proportion of females",NA,NA,NA,NA,1,1
"294","social structure","Population characteristic","Contextual Factor",NA,NA,"Process",3,3
"295","Mycobacterium bovis","Pathogen",NA,NA,NA,NA,1,1
"296","Bos taurus","Host",NA,NA,NA,NA,1,1
"297","Clostridium perfringens","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"298","polar bears","Host","Host","Host","Host","Host",5,1
"299","Ursus maritimus","Species","Host","Species","Host","Host",5,2
"300","Svalbard, Norway","Geographical location",NA,NA,NA,NA,1,1
"301","fecal samples","Sample type","Biological Sample","Biological sample","Sample","Sample type",5,4
"302","92","Number of individuals","Number of individuals that died","Number","Number of individuals",NA,4,3
"303","40","Number of individuals that died","Number of individuals that died","Number","Number of individuals",NA,4,3
"304","44%","Proportion of individuals that died","Proportion","Proportion of individuals that died","Proportion of individuals that died","Proportion of individuals that died",5,2
"305","30 strains","Pathogen",NA,NA,NA,NA,1,1
"306","beta2-toxin gene","Gene",NA,NA,NA,NA,1,1
"307","gastrointestinal tract","Anatomical location","Anatomical Structure","Anatomical structure","Anatomical system","Anatomical structure",5,4
"308","occurrence","Event",NA,NA,NA,NA,1,1
"309","fluorescent antibody analysis","Laboratory technique","Diagnostic Technique",NA,NA,"Diagnostic method",3,3
"310","lone star tick","Vector","Vector","Vector",NA,"Vector",4,1
"311","human ehrlichiosis","Disease","Disease","Disease",NA,NA,3,1
"312","1982 through 1992","Duration",NA,NA,NA,"Time period",2,2
"313","300","Number of individuals that died",NA,NA,"Number of individuals",NA,2,2
"314","125","Number of individuals","Undefined",NA,"Number of individuals that died",NA,3,3
"315","41.7%","Proportion of individuals that died","Proportion","Proportion","Proportion",NA,4,2
"316","150","Undefined","Undefined","Number of individuals that died","Number of individuals",NA,4,3
"317","121","Number of individuals",NA,"Number of individuals that died","Number of individuals",NA,3,2
"318","80.7%","Proportion","Proportion","Proportion","Proportion",NA,4,1
"319","2","Number of individuals that died","Undefined","Host","Number",NA,4,4
"320","6.7%","Proportion","Proportion","Proportion of individuals that died","Proportion",NA,4,2
"321","Staphylococcus aureus","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"322","Human-associated Staphylococcus aureus","Pathogen",NA,NA,NA,NA,1,1
"323","Great apes","Host",NA,NA,NA,NA,1,1
"324","Western lowland gorilla","Host",NA,NA,NA,NA,1,1
"325","Gorilla gorilla gorilla","Host","Host",NA,"Host",NA,3,1
"326","Chimpanzee","Host",NA,NA,NA,NA,1,1
"327","Pan troglodytes","Host","Host",NA,"Host","Host",4,1
"328","Staphylococcal sepsis","Disease",NA,NA,NA,NA,1,1
"329","Necrotizing wound","Disease",NA,NA,NA,NA,1,1
"330","International Centre for Medical Research of Franceville","Research Institution","Research Institution","Research Institution","Research Institution","Research Institution",5,1
"331","Primate facility","Facility",NA,NA,NA,NA,1,1
"332","human leptospirosis","Disease",NA,NA,NA,NA,1,1
"333","Leptospira licerasiae","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"334","Leptospira licerasiae serovar Varillal","Pathogen",NA,NA,"Pathogen","Pathogen",3,1
"335","Rattus species","Host","Host",NA,"Host","Host",4,1
"336","Rattus norvegicus","Host","Host","Species","Host","Host",5,2
"337","R. rattus","Host","Host","Species","Host",NA,4,2
"338","Peruvian Amazon","Geographical region","Ecosystem","Ecosystem","Ecosystem","Geographical location",5,3
"339","Iquitos region","Geographical region","Geographic Location","Geographic region","Geographic location","Geographical location",5,5
"340","urban","Environment",NA,NA,NA,"Environment",2,1
"341","peri-urban","Geographical location",NA,NA,NA,"Location",2,2
"342","rural","Undefined",NA,NA,NA,"Location",2,2
"343","serological typing","Process","Method",NA,NA,"Process",3,2
"344","16S ribosomal RNA gene sequencing","Process","Method",NA,NA,"Process",3,2
"345","pulsed-field gel electrophoresis","Process","Method",NA,NA,NA,2,2
"346","DNA-DNA hybridization analysis","Process","Method","Measurement",NA,"Process",4,3
"347","VAR 010(T)","Pathogen","Strain","Virus","Virus strain","Variant",5,5
"348","Leptospira fainei","Pathogen","Pathogen",NA,NA,"Pathogen",3,1
"349","Leptospira inadai","Pathogen","Pathogen",NA,NA,"Pathogen",3,1
"350","microscopic agglutination test (MAT)","Diagnostic method",NA,NA,NA,NA,1,1
"351","LipL32","Antigen","Protein","Protein",NA,"Protein",4,2
"352","27 kDa","Measurement","Protein size","Molecular weight",NA,"Measurement",4,3
"353","32 kDa","Measurement","Protein size","Molecular weight",NA,"Measurement",4,3
"354","six isolates","Measurement",NA,NA,NA,NA,1,1
"355","two isolates","Measurement",NA,NA,NA,NA,1,1
"356","881 febrile patients","Measurement",NA,NA,"Host",NA,2,2
"357","45 Leptospira isolates","Measurement",NA,NA,"Pathogen isolates",NA,2,2
"358","30%","Measurement","Proportion","Proportion of individuals that died","Proportion","Proportion of individuals that died",5,3
"359","7%","Measurement","Proportion","Proportion of individuals that died","Proportion","Proportion of individuals that died",5,3
"360","Mycoplasma alligatoris sp. nov.","Pathogen","Pathogen",NA,"Pathogen","Pathogen",4,1
"361","American alligators","Host","Host","Host","Host","Host",5,1
"362","Alligator mississippiensis","Host","Host","Host","Host","Host",5,1
"363","multiple tissues","Host",NA,NA,"Anatomical system",NA,2,2
"364","A21JP2T","Identifier","Unknown","Pathogen","Protein","Unknown",5,4
"365","ATCC 700619T","Strain","Strain","Strain","Strain","Strain",5,1
"366","Mycoplasma alligatoris","Pathogen",NA,"Pathogen","Pathogen",NA,3,1
"367","indirect fluorescent antibody test","Diagnostic method","Diagnostic test",NA,NA,"Diagnostic test",3,2
"368","1269","Number of individuals","Number of individuals infected","Number",NA,"Study Identifier",4,4
"369","544","Number","Number of individuals infected","Number of individuals that died",NA,"Number of individuals that died",4,3
"370","43%","Proportion of individuals that died","Proportion","Proportion of individuals that died",NA,"Proportion of individuals that died",4,2
"371","Alabama","Location","Location","US State","Location","Location",5,2
"372","Arkansas","Geographical region","Location","US State","Location","Location",5,3
"373","Florida","Geographical region","Geographic Location","Geographic Location","Location","Location",5,3
"374","Georgia","Location","Location","Country","Location","Location",5,2
"375","Illinois","Location","Location","US State","Location","Location",5,2
"376","Kentucky","Location","Location","US State","Location","Location",5,2
"377","Maryland","Location","Location","US State","Location","Location",5,2
"378","Massachusetts","Location","Location","US State","Location","Location",5,2
"379","Mississippi","Geographical region","Location","State","Location","Geographical location",5,4
"380","Missouri","Location","Location","US State","Location","Location",5,2
"381","North Carolina","Location","Location","US State","Location","Location",5,2
"382","South Carolina","Location","Geographic Location","US State","Location","Location",5,3
"383","Tennessee","Location","Location","US State","Location","Location",5,2
"384","Texas","Location","Geographic Location","US State","Location","Location",5,3
"385","Virginia","Location","Location","US State","Location","Geographical location",5,3
"386","West Virginia","Location","Location","State","Location","Location",5,2
"387","southern latitude","Geographical location",NA,NA,NA,NA,1,1
"388","low elevation","Geographical factor","Environmental Factor",NA,NA,"Environmental factor",3,3
"389","milder climatic conditions","Environmental factor","Environmental Factor",NA,NA,"Environmental factor",3,2
