source_text,target_text,relation_type,doc_id
4,6.7%,measurement of,59859
serum samples,southeastern United States,collected from,59859
serum samples,1982 through 1992,collected during,59859
Ehrlichia chaffeensis,serum samples,detected in,59859
fluorescent antibody analysis,Ehrlichia chaffeensis,detected,59859
Staphylococcus aureus,Necrotizing wound,causes,56156
Human-associated Staphylococcus aureus,Infection,causes,56156
International Centre for Medical Research of Franceville,Staphylococcus aureus,isolated,56156
Primate facility,Staphylococcus aureus,isolated,56156
Great apes,Human-associated Staphylococcus aureus,infected by,56156
Western lowland gorilla,Human-associated Staphylococcus aureus,infected by,56156
Chimpanzee,Human-associated Staphylococcus aureus,infected by,56156
Pan troglodytes,Human-associated Staphylococcus aureus,infected by,56156
Leptospira licerasiae serovar Varillal,Rattus norvegicus,isolated from,56805
Leptospira licerasiae serovar Varillal,human leptospirosis,associated with,56805
Leptospira licerasiae serovar Varillal,microscopic agglutination test (MAT),identified using,56805
Leptospira licerasiae serovar Varillal,16S ribosomal RNA gene sequencing,identified using,56805
Mycoplasma alligatoris sp. nov.,American alligators,infects,57753
Mycoplasma alligatoris sp. nov.,Alligator mississippiensis,infects,57753
Mycoplasma alligatoris,American alligators,infects,57753
Mycoplasma alligatoris,Alligator mississippiensis,infects,57753
Mycoplasma alligatoris sp. nov.,multiple tissues,found in,57753
Mycoplasma alligatoris,multiple tissues,found in,57753
Mycoplasma alligatoris sp. nov.,Mycoplasma alligatoris,is,57753
A21JP2T,ATCC 700619T,is,57753
American alligators,Mycoplasma alligatoris sp. nov.,hosts,57753
Alligator mississippiensis,Mycoplasma alligatoris sp. nov.,hosts,57753
544,white-tailed deer,tested,59860
indirect fluorescent antibody test,antibodies,detects,59860
antibody prevalence,43%,was,59860
southeastern United States,Alabama,includes,59860
natural history,milder climatic conditions,is influenced by,59860
antibody prevalence,Ehrlichia spp.,of,59860
Brucella sp.,marine mammals,infects,59886
marine mammals,Brucella sp.,hosts,59886
Brucella sp.,pinnipeds,infects,59886
pinnipeds,Brucella sp.,hosts,59886
Brucella sp.,cetaceans,infects,59886
cetaceans,Brucella sp.,hosts,59886
Brucella sp.,harbor seals,infects,59886
harbor seals,Brucella sp.,hosts,59886
Brucella sp.,harp seals,infects,59886
harp seals,Brucella sp.,hosts,59886
brucellosis card test,Brucella sp.,detects,59886
buffered acidified plate antigen test,Brucella sp.,detects,59886
rivanol test,Brucella sp.,detects,59886
serum samples,brucellosis card test,tested using,59886
serum samples,buffered acidified plate antigen test,tested using,59886
serum samples,rivanol test,tested using,59886
Brucella sp.,lung,isolated from,59886
Brucella sp.,axillary lymph nodes,isolated from,59886
Brucella sp.,inguinal lymph nodes,isolated from,59886
Brucella sp.,prescapular lymph nodes,isolated from,59886
southern New England,Brucella sp.,study conducted in,59886
Connecticut,Brucella sp.,study conducted in,59886
Rhode Island,Brucella sp.,study conducted in,59886
119,serum samples,number of,59886
21,harbor seals,number of,59886
53,harp seals,number of,59886
14%,harbor seals,percentage of,59886
8%,harp seals,percentage of,59886
50%,harbor seals,percentage of,59886
33%,harp seals,percentage of,59886
Mycobacterium avium subsp. paratuberculosis,Brown bears,infects,57730
Brown bears,Mycobacterium avium subsp. paratuberculosis,hosts,57730
National Park Low Tatras,Slovakia,located in,57730
Tissue samples,Microscopy,examined by,57730
Tissue samples,Culture,examined by,57730
Acid-fast rods,Ziehl-Neelsen staining,detected by,57730
Kidney,Acid-fast rods,detected in,57730
Mycobacterium avium subsp. paratuberculosis,Intestinal mucosa,isolated from,57730
Mycobacterium avium subsp. paratuberculosis,Polymerase chain reaction,identified by,57730
Polymerase chain reaction,IS900,used for,57730
Mycobacterium avium subsp. paratuberculosis,RFLP analysis,classified by,57730
RFLP analysis,RFLP type B-C1,identified,57730
RFLP type B-C1,Cattle,detected in,57730
Mycobacterium avium subsp. paratuberculosis,Paratuberculosis,causes,57730
Brown bears,Mycobacterium avium subsp. paratuberculosis,infected by,57730
Salmonella enterica,Salmonella,subtype of,59832
San Miguel Island,Channel Islands,located in,59832
San Nicolas Island,Channel Islands,located in,59832
Puget Sound,Channel Islands,location of study,59832
Channel Islands,Puget Sound,has higher prevalence of,59832
Papio anubis,Papio anubis,no_relationship,60194
long-tailed macaques,long-tailed macaques,no_relationship,60248
Controrchis biliophilus,80%,prevalence of,60137
Trypanoxyuris minutus,40%,prevalence of,60137
Giardia sp.,27%,prevalence of,60137
Entamoeba sp.,8%,prevalence of,60137
Giardia sp.,Assemblages A and B,classified into,60137
Giardia duodenalis,Giardia sp.,species of,60137
Giardia duodenalis,people,infects,60137
Giardia duodenalis,domestic animals,infects,60137
Controrchis sp.,Alouatta palliata,infects,60134
Controrchis sp.,Ateles geoffroyi,infects,60134
Trypanoxyuris sp.,Alouatta palliata,infects,60134
Trypanoxyuris sp.,Ateles geoffroyi,infects,60134
Strongyloides sp.,Alouatta palliata,infects,60134
Strongyloides sp.,Ateles geoffroyi,infects,60134
Alouatta palliata,Controrchis sp.,hosts,60134
Alouatta palliata,Trypanoxyuris sp.,hosts,60134
Alouatta palliata,Strongyloides sp.,hosts,60134
Ateles geoffroyi,Controrchis sp.,hosts,60134
Ateles geoffroyi,Trypanoxyuris sp.,hosts,60134
Ateles geoffroyi,Strongyloides sp.,hosts,60134
prevalence,reproductive status,associated with,60134
prevalence,social status,associated with,60134
prevalence,age,associated with,60134
prevalence,sex,associated with,60134
prevalence,host population density,associated with,60134
prevalence,humidity,associated with,60134
species richness,reproductive status,associated with,60134
species richness,social status,associated with,60134
species richness,age,associated with,60134
species richness,sex,associated with,60134
species richness,host population density,associated with,60134
species richness,humidity,associated with,60134
Alouatta palliata,Controrchis sp.,has higher prevalence of,60134
Alouatta palliata,Trypanoxyuris sp.,has higher prevalence of,60134
lactating females,Controrchis sp.,have higher prevalence of,60134
protected areas,conservation strategies,part of,60134
parasite richness,age,is influenced by,60321
age,parasite richness,influences,60321
parasite richness,sex,is influenced by,60321
sex,parasite richness,influences,60321
parasite richness,body condition,is influenced by,60321
body condition,parasite richness,influences,60321
parasite richness,day range,is influenced by,60321
day range,parasite richness,influences,60321
parasite richness,temperature,is influenced by,60321
temperature,parasite richness,influences,60321
fecal samples,chacma baboons,were collected from,60321
chacma baboons,fecal samples,provided,60321
mixed models,parasite richness,were used to analyze,60321
parasite richness,mixed models,was analyzed using,60321
dry seasons,fecal samples,were the time frame for,60321
fecal samples,dry seasons,were collected during,60321
desert population,fecal samples,was the location for,60321
fecal samples,desert population,were collected in,60321
"Phocascaris cystophorae Berland, 1964",hooded seal Cystophora cristata,infects,59994
hooded seal Cystophora cristata,"Phocascaris cystophorae Berland, 1964",hosts,59994
Scanning electron microscopy,surface morphological characteristics,detected by,59994
excretory pore,"Phocascaris cystophorae Berland, 1964",surface morphological characteristic of,59994
interlabia knobs,"Phocascaris cystophorae Berland, 1964",surface morphological characteristic of,59994
lips and adjacent structures,"Phocascaris cystophorae Berland, 1964",surface morphological characteristic of,59994
caudal papillae and papilla-like structures,"Phocascaris cystophorae Berland, 1964",surface morphological characteristic of,59994
"Phocascaris cystophorae Berland, 1964",stomach,found in,59994
"Phocascaris cystophorae Berland, 1964",Contracaecum osculatum (sensu lato),compared with,59994
survey,western Arkansas,conducted in,60365
survey,ecology of the species,examined,60365
survey,29,collected,60365
survey,feces,collected,60365
survey,4.1,found average,60365
survey,+/-2.1,found standard deviation,60365
endoparasite community,nematodes,included,60365
endoparasite community,protozoa,included,60365
protozoa,13,had prevalence,60365
nematodes,9,had prevalence,60365
eastern spotted skunk,Spilogale putorius,is known as,60365
survey,March 2005,conducted from,60365
survey,January 2007,conducted to,60365
chamois,gastrointestinal helminths,infects,60360
chamois,lung helminths,infects,60360
gastrointestinal helminths,chamois,infects,60360
lung helminths,chamois,infects,60360
enzyme immunoassays (EIA),androgen,detects,60360
enzyme immunoassays (EIA),cortisol,detects,60360
enzyme immunoassays (EIA),oestrogen,detects,60360
hormone levels,one year,measured over,60360
parasite counts,one year,measured over,60360
male biased parasitism (MBP),gastrointestinal eggs,linked to,60360
male biased parasitism (MBP),lungworm larvae,linked to,60360
androgen,lungworm larvae,correlates with,60360
cortisol,lungworm larvae,correlates with,60360
gastrointestinal helminths,free-ranging Florida panthers,infects,60352
free-ranging Florida panthers,gastrointestinal helminths,hosts,60352
Puma concolor coryi,gastrointestinal helminths,hosts,60352
gastrointestinal helminths,Puma concolor coryi,infects,60352
free-ranging Florida panthers,southern Florida,found in,60352
Puma concolor coryi,six counties,found in,60352
free-ranging Florida panthers,1978,collected in,60352
free-ranging Florida panthers,2003,collected in,60352
gastrointestinal helminths,necropsy,examined by,60352
free-ranging Florida panthers,treated,divided into,60352
free-ranging Florida panthers,untreated,divided into,60352
untreated,nine species of helminths,had,60352
nine species of helminths,trematode,comprises,60352
nine species of helminths,six nematodes,comprises,60352
nine species of helminths,two cestodes,comprises,60352
Alaria marcianae,free-ranging Florida panthers,infects,60352
Spirometra mansonoides,free-ranging Florida panthers,infects,60352
Ancylostoma pluridentatum,free-ranging Florida panthers,infects,60352
Ancylostoma caninum,free-ranging Florida panthers,infects,60352
anthelmintics,free-ranging Florida panthers,treated,60352
treated,untreated,similar to,60352
anthelmintics,Alaria marcianae,reduces intensity of,60352
anthelmintics,Ancylostoma pluridentatum,reduces intensity of,60352
anthelmintics,Spirometra mansonoides,less effective on,60352
coyotes,coyotes,no_relationship,60155
Diphyllobothrium latum,Eurasian lynx,infects,60242
Eurasian lynx,Diphyllobothrium latum,hosts,60242
Diphyllobothrium latum,5%,prevalence of,60242
Taenia pisiformis,Eurasian lynx,infects,60242
Eurasian lynx,Taenia pisiformis,hosts,60242
Taenia pisiformis,100%,prevalence of,60242
Taenia laticollis,Eurasian lynx,infects,60242
Eurasian lynx,Taenia laticollis,hosts,60242
Taenia laticollis,41%,prevalence of,60242
Taenia hydatigena,Eurasian lynx,infects,60242
Eurasian lynx,Taenia hydatigena,hosts,60242
Taenia hydatigena,3%,prevalence of,60242
Aleutian Disease Virus,European mink,infects,60035
European mink,Aleutian Disease Virus,hosts,60035
Mustela lutreola,Aleutian Disease Virus,hosts,60035
Aleutian Disease Virus,Mustela lutreola,infects,60035
European mink,"Navarra, Spain",from,60035
Mustela lutreola,"Navarra, Spain",from,60035
February-March 2004,European mink,study conducted in,60035
February-March 2005,European mink,study conducted in,60035
September-December 2004,European mink,study conducted in,60035
84 European mink blood samples,"Navarra, Spain",tested in,60035
93 plasma samples,"Navarra, Spain",tested in,60035
9.6%,93 plasma samples,gamma globulin level in,60035
23 cadavers,"Navarra, Spain",examined in,60035
74%,23 cadavers,traumatic and hemorrhagic lesions in,60035
canine distemper virus,European mink,detected in,60035
pulmonary adiaspiromycosis,European mink,found in,60035
Elaeophorosis,Elaeophora elaphi,caused by,60186
Elaeophora elaphi,red deer,infects,60186
red deer,Elaeophora elaphi,hosts,60186
Elaeophorosis in red deer from Spain,Toledo Province,observed in,60186
Elaeophorosis in red deer from Spain,Spain,observed in,60186
Elaeophora elaphi,hepatic vessels,found in,60186
Elaeophora elaphi,151,detected in,60186
Elaeophorosis in red deer from Spain,October 1994 - September 1995,occurred during,60186
two to 18 nematodes per host,Elaeophorosis in red deer from Spain,measurement of,60186
Elaeophora elaphi,fallow deer,not found in,60186
microfilariae,blood samples,not detected in,60186
Negative,blood samples,result of,60186
Negative,microfilariae,result of,60186
Parafilaroides normani,Australian fur seal,infects,60142
Parafilaroides normani,New Zealand fur seal,infects,60142
Parafilaroides normani,sub-Antarctic fur seal,infects,60142
Australian fur seal,Parafilaroides normani,hosts,60142
New Zealand fur seal,Parafilaroides normani,hosts,60142
sub-Antarctic fur seal,Parafilaroides normani,hosts,60142
Parafilaroides normani,lungs,infects,60142
Parafilaroides normani,body size,has,60142
Parafilaroides normani,spicule shape and size,has,60142
Parafilaroides normani,vulva to anus length,has,60142
Parafilaroides normani,vaginal sphincter musculature,has,60142
Australian fur seal,Australia,found in,60142
New Zealand fur seal,New Zealand,found in,60142
sub-Antarctic fur seal,South Africa,found in,60142
Brugia beaveri,filaria,is,60342
Brugia beaveri,Procyon lotor,infects,60342
Procyon lotor,Brugia beaveri,hosts,60342
Brugia beaveri,domestic cat,infects,60342
domestic cat,Brugia beaveri,hosts,60342
Brugia beaveri,Meriones unguiculatus,infects,60342
Meriones unguiculatus,Brugia beaveri,hosts,60342
microfilariae,mosquitoes,develop in,60342
mosquitoes,Brugia beaveri,transmit,60342
Brugia beaveri,70-107 days,has prepatent period,60342
Brugia beaveri,internal organs,has,60342
microfilariae,peripheral blood,circulate in,60342
Taenia parva,Genetta genetta,infects,60214
Genetta genetta,Taenia parva,hosts,60214
Taenia parva,spermiogenesis,undergoes,60214
spermiogenesis,axoneme,characterized by,60214
axoneme,cytoplasmic extension,grows externally to,60214
cytoplasmic extension,free flagellum,fuses with,60214
free flagellum,cytoplasmic extension,fuses with,60214
spermiogenesis,type III spermiogenesis,classified as,60214
type III spermiogenesis,Bâ and Marchand,proposed by,60214
Taenia parva,mitochondria,lacks,60214
spermatozoa,mitochondria,lack,60214
spermatozoa,periaxonemal sheath,have,60214
spermatozoa,transverse intracytoplasmic walls,have,60214
flagellar rotation,45 degrees,observed at,60214
Taenia parva,cyclophyllideans,compared with,60214
Taenia parva,family Taeniidae,belongs to,60214
chimpanzee,Pan troglodytes,common name of,60302
Pan troglodytes,chimpanzee,latin name of,60302
tapeworm,Bertiella studeri,common name of,60302
Bertiella studeri,tapeworm,latin name of,60302
Kibale National Park,Uganda,located in,60302
Bertiella studeri,seven-month period,present during,60302
leaf-swallowing,rate,occurred at,60302
leaf-swallowing,seven-month period,associated with,60302
dung,tapeworm,contains,60302
dung,leaf-swallowing,contains,60302
"1,595 gastropods",Vallonia,85% were,60295
980 gastropods,Vallonia,1% were,60295
Antelope Island,"Utah, USA",located in,60295
May-August 2001-02,Antelope Island,study period in,60295
421 fecal pellet groups,113 bighorn sheep groups,collected from,60295
Protostrongylus spp.,421 fecal pellet groups,found in,60295
Protostrongylus spp.,riparian,97% prevalence in,60295
Protostrongylus spp.,rock,90% prevalence in,60295
Protostrongylus spp.,desert shrub,1% prevalence in,60295
perennial water sources,dry years,used more in,60295
nursery groups,Protostrongylus spp.,had 98% prevalence of,60295
ram groups,Protostrongylus spp.,had 78% prevalence of,60295
Longistrongylus curvispiculum,sable,is found in,60119
Longistrongylus curvispiculum,addax,is found in,60119
Longistrongylus curvispiculum,biesa oryx,is found in,60119
Longistrongylus curvispiculum,females,has,60119
Longistrongylus curvispiculum,males,has,60119
Longistrongylus curvispiculum,spicules,has,60119
Longistrongylus curvispiculum,Nematoda: Trichostrongyloidea,belongs to,60119
Longistrongylus curvispiculum,Haemonchus contortus,is different from,60119
sable,ranches,is on,60119
addax,ranches,is on,60119
biesa oryx,ranches,is on,60119
ranches,central Texas,are in,60119
central Texas,Texas,is in,60119
Texas,USA,is in,60119
Mesocestoides,wild carnivores,infects,60157
Mesocestoides,San Miguel Island (SMI),found in,60157
Mesocestoides,Hopland Research and Extension Center (HREC),found in,60157
Mesocestoides,California,found in,60157
Mesocestoides,deer mice,infects,60157
Mesocestoides,peritoneal tetrathyridial infections,causes,60157
Mesocestoides,coyotes,infects,60157
Mesocestoides,Canis latrans,infects,60157
Mesocestoides,island fox,infects,60157
Mesocestoides,Urocyon littoralis,infects,60157
Mesocestoides,western fence lizards,infects,60157
Mesocestoides,laboratory mice,infects,60157
Mesocestoides,proglottids,has life cycle stage,60157
Mesocestoides,tetrathyridia,has life cycle stage,60157
Mesocestoides,acephalic metacestodes,has life cycle stage,60157
Schistosoma mansoni,tourists,infects,60195
tourists,Schistosoma mansoni,hosts,60195
Schistosoma mansoni,Park residents,infects,60195
Park residents,Schistosoma mansoni,hosts,60195
Schistosoma mansoni,Suri people,infects,60195
Suri people,Schistosoma mansoni,hosts,60195
Schistosoma mansoni,Papio anubis,infects,60195
Papio anubis,Schistosoma mansoni,hosts,60195
Schistosoma mansoni,Cercopithecus aethiops,infects,60195
Cercopithecus aethiops,Schistosoma mansoni,hosts,60195
trematode larvae,Biomphalaria pfeifferi,found in,60195
Biomphalaria pfeifferi,Mui River,found in,60195
eggs,stools,detected by,60195
adult worms,stools,detected by,60195
41%,Schistosoma mansoni,measurement of,60195
33%,Schistosoma mansoni,measurement of,60195
27%,trematode larvae,measurement of,60195
group size,parasite infections,is related to,60135
group size,body contact,is associated with,60135
group size,contaminated items,is associated with,60135
body contact,range use,is associated with,60135
contaminated items,range use,is associated with,60135
exposure,DTP load,is related to,60135
exposure,DTP prevalence,is related to,60135
group size,intensity of home range use,is negatively correlated with,60135
group size,range area size,is positively correlated with,60135
DTP load,group size,is positively correlated with,60135
intensity of home range use,DTP prevalence,is not related to,60135
intensity of home range use,DTP load,is not related to,60135
microclimate,DTP load,may be more important in the dynamics of,60135
contact rate,DTP load,may be more important in the dynamics of,60135
immune function,DTP load,may be more important in the dynamics of,60135
New Mexico,USA,is located in,60291
bighorn sheep,Ovis canadensis,is also known as,60291
Elaeophorosis,Elaeophora schneideri,is caused by,60291
microfilariae,Elaeophora schneideri,are associated with,60291
"crusty, scabby lesions",carotid arteries,are located in,60291
"crusty, scabby lesions",iliac arteries,are located in,60291
mortality,adult ram,is higher in,60291
mortality,yearling ewe,is lower in,60291
"Setaria thwaitei Mönnig, 1933",sable antelope,infects,60229
"Setaria thwaitei Mönnig, 1933",roan antelope,infects,60229
"Setaria thwaitei Mönnig, 1933",waterbuck,infects,60229
sable antelope,"Setaria thwaitei Mönnig, 1933",hosts,60229
roan antelope,"Setaria thwaitei Mönnig, 1933",hosts,60229
waterbuck,"Setaria thwaitei Mönnig, 1933",hosts,60229
"Setaria thwaitei Mönnig, 1933",study,material source of,60229
roan antelope,study,material source of,60229
sable antelope,study,material source of,60229
gemsbuck,study,material source of,60229
study,original description,compared with,60229
measurements,adult worms,of,60229
scanning electron microscopy,anterior regions,of,60229
scanning electron microscopy,posterior regions,of,60229
scanning electron microscopy,female worms,of,60229
"Setaria thwaitei Mönnig, 1933",Setaria hornbyi,synonym of,60229
Mönnig,study,material of,60229
1933,study,material of,60229
Spirometra erinacei,Conepatus chinga,infects,60201
Conepatus chinga,Spirometra erinacei,hosts,60201
Andean hog-nosed skunk,Conepatus chinga,scientific name,60201
Conepatus chinga,Andean hog-nosed skunk,common name,60201
Spirometra erinacei,Cestoda,classified in,60201
Spirometra erinacei,Diphyllobothridae,classified in,60201
Conepatus chinga,small intestine,found in,60201
Spirometra erinacei,small intestine,found in,60201
Conepatus chinga,Abra La Raya,collected from,60201
Abra La Raya,Cusco,located in,60201
Cusco,Peru,located in,60201
Four,Spirometra erinacei,number of,60201
First report,Conepatus chinga,documents,60201
