,entity,doc_id,label
262,Haemulon carbonarium,24,Host
263,Florida Keys,24,Location
264,F. noatunensis,24,Pathogen
265,iglC,24,Gene
266,Thayer Martin agar media,24,Media
267,modified Thayer Martin agar media,24,Media
268,real-time PCR,24,Method
269,intracellular growth loci,24,Gene
270,subspecies orientalis,24,Subspecies
271,viral oncogene,25,concept
272,phospholipase C,25,concept
273,acutely transforming retroviruses,25,concept
274,protein kinases,25,concept
275,nuclear proteins,25,concept
276,growth factors,25,concept
277,GTP-binding proteins,25,concept
278,avian sarcoma virus CT10,25,concept
279,p47gag-crk,25,concept
280,tyrosine kinases,25,concept
281,bovine brain,25,location
282,phospholipase C,25,protein
283,African primates,26,species
284,human T-cell leukemia virus,26,pathogen
285,Cercopithecus,26,genus
286,Papio,26,genus
287,Theropithecus,26,genus
288,grivet monkey,26,species
289,Anubis baboon,26,species
290,Hamadryas baboon,26,species
291,gelada,26,species
292,Ethiopia,26,location
293,HTLV-I,26,pathogen
294,HTLV-I specific antigens,26,antigens
295,red-fronted lemurs,27,Host
296,Eulemur fulvus rufus,27,Scientific Name
297,Lemuriformes,27,Taxonomic Group
298,Kirindy Forest,27,Location
299,western Madagascar,27,Location
300,Gastro-intestinal parasites,27,Pathogen
301,Lemuricola vauceli,27,Scientific Name
302,Trichuris sp.,27,Scientific Name
303,Callistoura,27,Scientific Name
304,Trichostrongylid,27,Scientific Name
305,Strongyloid,27,Scientific Name
306,Anoplocephalid cestode,27,Scientific Name
307,Dicrocoeliid trematode,27,Scientific Name
308,Entamoeba sp.,27,Scientific Name
309,Balantidium coli,27,Scientific Name
310,Japanese serows,28,species
311,Capricornis crispus,28,scientific name
312,parapoxvirus,28,pathogen
313,Gifu Prefecture,28,location
314,Japan,28,location
315,bovine fetal testicle cell cultures,28,host
316,S-1,28,pathogen
317,Japanese serows,29,species
318,Capricornis crispus,29,scientific name
319,parapoxviruses,29,pathogen
320,orf virus,29,pathogen
321,bovine papular stomatitis virus,29,pathogen
322,ORFV,29,pathogen
323,BPSV,29,pathogen
324,sheep,29,host
325,goats,29,host
326,Eurasian otter,30,Host
327,Lutra lutra,30,Host
328,Helminth,30,Pathogen
329,Phagicola sp.,30,Pathogen
330,Aonchotheca putorii,30,Pathogen
331,Eucoleus schvalovoj,30,Pathogen
332,Strongyloides lutrae,30,Pathogen
333,Anisakis,30,Pathogen
334,Dirofilaria immitis,30,Pathogen
335,Gigantorhynchus sp.,30,Pathogen
336,France,30,Location
337,Portugal,30,Location
338,Spain,30,Location
339,Iberian Peninsula,30,Location
340,Europe,30,Location
341,Syncerus caffer,31,Species
342,Connochaetes taurinus,31,Species
343,Damaliscus korrigum,31,Species
344,Zebra,31,Species
345,Wart hog,31,Species
346,Buffalo,31,Host
347,Wildebeest,31,Host
348,Topi,31,Host
349,African horse sickness virus,31,Pathogen
350,African swine fever virus,31,Pathogen
351,Brucella abortus,31,Pathogen
352,Foot-and-mouth disease,31,Pathogen
353,Bovine herpes virus,31,Pathogen
354,Lumpy skin disease virus,31,Pathogen
355,Bovine viral diarrhoea,31,Pathogen
356,Akabane,31,Pathogen
357,Bovine ephemeral fever,31,Pathogen
358,Bluetongue,31,Pathogen
359,Enzootic bovine leucosis,31,Pathogen
360,Cryptosporidium,32,Pathogen
361,Cryptosporidiosis,32,Disease
362,Polonnaruwa,32,Location
363,Sri Lanka,32,Location
364,Non-human primates,32,Host
365,Toque macaques,32,Host
366,Gray langurs,32,Host
367,Purple-faced langurs,32,Host
368,Entamoeba spp.,32,Pathogen
369,Iodamoeba,32,Pathogen
370,Chilomastix,32,Pathogen
371,Balantidium spp.,32,Pathogen
372,Enterobius,32,Pathogen
373,Strongyloides,32,Pathogen
374,Monkeys,32,Host
375,Human,32,Host
376,Livestock,32,Host
377,Cyclospora cayetanensis,33,Pathogen
378,Nepal,33,Location
379,FTA filter-base polymerase chain reaction,33,Method
380,Dogs,33,Host
381,Chickens,33,Host
382,Monkeys,33,Host
383,Humans,33,Host
384,Eimeria sp.,33,Pathogen
385,Toxoplasma gondii,34,Pathogen
386,Felis rufus,34,Host
387,Bobcat,34,Host
388,Protozoa,34,Type
389,Meningoencephalitis,34,Disease
390,Toxoplasmosis,34,Disease
391,Hepatocystis,35,Pathogen
392,Plasmodiidae,35,Family
393,Plasmodium,35,Pathogen
394,Colobus guereza,35,Host
395,Cercopithecus mitis,35,Host
396,Lophocebus albigena,35,Host
397,Papio anubis,35,Host
398,Procolobus rufomitratus,35,Host
399,Cercopithecus ascanius,35,Host
400,Kibale National Park,35,Location
401,Uganda,35,Location
402,Burchell's zebra,36,Host
403,Equid herpesvirus 9,36,Pathogen
404,Thomson's gazelles,36,Host
405,Equus burchelli,36,Scientific name
406,Gazella thomsoni,36,Scientific name
407,Grevy's zebra,36,Host
408,Trigeminal ganglia,36,Location
409,Serengeti ecosystem,36,Location
410,bronchopulmonary nematode larvae,37,pathogen
411,Spanish ibex,37,host
412,Capra pyrenaica hispanica,37,scientific name
413,Castilla-La Mancha,37,location
414,Spain,37,location
415,Dictyocaulus spp.,37,pathogen
416,Protostrongylid larvae,37,pathogen
417,parasite,37,concept
418,host-parasite patterns,37,concept
419,health risk,37,concept
420,health surveillance scheme,37,concept
421,Japanese sika deer,38,species
422,Cervus nippon centralis,38,species
423,Iwate Prefecture,38,location
424,lancet flukes,38,pathogen
425,Dicrocoelium chinensis,38,pathogen
426,Humans,39,Host
427,Simian species,39,Host
428,Deltaretroviruses,39,Pathogen
429,HTLV,39,Pathogen
430,STLV,39,Pathogen
431,Primate T-cell lymphotropic viruses,39,Pathogen
432,Lophocebus albigena,39,Host
433,Cercopithecus cephus,39,Host
434,STLV-1,39,Pathogen
435,STLV-3,39,Pathogen
436,STLV-5,39,Pathogen
437,Lynx pardinus,40,Species
438,Brachylaima sp.,40,Species
439,Taenia pisiformis,40,Species
440,T. polyacantha,40,Species
441,T. taeniaeformis,40,Species
442,Mesocestoides litteratus,40,Species
443,Eucoleus aerophilus,40,Species
444,Ancylostoma tubaeforme,40,Species
445,Toxocara cati,40,Species
446,Toxascaris leonina,40,Species
447,Vegisospirura potekhina potekhina,40,Species
448,Mastophorus muris,40,Species
449,Physaloptera praeputialis,40,Species
450,L. canadensis,40,Species
451,L. rufus,40,Species
452,L. lynx,40,Species
453,Brucella spp.,41,Pathogen
454,blue wildebeest,41,Host
455,African buffalo,41,Host
456,Connochaetes taurinus Burchell,41,Host
457,Syncerus caffer Sparrman,41,Host
458,Masai people,41,Host
459,cattle,41,Host
460,Isospora lutrae,42,Species
461,Lutra lutra,42,Host
462,Eimeriidae,42,Family
463,Apicomplexa,42,Phylum
464,Carnivora,42,Order
465,Mustelidae,42,Family
466,Extremadura,42,Region
467,Spain,42,Country
468,Parapoxviruses,43,Disease
469,Seals,43,Host
470,Sea lions,43,Host
471,Phocidae,43,Host
472,Otariidae,43,Host
473,Pinniped,43,Host
474,Atlantic pinnipeds,43,Host
475,Pacific pinnipeds,43,Host
476,Phocids,43,Host
477,Otariids,43,Host
478,Parapoxvirus,43,Pathogen
479,Orthopoxviruses,43,Pathogen
480,Poxvirus,43,Pathogen
481,Bovine virus diarrhea,44,Disease
482,Mucosal disease,44,Disease
483,Roe deer,44,Host
484,Capreolus capreolus,44,Scientific name
485,Red deer,44,Host
486,Cervus elaphus,44,Scientific name
487,Fallow deer,44,Host
488,Dama dama,44,Scientific name
489,Cervidae,44,Host
490,Germany,44,Location
491,Bovine viral diarrhea virus,44,Pathogen
492,Border disease virus,44,Pathogen
493,Pestivirus,44,Pathogen
494,Cattle,44,Host
495,human,45,host
496,simian,45,host
497,T-cell leukemia/lymphotropic virus type I,45,pathogen
498,HTLV-I,45,pathogen
499,STLV-I,45,pathogen
500,Asia,45,location
501,Africa,45,location
502,primate species,45,host
503,Asian primate species,45,host
504,Zaire,45,location
505,Melanesia,45,location
506,Simian T-lymphotropic virus type L,46,Virus
507,Ethiopian baboons,46,Host
508,Human T-cell leukemia viruses,46,Virus
509,STLVs,46,Virus
510,HTLVs,46,Virus
511,STLV-L,46,Virus
512,Hamadryas baboons,46,Host
513,Anubis baboons,46,Host
514,Baboons that are hybrids between hamadryas and anubis baboons,46,Host
515,Grivet monkeys,46,Host
516,Gelada baboons,46,Host
517,Japanese badger,47,Host
518,Meles meles anakuma,47,Scientific name
519,Japanese black bear,47,Host
520,Ursus thibetanus japonicus,47,Scientific name
521,Japanese deer,47,Host
522,Cervus nippon centralis,47,Scientific name
523,Japanese monkey,47,Host
524,Macaca fuscata,47,Scientific name
525,Japanese raccoon dog,47,Host
526,Nyctereutes procyonoides viverrinus,47,Scientific name
527,Japanese serow,47,Host
528,Capricornis crispus,47,Scientific name
529,Japanese wild boar,47,Host
530,Sus scrofa leucomystax,47,Scientific name
531,Masked palm civet,47,Host
532,Paguma larvata,47,Scientific name
533,Nutria,47,Host
534,Myocastor coypus,47,Scientific name
535,Parapoxvirus,47,Pathogen
536,grey seals,48,species
537,Halichoerus grypus,48,scientific name
538,parapox,48,disease
539,Cornwall,48,location
540,pups,48,group
541,seal rehabilitation centre,48,location
542,parapox virus,48,pathogen
543,North America,48,location
544,southern sea otters,49,species
545,Enhydra lutris nereis,49,scientific name
546,California,49,location
547,Toxoplasma gondii,49,pathogen
548,acanthocephalan parasites,49,pathogen
549,shark,49,host
550,Protozoal encephalitis,49,disease
551,acanthocephalan-related disease,49,disease
552,cardiac disease,49,disease
553,Estero Bay,49,location
554,southern Monterey Bay,49,location
555,Santa Cruz,49,location
556,Point Año Nuevo,49,location
557,Simian immunodeficiency virus,50,Pathogen
558,Patas monkey,50,Host
559,African green monkeys,50,Host
560,Cercopithecus aethiops sabaeus,50,Scientific Latin binomial name
561,Erythrocebus patas,50,Scientific Latin binomial name
562,HIV-2,50,Pathogen
563,pamG31,50,Pathogen
564,SIVagm,50,Pathogen
565,SIVagm sabaeus,50,Pathogen
566,env/nef region,50,Region
567,env,50,Gene
568,nef,50,Gene
569,Phylogenetic analysis,50,Method
570,PCR,50,Method
571,Senegal,50,Location
572,Hawaiian monk seal,51,species
573,Monachus schauinslandi,51,scientific name
574,phocine herpesvirus-1,51,virus
575,Leptospira bratislava,51,bacterium
576,L. hardjo,51,bacterium
577,L. icterohaemorrhagiae,51,bacterium
578,L. pomona,51,bacterium
579,Brucella spp.,51,bacterium
580,B. canis,51,bacterium
581,Chlamydophila abortus,51,bacterium
582,Toxoplasma gondii,51,parasite
583,Dirofilaria immitis,51,parasite
584,morbilliviruses,51,virus
585,influenza A virus,51,virus
586,canine adenovirus,51,virus
587,caliciviruses,51,virus
588,white-tailed deer,52,species
589,Mycobacterium bovis,52,pathogen
590,Michigan,52,location
591,Odocoileus virginianus,52,species
592,tuberculosis,52,disease
593,head,52,anatomical location
594,extracranial tissues,52,anatomical location
595,medial retropharyngeal lymph nodes,52,anatomical location
596,parotid lymph nodes,52,anatomical location
597,thorax,52,anatomical location
598,liver,52,anatomical location
599,spleen,52,anatomical location
600,rumen,52,anatomical location
601,mammary gland,52,anatomical location
602,red deer,53,host
603,Spiculopteragia asymmetrica,53,pathogen
604,Spiculopteragia quadrispiculata,53,pathogen
605,Ostertagia leptospicularis,53,pathogen
606,Ostertagia kolchida,53,pathogen
607,Ostertagia drozdzi,53,pathogen
608,Ostertagia ryjikovi,53,pathogen
609,Ovis dalli,54,Species
610,Protostrongylus odocoilei,54,Species
611,Protostrongylus stilesi,54,Species
612,Arcanobacterium pyogenes,54,Species
613,Pasteurella sp.,54,Species
614,Mannheimia sp.,54,Species
615,Dall's sheep,54,Host
616,Stone's sheep,54,Host
617,Mackenzie Mountains,54,Location
618,Northwest Territories,54,Location
619,Trypanosoma cruzi,55,Pathogen
620,Golden lion tamarins,55,Host
621,Leontopithecus rosalia,55,Scientific name
622,Biological Reserve of Poço das Antas,55,Location
623,Rio de Janeiro,55,Location
624,Brazil,55,Location
625,T. cruzi,55,Pathogen
626,T wave low voltage,55,Cardiac abnormality
627,R wave low voltage,55,Cardiac abnormality
628,V3S wave high voltage,55,Cardiac abnormality
629,Seric cardiac creatine kinase,55,Biochemical marker
630,Seric mean total protein,55,Biochemical marker
631,Brucella,56,Pathogen
632,marine mammals,56,Host
633,North Atlantic Ocean,56,Location
634,seal,56,Host
635,whale,56,Host
636,Iceland,56,Location
637,Jan Mayen,56,Location
638,Norway,56,Location
639,Kola Peninsula,56,Location
640,Svalbard,56,Location
641,Barents Sea,56,Location
642,Erignathus barbatus,56,Host
643,Cystophora cristata,56,Host
644,Phoca groenlandica,56,Host
645,Phoca hispida,56,Host
646,Balaenoptera acutorostrata,56,Host
647,Balaenoptera physalus,56,Host
648,Balaenoptera borealis,56,Host
649,SA12,57,virus
650,simian virus 40,57,virus
651,chacma baboons,57,host
652,South African vervet monkey,57,host
653,rhesus kidney cells,57,cell
654,hamsters,57,host
655,Papio ursinus,57,host
656,Cercopithecus pygerythrus,57,host
657,SV40-polyoma subgroup,57,group
658,papovaviruses,57,group
659,SV40,57,virus
660,polyoma,57,virus
661,Papio ursinus,57,host
662,Cercopithecus pygerythrus,57,host
663,Trypanosoma cruzi,58,Pathogen
664,Leontopithecus rosalia,58,Host
665,L. chrysomelas,58,Host
666,Prosthenorchis sp.,58,Pathogen
667,Spiruridae,58,Pathogen
668,Trichostrongylidae,58,Pathogen
669,Tamarins,58,Host
670,Atlantic Coastal rain forest,58,Location
671,Brazil,58,Location
672,Bovine virus diarrhea virus,59,Pathogen
673,Free-living deer,59,Host
674,Cattle,59,Host
675,Denmark,59,Location
676,Roe deer,59,Host
677,Fallow deer,59,Host
678,Red deer,59,Host
679,Sika deer,59,Host
680,Capreolus capreolus,59,Scientific name
681,Dama dama,59,Scientific name
682,Cervus elaphus,59,Scientific name
683,Cervus sika,59,Scientific name
684,bobcats,60,species
685,pumas,60,species
686,human immunodeficiency virus,60,virus
687,simian immunodeficiency viruses,60,virus
688,Lynx rufus,60,species
689,Puma concolor,60,species
690,feline lentivirus,60,virus
691,Lentiviridae,60,family
692,Felidae,60,family
693,Southern California,60,location
694,striped skunk,61,host
695,Mephitis mephitis,61,scientific name
696,Sarcocystis neurona,61,pathogen
697,protozoa,61,pathogen
698,canine distemper virus,61,pathogen
699,Connecticut,62,location
700,leptospirosis,62,disease
701,wildlife,62,group
702,domestic dogs,62,group
703,northeastern United States,62,location
704,Leptospira,62,genus
705,serovars,62,group
706,pomona,62,serovar
707,icterohemorrhagiae,62,serovar
708,canicola,62,serovar
709,hardjo,62,serovar
710,grippotyphosa,62,serovar
711,dogs,62,group
712,humans,62,group
713,northern elephant seal,63,organism
714,Mirounga angustirostris,63,scientific name
715,California sea lion,63,organism
716,Zalophus californianus,63,scientific name
717,uric acid,63,compound
718,ammonium urate,63,compound
719,urine,63,fluid
720,kidneys,63,organ
721,renal pelvic dilation,63,condition
722,pyelonephritis,63,condition
723,hydronephrosis,63,condition
724,nephroliths,63,pathogen
725,nephrolithiasis,63,disease
726,Canine distemper,64,Disease
727,Everglades mink,64,Host
728,Neovison vison,64,Host
729,Fakahatchee Strand Preserve State Park,64,Location
730,Florida,64,Location
731,USA,64,Location
732,Canine distemper virus,64,Pathogen
733,CDV,64,Pathogen
734,white-tailed deer,65,species
735,Odocoileus virginianus,65,scientific name
736,Mycobacterium bovis,65,species
737,bovine tuberculosis,65,disease
738,Michigan,65,location
739,USA,65,location
740,hunter,65,agent
741,hunter-harvested deer,65,group
742,lymph nodes,65,body part
743,lungs,65,body part
744,lymph nodes and/or lungs,65,body part
745,M. bovis,65,species
746,North America,65,location
747,olive baboons,66,species
748,Papio cynocephalus anubis,66,scientific name
749,Gombe Stream National Park,66,location
750,Strongyloides,66,pathogen
751,Trichuris,66,pathogen
752,lions,67,host
753,Panthera leo,67,species
754,Queen Elizabeth National Park,67,location
755,Uganda,67,location
756,feline immunodeficiency virus,67,pathogen
757,feline calicivirus,67,pathogen
758,feline herpesvirus 1,67,pathogen
759,feline/canine parvovirus,67,pathogen
760,feline infectious peritonitis virus,67,pathogen
761,canine distemper virus,67,pathogen
762,feline leukemia virus,67,pathogen
763,bighorn sheep,68,species
764,Ovis canadensis,68,scientific name
765,Elaeophora schneideri,68,species
766,New Mexico,68,location
767,USA,68,location
768,Fra Cristobal Mountains,68,location
769,Watson Mountain,68,location
770,Gila Wilderness area,68,location
771,mule deer,68,species
772,Odocoileus hemionus hemionus,68,scientific name
773,Neospora caninum,69,Pathogen
774,Midwestern white-tailed deer,69,Host
775,Odocoileus virginianus,69,Host
776,White-tailed deer,69,Host
777,N. caninum,69,Pathogen
778,south central Wisconsin,69,Location
779,southeastern Missouri,69,Location
780,USA,69,Location
781,Western blot,69,Test
782,ELISA,69,Test
783,Western blot analysis,69,Test
784,indirect ELISAs,69,Test
785,N. caninum surface antigens,69,Antigen
786,WI deer,69,Host
787,MO deer,69,Host
788,deer carcasses,69,Host
789,blood samples,69,Sample
790,olive baboons,70,host
791,Papio cynocephalus anubis,70,species
792,mountain gorillas,70,host
793,Gorilla gorilla berengei,70,species
794,Cryptosporidium,70,pathogen
795,Giardia,70,pathogen
796,Eimeria,70,pathogen
797,Ascaris spp.,70,pathogen
798,Strongyloides spp.,70,pathogen
799,Trichuris spp.,70,pathogen
800,Hymenolepis spp.,70,pathogen
801,Ternidens diminuta,70,pathogen
802,Bwindi Impenetrable National Park,70,location
803,Uganda,70,location
804,Rocky Mountain bighorn sheep,71,Species
805,Protostrongylus spp.,71,Pathogen
806,Ovis canadensis canadensis,71,Host
807,Fenbendazole,71,Antiparasitic
808,Stillwater bighorn winter range,71,Location
809,Montana,71,Location
810,USA,71,Location
811,Protostrongylid lungworms,71,Pathogen
812,Neospora caninum,72,Pathogen
813,Toxoplasma gondii,72,Pathogen
814,Black-tailed deer,72,Host
815,Mule deer,72,Host
816,Odocoileus hemionus columbianus,72,Host
817,Odocoileus hemionus hemionus,72,Host
818,Washington state,72,Location
819,USA,72,Location
820,Hawaiian monk seals,73,species
821,Brucella spp.,73,pathogen
822,Monachus schauinslandi,73,species
823,BPAT,73,test
824,I-ELISA,73,test
825,C-ELISA,73,test
826,FPA,73,test
827,cattle,73,species
828,Dall's sheep,74,Host
829,Ovis dalli dalli,74,Scientific Latin binomial name
830,Protostrongylidae,74,Pathogen
831,Parelaphostrongylus odocoilei,74,Pathogen
832,Protostrongylus stilesi,74,Pathogen
833,Deroceras laeve,74,Host
834,Deroceras reticulatum,74,Host
835,Northwest Territories,74,Geographic location
836,Canada,74,Geographic location
837,Alaska,74,Geographic location
838,USA,74,Geographic location
839,Mackenzie Mountains,74,Geographic location
840,Ovis canadensis,74,Host
841,Rio Negro virus,75,Pathogen
842,Venezuelan equine encephalitis complex subtype VI,75,Pathogen
843,Córdoba,75,Location
844,Argentina,75,Location
845,Mosquitoes,75,Host
846,Rodents,75,Host
847,Humans,75,Host
848,Myodes,76,host
849,Microtus,76,host
850,Hantavirus,76,pathogen
851,Myodes rufocanus,76,species
852,Microtus fortis,76,species
853,Microtus oeconomus,76,species
854,Hokkaido virus,76,pathogen
855,Vladivostok virus,76,pathogen
856,Puumala virus,76,pathogen
857,Muju virus,76,pathogen
858,Buryatia,76,location
859,Russian Federation,76,location
860,Japan,76,location
861,China,76,location
862,Far-East Russia,76,location
863,Primorsky region,76,location
864,Vladivostok area,76,location
865,Leptospira fainei serovar Hurstbridge,77,Pathogen
866,Leptospira,77,Species
867,Human,77,Host
868,Denmark,77,Location
869,Weil's syndrome,77,Disease
870,Weil's disease,77,Disease
871,Autoimmune hepatitis,77,Disease
872,beak and feather disease virus,78,Virus
873,psittacine birds,78,Host
874,Circovirus,78,Pathogen
875,African Grey Parrots,78,Host
876,Cockatoos,78,Host
877,Amazon Parrots,78,Host
878,Macaws,78,Host
879,Taqman probe,78,Diagnostic tool
