source,target,relation_type,doc_id
Vaccinia virus,Dairy cattle,detected in,3
Pseudocowpox virus,Dairy cattle,detected in,3
Vaccinia virus,Brazilian rural worker,detected in,3
Pseudocowpox virus,Brazilian rural worker,detected in,3
Vaccinia virus,Cattle,detected in,3
Pseudocowpox virus,Cattle,detected in,3
Vaccinia virus,Vaccinia virus,causes,3
Pseudocowpox virus,Pseudocowpox virus,causes,3
Vaccinia virus,Pseudocowpox virus,co-infects,3
Vaccinia virus,Human,co-infects,3
Pseudocowpox virus,Vaccinia virus,co-infects,3
Pseudocowpox virus,Human,co-infects,3
Epidemiological surveillance,Control of both diseases,is essential for,3
SIV,Cercocebus atys,infects,4
Cercocebus atys,SIV,hosts,4
SIVsm,E041,infects,4
E041,SIVsm,hosts,4
SIV,Simian immunodeficiency virus,causes,4
SIVsm,AIDS,causes,4
SIVsm,B-cell lymphoma,causes,4
E041,AIDS,suffered from,4
E041,B-cell lymphoma,suffered from,4
SIVsm,CD4(+)-cell decline,causes,4
SIVsm,Loss of p27 core antibody,causes,4
SIVsm,Loss of control of SIVsm replication,causes,4
SIVsm,Giant cell disease,causes,4
SIVsm,Plasma virus load,detected in,4
SIVsm,Viral replication,replicates in,4
E041,Simian T-cell leukemia virus antibody negative,had,4
E041,Plasma virus load,had,4
E041,Viral replication,had,4
E041,2002,was euthanized in,4
E041,AIDS,was diagnosed with,4
E041,B-cell lymphoma,was diagnosed with,4
Adeno-associated viruses,bats,infects,5
bats,Adeno-associated viruses,hosts,5
China,bats,location of,5
19 bat species,bats,type of,5
faecal swab samples,bats,collected from,5
370,faecal swab samples,number of,5
22.40%,faecal swab samples positive,proportion of,5
83,faecal swab samples positive,number of,5
10,faecal swab samples positive,minimum proportion of,5
38.90%,faecal swab samples positive,maximum proportion of,5
rep-cap ORFs,Adeno-associated viruses,located in,5
BtAAV-YNM,Adeno-associated viruses,type of,5
primate AAVs,BtAAV-YNM,related to,5
porcine AAV strain Po3,BtAAV-YNM,related to,5
partial cap ORF sequences,bat AAV samples,located in,5
bat AAV samples,samples,type of,5
49,bat AAV samples,number of,5
nucleotide identity,bat AAV samples,measured in,5
84.30%,nucleotide identity,proportion of,5
genetic diversity,bat AAV samples,property of,5
distinctive genotypes,bat AAV samples,property of,5
individual sample,distinctive genotypes,contains,5
Avian myelocytomatosis virus,chickens,infects,6
MC29,chickens,infects,6
HBI,chickens,infects,6
chickens,Avian myelocytomatosis virus,hosts,6
chickens,MC29,hosts,6
chickens,HBI,hosts,6
Avian myelocytomatosis virus,myelocytomas,causes,6
Avian myelocytomatosis virus,tumors of kidney and liver,causes,6
HBI,lymphoid tumors,causes,6
c-myc gene,lymphoid tumors,is associated with,6
v-myc gene,myelocytomas,is associated with,6
lymphoid leukosis virus,lymphoid tumors,is associated with,6
bursa,lymphoid tumors,is involved in,6
T cells,lymphoid tumors,are present in,6
B cells,lymphoid tumors,are present in,6
p 108,tumor cells,is present in,6
proviral DNA,tumor cells,is present in,6
c-myc,lymphoid tumors,is associated with,6
v-myc,myelocytomas,is associated with,6
gag-myc fusion protein,tumor cells,is present in,6
target-cell specificity,transformation,is a property of,6
mechanism,target-cell specificity,is discussed in terms of,6
Type D retrovirus,Macaca cyclopis,infects,7
Macaca cyclopis,Type D retrovirus,hosts,7
Macaque,Macaca cyclopis,common name of,7
Macaca cyclopis,Macaque,latin name of,7
Type D retrovirus,Mason-Pfizer monkey virus,related to,7
Type D retrovirus,Mason-Pfizer monkey virus,distinct from,7
Macaca cyclopis,Immunodeficiency syndrome,suffered from,7
Immunodeficiency syndrome,T-lymphocyte function defect,causes,7
Immunodeficiency syndrome,Opportunistic infections,causes,7
Immunodeficiency syndrome,Lymphoproliferative abnormalities,causes,7
Mason-Pfizer monkey virus,Mammary tumor,isolated from,7
Type D retrovirus,Macaca cyclopis,isolated from,7
Bovine foamy virus,Cattle,infects,8
Cattle,Bovine foamy virus,hosts,8
Bovine foamy virus,Germany,isolated from,8
Bovine foamy virus,Poland,isolated from,8
BFV-Riems,1978,isolated in,8
BFV-Riems,East Germany,isolated in,8
BFV100,2005,isolated in,8
BFV100,Poland,isolated in,8
Bovine foamy virus,FV,shares genetic makeup with,8
BFV-Riems,BFV100,shares genetic makeup with,8
BFV-Riems,BFV isolates from China and the United States,shares genetic makeup with,8
BFV100,BFV isolates from China and the United States,shares genetic makeup with,8
Bovine foamy virus,most of the FV genome,has high sequence conservation across,8
Provirial DNA,Introns,may specifically lack,8
Splice sites,Bovine foamy virus has developed a novel mode to express a secretory but nonfunctional Env protein,suggest that,8
Simian foamy virus,Apes,infects,9
Apes,Simian foamy virus,hosts,9
Simian foamy virus,Humans,transmits to,9
Humans,Simian foamy virus,hosts,9
Simian foamy virus,Nonhuman primates,infects,9
Nonhuman primates,Simian foamy virus,hosts,9
Hunters,Nonhuman primates,exposed to,9
Simian foamy virus,Rural Cameroon,found in,9
Simian virus,Disease,causes,9
Simian foamy virus,Humans,transmits to,9
Humans,Simian foamy virus,infected with,9
85 persons,Nonhuman primates,had contact with,9
Jul-29,Apes,had contact with,9
Feb-56,Monkeys,had contact with,9
24.10%,Simian foamy virus,proportion of individuals infected with,9
3.60%,Simian foamy virus,proportion of individuals infected with,9
Human parainfluenza virus type 3,wild nonhuman primates,infects,10
wild nonhuman primates,Human parainfluenza virus type 3,hosts,10
baboons,Human parainfluenza virus type 3,hosts,10
vervet monkeys,Human parainfluenza virus type 3,hosts,10
Human parainfluenza virus type 3,baboons,detected in,10
Human parainfluenza virus type 3,vervet monkeys,detected in,10
baboons,Human parainfluenza virus type 3,had antibody for,10
vervet monkeys,Human parainfluenza virus type 3,had antibody for,10
Human parainfluenza virus type 3,infection,causes,10
Simian immunodeficiency virus,Chlorocebus spp.,infects,11
Chlorocebus spp.,Simian immunodeficiency virus,hosts,11
Simian immunodeficiency virus,Cercocebus spp.,infects,11
Cercocebus spp.,Simian immunodeficiency virus,hosts,11
Simian immunodeficiency virus,Macaca spp.,infects,11
Macaca spp.,Simian immunodeficiency virus,hosts,11
Simian immunodeficiency virus,Human AIDS,causes,11
Chlorocebus spp.,Simian immunodeficiency virus replication,maintains,11
Cercocebus spp.,Simian immunodeficiency virus replication,maintains,11
Macaca spp.,Simian immunodeficiency virus replication,maintains,11
Chlorocebus spp.,strategies to avoid disease progression,evolves,11
Cercocebus spp.,strategies to avoid disease progression,evolves,11
Macaca spp.,strategies to avoid disease progression,evolves,11
Simian immunodeficiency virus,CD4(+) T cell phenotypic changes,induces,11
Simian immunodeficiency virus,limited chronic immune activation,induces,11
Simian immunodeficiency virus,altered mucosal immunity,induces,11
Simian immunodeficiency virus,T-cell renewal and proliferation,induces,11
Simian immunodeficiency virus,activation-induced apoptosis,induces,11
Simian immunodeficiency virus,virus-induced cell death,induces,11
Y73,Avian,infects,12
Avian,Y73,hosts,12
Y73,4.8-kb RNA,contains,12
4.8-kb RNA,yas,contains,12
yas,p90,codes for,12
p90,p19,contains,12
Y73,Sarcoma,causes,12
Y73,Avian leukemia viruses,has sequence similar to,12
Y73,Mammalian leukemia viruses,has sequence similar to,12
T-lymphotropic viruses,central African bushmeat hunters,infects,13
central African bushmeat hunters,T-lymphotropic viruses,hosts,13
human T-lymphotropic viruses,central Africans,infects,13
simian T-lymphotropic viruses,nonhuman primates,infects,13
HTLV-1,central Africans,infects,13
STLV-1,nonhuman primates,infects,13
HTLV-2,central Africans,infects,13
STLV-2,nonhuman primates,infects,13
HTLV-4,central Africans,infects,13
STLV-3,nonhuman primates,infects,13
HTLV,HTLV-1,causes,13
HTLV,HTLV-2,causes,13
HTLV,HTLV-3,causes,13
HTLV,HTLV-4,causes,13
STLV,STLV-1,causes,13
STLV,STLV-2,causes,13
STLV,STLV-3,causes,13
T-lymphotropic viruses,simian T-lymphotropic viruses,related to,13
HTLV-1,STLV-1,originated from,13
HTLV-2,STLV-2,originated from,13
HTLV-4,all known HTLVs and STLVs,distinct from,13
HTLV-3,phylogenetic diversity of STLV-3,falls within,13
central Africans,nonhuman primates,exposed to,13
nonhuman primates,T-lymphotropic viruses,infected with,13
central Africans,HTLV,infected with,13
HTLV,contact between humans and infected nonhuman primates,emerges from,13
HTLV,HTLV diagnosis,diagnosed with,13
HTLV,blood screening,screened for,13
HTLV,infected persons,develops in,13
HTLV,surveillance of populations exposed to animal reservoirs and interventions to decrease risk factors,predicted and prevented,13
Flavobacterium columnare,fish,infects,14
fish,Flavobacterium columnare,hosts,14
Flavobacterium columnare,genomovar I,has genetic variability,14
Flavobacterium columnare,genomovar II,has genetic variability,14
Flavobacterium columnare,genomovar I,has genetic differences,14
Flavobacterium columnare,genomovar II,has genetic differences,14
Flavobacterium columnare,genomovar I,has higher diversity,14
Flavobacterium columnare,genomovar division,has higher genetic hierarchy,14
Flavobacterium columnare,channel catfish,is present in,14
Flavobacterium columnare,tilapia,is present in,14
Flavobacterium columnare,genomovar I,is related to,14
Flavobacterium columnare,genomovar II,is related to,14
Flavobacterium columnare,molecular tools,is studied using,14
Flavobacterium columnare,epidemiology,is studied in,14
study,molecular tools,uses,14
study,epidemiology,assesses,14
Jaagsiekte sheep retrovirus,sheep,infects,15
sheep,Jaagsiekte sheep retrovirus,hosts,15
Jaagsiekte sheep retrovirus,ovine pulmonary adenocarcinoma,causes,15
Jaagsiekte sheep retrovirus,oncogene,functions as,15
Env,oncogene,functions as,15
JSRV Env,transformation,induces,15
JSRV Env,oncogenesis,induces,15
JSRV,Rej,encodes,15
Rej,synthesis of Gag protein,necessary for,15
JSRV,synthesis of Gag protein,necessary for,15
JSRV,provided insights into retroviral genomic RNA export/expression mechanisms,studies,15
bovine group C rotavirus,adult cows,infects,16
adult cows,bovine group C rotavirus,hosts,16
Shintoku,bovine group C rotavirus,is a strain of,16
porcine-like WD534tc,bovine group C rotavirus,is a strain of,16
Yamagata,bovine group C rotavirus,is a strain of,16
bovine group C rotavirus,diarrhea,causes,16
bovine group C rotavirus,reduced milk production,causes,16
VP6 gene,bovine group C rotavirus,is part of,16
VP7 gene,bovine group C rotavirus,is part of,16
VP6 gene,VP6 gene,has sequence identity with,16
VP7 gene,VP7 gene,has sequence identity with,16
VP6 gene,VP6 gene,is compared to,16
VP7 gene,VP7 gene,is compared to,16
bovine group C rotavirus,adult cows,is detected in,16
GCRs,adult cow diarrhea,are a cause of,16
Francisella tularensis,Sanguinus oedipus,infects,17
Sanguinus oedipus,Francisella tularensis,hosts,17
Francisella tularensis,tularemia,causes,17
Sanguinus oedipus,tularemia,suffered from,17
Francisella tularensis,septic tularemia,causes,17
Sanguinus oedipus,septic tularemia,suffered from,17
Escherichia coli,gram-negative septicemia,could cause,17
Salmonella,gram-negative septicemia,could cause,17
Yersinia,gram-negative septicemia,could cause,17
Toxoplasma gondii,protozoal infection,could cause,17
lymphocytic choriomeningitis,acute viral infection,could cause,17
Francisella tularensis,F. tularensis-specific PCR,identified by,17
F. tularensis-specific PCR,Francisella tularensis,detects,17
aerosol,Francisella tularensis,transmits,17
biting arthropod vectors,Francisella tularensis,transmits,17
rodent reservoir,Francisella tularensis,transmits,17
captive nonhuman primates,Francisella tularensis,can be infected by,17
Simian T-cell leukemia virus,Agile mangabeys,infects,18
Agile mangabeys,Simian T-cell leukemia virus,hosts,18
Simian T-cell leukemia virus,Wild primate populations,infects,18
Wild primate populations,Simian T-cell leukemia virus,hosts,18
Human T-cell leukemia virus,Humans,infects,18
HTLV-1,Humans,infects,18
HTLV-2,Humans,infects,18
STLV-1,Agile mangabeys,infects,18
STLV-3,Agile mangabeys,infects,18
Agile mangabeys,STLV-1,hosts,18
Agile mangabeys,STLV-3,hosts,18
Cercocebus agilis,Simian T-cell leukemia virus,hosts,18
Mandrills,Simian T-cell leukemia virus,hosts,18
African green monkeys,Simian T-cell leukemia virus,hosts,18
Crested mona and greater spot-nosed monkeys,Simian T-cell leukemia virus,hosts,18
Mustached monkeys,Simian T-cell leukemia virus,hosts,18
Talapoins,Simian T-cell leukemia virus,hosts,18
Gorillas,Simian T-cell leukemia virus,hosts,18
Red-capped mangabey,Simian T-cell leukemia virus,hosts,18
Eritrean baboon,Simian T-cell leukemia virus,hosts,18
Baboon in Senegal,Simian T-cell leukemia virus,animal source of,18
Bush meat,Simian T-cell leukemia virus,animal source of,18
Pets,Simian T-cell leukemia virus,location of,18
Rain forests,Simian T-cell leukemia virus,location of,18
Western Central Africa,Simian T-cell leukemia virus,year of,18
1999,Simian T-cell leukemia virus,year of,18
2002,Simian T-cell leukemia virus,number of individuals with,18
524,Simian T-cell leukemia virus,number of species with,18
18,Simian T-cell leukemia virus,number of individuals with antibodies to,18
59,Simian T-cell leukemia virus,proportion of individuals with antibodies to,18
11.20%,Simian T-cell leukemia virus,number of individuals with HTLV-1 infection caused by,18
37,Simian T-cell leukemia virus,number of individuals with HTLV-2 infection caused by,18
9,Simian T-cell leukemia virus,,18
Cruoricaptor ignavus,Man,infects,19
Man,Cruoricaptor ignavus,hosts,19
Cruoricaptor ignavus,Blood culture,isolated from,19
Blood culture,Cruoricaptor ignavus,contains,19
Cruoricaptor ignavus,Gram-reaction-negative,has property,19
Cruoricaptor ignavus,Flexirubin pigment,contains,19
Cruoricaptor ignavus,16S rRNA gene sequence,has sequence,19
16S rRNA gene sequence,Phylogenetic analysis,used for,19
Cruoricaptor ignavus,Phylogenetic line,has phylogenetic position,19
Phylogenetic line,Flavobacteriaceae,related to,19
Cruoricaptor ignavus,Menaquinone MK-6,has respiratory quinone,19
Cruoricaptor ignavus,Polyamine pattern,has polyamine pattern,19
Polyamine pattern,Sym-homospermidine,contains,19
Cruoricaptor ignavus,Phospholipids,has phospholipids,19
Phospholipids,Phosphatidylethanolamine,contains,19
Phospholipids,Unknown phospholipid,contains,19
Cruoricaptor ignavus,45.60%,has genomic dna mol% g+c content,19
Cruoricaptor ignavus,Novel genus,proposed as,19
Cruoricaptor ignavus,Novel species,proposed as,19
IMMIB L-12475(T),Cruoricaptor ignavus,is type strain of,19
DSM 25479(T),Cruoricaptor ignavus,is strain of,19
CCUG 62025(T),Cruoricaptor ignavus,is strain of,19
Brevundimonas vancanneytii,patient,infects,20
patient,Brevundimonas vancanneytii,hosts,20
Brevundimonas vancanneytii,blood,isolated from,20
blood,Brevundimonas vancanneytii,contains,20
Brevundimonas vancanneytii,endocarditis,causes,20
Brevundimonas diminuta,Brevundimonas vancanneytii,related to,20
Brevundimonas terrae,Brevundimonas vancanneytii,related to,20
Brevundimonas vancanneytii,Brevundimonas diminuta,has similarity with,20
Brevundimonas vancanneytii,Brevundimonas terrae,has similarity with,20
Brevundimonas vancanneytii,66.3 mol %,has g+c content of,20
Brevundimonas vancanneytii,"phosphatidyl diacylglycerol, sulfoquinovosyl diacylglycerol and phosphatidyl glucopyranosyl diacylglycerol",has major polar lipids of,20
Brevundimonas vancanneytii,summed feature 7 and C(16 : 0),has major fatty acids of,20
Brevundimonas vancanneytii,unusually broad substrate spectrum,displayed,20
Brevundimonas vancanneytii,all of the type strains of hitherto-described Brevundimonas species,differentiated from,20
Brevundimonas vancanneytii,novel species,represents,20
Brevundimonas vancanneytii,Brevundimonas vancanneytii sp. nov.,named,20
LMG 2337(T),Brevundimonas vancanneytii,type strain of,20
CCUG 1797(T),Brevundimonas vancanneytii,isolate of,20
ATCC 14736(T),Brevundimonas vancanneytii,isolate of,20
16S rRNA gene,identification of Brevundimonas vancanneytii,used for,20
DNA-DNA hybridization,differentiation of Brevundimonas vancanneytii,used for,20
physiological and biochemical tests,differentiation of Brevundimonas vancanneytii,used for,20
Wohlfahrtiimonas chitiniclastica,cow,infects,21
cow,Wohlfahrtiimonas chitiniclastica,hosts,21
Wohlfahrtiimonas chitiniclastica,cow,isolated from,21
Wohlfahrtiimonas chitiniclastica,16S rRNA gene sequencing,identified by,21
Wohlfahrtiimonas chitiniclastica,matrix-assisted laser desorption/ionization time-of-flight mass spectrometry,identified by,21
Wohlfahrtiimonas chitiniclastica,hoof fetlow,causes,21
Wohlfahrtiimonas chitiniclastica,China,found in,21
Wohlfahrtiimonas chitiniclastica,Shandong,found in,21
W. chitiniclastica,DZ2015,has strain,21
W. chitiniclastica,Antimicrobial susceptibility testing,has broad susceptibility to,21
W. chitiniclastica,mouse,is pathogenic to,21
Simian T-lymphotropic virus,nonhuman primates,infects,22
nonhuman primates,Simian T-lymphotropic virus,hosts,22
Simian T-lymphotropic virus,hunters,transmits,22
hunters,Simian T-lymphotropic virus,exposed to,22
dried blood spots,nonhuman primates,collected from,22
PCR,Simian T-lymphotropic virus,used to detect,22
Phylogenetic analyses,Simian T-lymphotropic virus,used to analyze,22
STLV-1,Simian T-lymphotropic virus,is a type of,22
STLV-3,Simian T-lymphotropic virus,is a type of,22
Cercopithecus mona,STLV-3,hosts,22
C. nictitans,STLV-3,hosts,22
Peripheral blood mononuclear cell DNA,hunters,sampled from,22
HTLV-seroreactive,hunters,has property of,22
PCR-negative,hunters,has property of,22
human infections,Simian T-lymphotropic virus,affected by,22
Pathogen spillover,point of contact,occurs at,22
Retrovirus,nonhuman primates and hunters,transmitted between,22
Human populations,Retrovirus transmission,at risk of,22
Large-scale monitoring,dried blood spots,uses,22
Porcine retrovirus,porcine cells,infects,23
porcine cells,Porcine retrovirus,hosts,23
Porcine retrovirus,RT assay,detected by,23
RT assay,template-primer poly(rA).oligo(dT),uses,23
RT assay,Mn++,uses,23
RT assay,K+,uses,23
RT assay,Na+,uses,23
RT assay,pH,affected by,23
RT assay,non-ionic detergents,enhanced by,23
Porcine retrovirus,in vitro long-term propagation,can be reactivated by,23
Porcine retrovirus,inoculation with virus-producing cells,can be transmitted by,23
Francisella noatunensis,Haemulon flavolineatum,infects,24
Haemulon flavolineatum,Francisella noatunensis,hosts,24
Haemulon carbonarium,Francisella noatunensis,hosts,24
Francisella noatunensis,Fish,found in,24
Fish,Florida Keys,lives in,24
Fish,Public aquaria,lives in,24
Fish,Recirculating system,maintained in,24
Francisella noatunensis,Mortalities,causes,24
Spleen,Mortalities,affected by,24
Kidney,Mortalities,affected by,24
Modified Thayer Martin agar media,Francisella noatunensis,used for,24
iglC,Francisella noatunensis subspecies orientalis,detected in,24
avian sarcoma virus CT10,p47gag-crk,encodes,25
p47gag-crk,phospholipase C,has similarity to,25
p47gag-crk,tyrosine kinases,has similarity to,25
p47gag-crk,endogenous tyrosine kinases,activates,25
human T-cell leukemia virus,African primates,infects,26
African primates,human T-cell leukemia virus,hosts,26
Cercopithecus,human T-cell leukemia virus,hosts,26
Papio,human T-cell leukemia virus,hosts,26
Theropithecus,human T-cell leukemia virus,hosts,26
grivet monkey,Cercopithecus,common name of,26
Anubis baboon,Papio,common name of,26
Hamadryas baboon,Papio,common name of,26
gelada,Theropithecus,common name of,26
human T-cell leukemia virus,Ethiopia,found in,26
human T-cell leukemia virus,indirect immunofluorescence test,detected by,26
human T-cell leukemia virus,HTLV-I specific antigens,detected using,26
HTLV-I,Retrovirus,is a,26
Gastro-intestinal parasites,red-fronted lemur,infects,27
red-fronted lemur,Gastro-intestinal parasites,hosts,27
Eulemur fulvus rufus,Gastro-intestinal parasites,hosts,27
Kirindy Forest,red-fronted lemur,location of,27
western Madagascar,Kirindy Forest,location of,27
Lemuricola vauceli,red-fronted lemur,infects,27
Trichuris sp.,red-fronted lemur,infects,27
Callistoura,red-fronted lemur,infects,27
Trichostrongylid,red-fronted lemur,infects,27
Strongyloid,red-fronted lemur,infects,27
Anoplocephalid cestode,red-fronted lemur,infects,27
Dicrocoeliid trematode,red-fronted lemur,infects,27
Entamoeba sp.,red-fronted lemur,infects,27
Balantidium coli,red-fronted lemur,infects,27
Fecal samples,Parasite analyses,used for,27
Field seasons,Parasite analyses,duration of,27
2006,Field seasons,year of,27
2007,Field seasons,year of,27
8 mo,Field seasons,duration of,27
2 consecutive,Field seasons,duration of,27
Social groups,Gastro-intestinal parasites,hosts,27
Minor microclimatic or habitat parameters,Social groups,affect,27
Lemur health,Parasite infections,affected by,27
Parasite burden,Short-term assessments,underestimated by,27
parapoxvirus,Capricornis crispus,infects,28
Capricornis crispus,parapoxvirus,hosts,28
parapoxvirus,nodular or papular lesions,causes,28
parapoxvirus,epizootic,causes,28
parapoxvirus,Bovine fetal testicle cell cultures,is isolated from,28
parapoxvirus,Electron microscope,is identified by,28
parapoxvirus,Physico-chemical characteristics,is identified by,28
S-1,parapoxvirus,is identified as,28
Antibody,Enzyme-linked immunosorbent assay,is detected by,28
Capricornis crispus,nodular or papular lesions,suffers from,28
Capricornis crispus,epizootic,suffers from,28
153,Antibody,number of individuals tested,28
189,Antibody,number of individuals tested,28
237,Antibody,number of individuals tested,28
75,Antibody,number of individuals with antibodies,28
32%,Antibody,proportion of individuals with antibodies,28
39%,Antibody,proportion of individuals with antibodies,28
20%,Antibody,proportion of individuals with antibodies,28
Dec-84,Antibody,time of highest antibody prevalence,28
Mar-85,Antibody,time of lowest antibody prevalence,28
parapoxviruses,Capricornis crispus,infects,29
Capricornis crispus,parapoxviruses,hosts,29
Japanese serows,Capricornis crispus,common name of,29
Capricornis crispus,Japanese serows,latin name of,29
orf virus,parapoxviruses,causes,29
BPSV,parapoxviruses,causes,29
parapoxviruses,monoclonal antibodies,detected by,29
viral DNA,clinical lesions,found in,29
clinical lesions,parapoxviruses,affected by,29
sheep,orf virus,hosts,29
goats,orf virus,hosts,29
Ishikawa-S,BPSV,has relationship with,29
Japanese ORFVs,orf virus,has relationship with,29
envelope genes,parapoxviruses,found in,29
nucleotide sequences,envelope genes,measured in,29
partial nucleotide sequences,envelope genes,measured in,29
restriction endonuclease analysis,amplified viral DNA,used to analyze,29
amplified viral DNA,restriction endonuclease analysis,used in,29
ORFV-specific pattern,parapoxviruses,found in,29
BPSV-specific pattern,Ishikawa-S,found in,29
high identities,nucleotide sequences,measured in,29
conserved,envelope genes,property of,29
Helminth parasites,Lutra lutra,infects,30
Lutra lutra,Helminth parasites,hosts,30
Phagicola sp.,Lutra lutra,infects,30
Aonchotheca putorii,Lutra lutra,infects,30
Eucoleus schvalovoj,Lutra lutra,infects,30
Strongyloides lutrae,Lutra lutra,infects,30
Anisakis,Lutra lutra,infects,30
Dirofilaria immitis,Lutra lutra,infects,30
Gigantorhynchus sp.,Lutra lutra,infects,30
Lutra lutra,Phagicola sp.,hosts,30
Lutra lutra,Aonchotheca putorii,hosts,30
Lutra lutra,Eucoleus schvalovoj,hosts,30
Lutra lutra,Strongyloides lutrae,hosts,30
Lutra lutra,Anisakis,hosts,30
Lutra lutra,Dirofilaria immitis,hosts,30
Lutra lutra,Gigantorhynchus sp.,hosts,30
France,Lutra lutra,location of,30
Portugal,Lutra lutra,location of,30
Spain,Lutra lutra,location of,30
Iberian Peninsula,Strongyloides lutrae,location of,30
Ritchie,formalin-ether concentration method,developed,30
Ritchie,coprological analysis,developed,30
Lutra lutra,necropsy,underwent,30
Lutra lutra,culture of fresh faeces,underwent,30
Lutra lutra,infection,suffered from,30
Pathogenic agents,Free-living wild species,infects,31
Free-living wild species,Pathogenic agents,hosts,31
Syncerus caffer,Pathogenic agents,hosts,31
Connochaetes taurinus,Pathogenic agents,hosts,31
Damaliscus korrigum,Pathogenic agents,hosts,31
Zebra,African horse sickness,hosts,31
Wart hog,African swine fever,hosts,31
Antibodies,Sera,detected in,31
Sera,Free-living wild species,collected from,31
Sera,Antibodies,tested for,31
Pathogenic agents,Disease,causes,31
Free-living wild species,Reservoir of infection,act as,31
Cryptosporidium,Non-human primates,infects,32
Non-human primates,Cryptosporidium,hosts,32
Cryptosporidium,Cryptosporidiosis,causes,32
Cryptosporidium,Toque macaques,detected in,32
Cryptosporidium,Gray langurs,detected in,32
Cryptosporidium,Purple-faced langurs,detected in,32
Toque macaques,Cryptosporidium,infected with,32
Gray langurs,Cryptosporidium,infected with,32
Purple-faced langurs,Cryptosporidium,infected with,32
Entamoeba spp.,Non-human primates,infects,32
Iodamoeba,Non-human primates,infects,32
Chilomastix,Non-human primates,infects,32
Balantidium spp.,Non-human primates,infects,32
Enterobius,Non-human primates,infects,32
Strongyloides,Non-human primates,infects,32
Monkeys,Areas,use,32
Monkeys,Water,use,32
Human feces,Areas,found in,32
Livestock,Areas,found in,32
Water,Areas,found in,32
Public health,Cryptosporidiosis,affected by,32
Wildlife conservation management,Cryptosporidiosis,affected by,32
Cyclospora cayetanensis,humans,infects,33
humans,Cyclospora cayetanensis,hosts,33
Cyclospora cayetanensis,non-human primates,infects,33
non-human primates,Cyclospora cayetanensis,hosts,33
Cyclospora cayetanensis,dogs,infects,33
dogs,Cyclospora cayetanensis,hosts,33
Cyclospora cayetanensis,chickens,infects,33
chickens,Cyclospora cayetanensis,hosts,33
Cyclospora cayetanensis,monkeys,infects,33
monkeys,Cyclospora cayetanensis,hosts,33
Cyclospora cayetanensis,Cyclosporiasis,causes,33
fresh produce,mature sporulated oocysts,contaminated with,33
water sources,mature sporulated oocysts,contaminated with,33
ingestion,acquisition of cyclosporiasis,results in,33
Cyclospora cayetanensis,FTA filter-base polymerase chain reaction method,detected by,33
Cyclospora cayetanensis,microscopy,detected by,33
Cyclospora cayetanensis,polymerase chain reaction (PCR),detected by,33
Cyclospora cayetanensis,restriction fragment length polymorphism (RFLP) analysis,detected by,33
Cyclospora cayetanensis,multiplex PCR assay,detected by,33
Eimeria sp.,chicken sample,detected in,33
C. cayetanensis,dog and monkey samples,detected in,33
