"","entity","deepseek","gemma2","llama","llama70b","mistral","models_present","n_entity_types"
"31","Phocine adrenal and kidney cell lines","host",NA,"Cell line",NA,NA,2,2
"32","Affected seals","have",NA,NA,NA,NA,1,1
"33","text","type",NA,NA,NA,NA,1,1
"34","src","relation",NA,NA,NA,NA,1,1
"35","California","Location","Location","Location","Location","Location",5,1
"36","canine adenovirus","Pathogen","Pathogen",NA,"Pathogen","Pathogen",4,1
"37","canine parvovirus","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"38","canine herpesvirus","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"39","canine coronavirus","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"40","Toxoplasma gondii","Pathogen",NA,NA,NA,NA,1,1
"41","59%","Measurement","Antibody prevalence","Proportion","Proportion","Proportion of individuals infected",5,4
"42","low","Measurement","Antibody prevalence",NA,NA,"Proportion of individuals infected",3,3
"43","not detected","Measurement",NA,NA,NA,NA,1,1
"44","194","Number of individuals surveyed","Number of individuals sampled","Number of individuals","Number of individuals sampled","Number of individuals sampled",5,3
"45","serologic survey","Survey type",NA,"Process","Event","Process",4,3
"46","threatened species","Conservation status",NA,"Classification",NA,"Status",3,3
"47","Spain","Location","Location",NA,NA,"Location",3,1
"48","northeastern Spain","Location","Location",NA,NA,NA,2,1
"49","2001-02","Time period","Time period","Time period",NA,"Time period",4,1
"50","border disease virus cluster","Genetic cluster","Pathogen group",NA,NA,"Virus cluster",3,3
"51","5' noncoding regions","Viral region","Viral component",NA,NA,"Genetic region",3,3
"52","82.1%","Similarity value","Similarity percentage","Proportion of similarity",NA,NA,3,3
"53","88.1%","Similarity value","Similarity percentage","Proportion of similarity",NA,NA,3,3
"54","central Pyrenees","Location","Location","Location",NA,"Location",4,1
"55","NE Spain","Location","Location","Location","Location","Location",5,1
"56","2002","Year","Year","Year","Year","Year",5,1
"57","42%","Population decrease","Proportion","Proportion of population decrease","Proportion of population decrease","Proportion",5,3
"58","depression","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"59","weakness","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"60","movement difficulties","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"61","abnormal behaviour","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"62","alopecia","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"63","skin hyperpigmentation","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"64","cachexia","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"65","abscesses","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"66","pneumonia","Symptom",NA,"Symptom","Symptom",NA,3,1
"67","extensive subcutaneous infection","Symptom",NA,NA,NA,NA,1,1
"68","orchitis","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"69","edema","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"70","gliosis","Symptom",NA,"Symptom",NA,NA,2,1
"71","espongiosis","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"72","cariorrexis","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"73","neuronal multifocal necrosis","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"74","perivascular mononuclear inflammatory infiltrate","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"75","follicular atrophy","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"76","epidermal hyperplasia","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"77","orthokeratotic hyperkeratosis","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"78","follicular hyperkeratosis","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"79","hypermelanosis","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"80","haemosiderin deposits","Symptom",NA,"Symptom","Symptom","Symptom",4,1
"81","intraerythrocytic parasites","Pathogen",NA,NA,NA,NA,1,1
"82","pestivirus","Pathogen",NA,NA,"Pathogen","Pathogen",3,1
"83","nephrolithiasis","Disease","Disease",NA,NA,"Disease",3,1
"84","nephroliths","Pathogen",NA,"Pathogen",NA,"Pathogen",3,1
"85","uric acid","Pathogen component","Pathogen component","Compound",NA,NA,3,2
"86","ammonium urate","Pathogen component","Pathogen component","Compound",NA,NA,3,2
"87","pyelonephritis","Disease","Disease","Symptom",NA,NA,3,2
"88","hydronephrosis","Disease","Disease","Symptom",NA,NA,3,2
"89","ehrlichioses","Disease",NA,NA,NA,NA,1,1
"90","serologic","Method",NA,"Technique","Technique","Technique",4,2
"91","molecular","Method",NA,"Technique","Technique",NA,3,2
"92","111","Measurement","Geometric mean titer",NA,NA,"Value",3,3
"93","1,024","Measurement","Geometric mean titer",NA,NA,"Value",3,3
"94","1/5","Measurement","Proportion of individuals",NA,NA,"Proportion",3,3
"95","3/5","Measurement","Proportion of individuals",NA,NA,"Proportion",3,3
"96","5/5","Measurement",NA,NA,NA,"Proportion",2,2
"97","inguinal lymph node","Anatomical location","Tissue","Tissue",NA,NA,3,2
"98","neutrophil","Cell type","Cell type","Cell type","Cell","Cell type",5,2
"99","ehrlichioses agents","Pathogen",NA,NA,NA,NA,1,1
"100","Foot-and-mouth disease","Disease",NA,"Disease",NA,NA,2,1
"101","Bovine herpes virus types 1 and 2","Pathogen",NA,"Pathogen",NA,NA,2,1
"102","Lumpy skin disease","Disease",NA,"Disease",NA,NA,2,1
"103","Bovine viral diarrhoea","Disease",NA,"Disease",NA,NA,2,1
"104","Akabane","Pathogen","Disease","Pathogen","Disease","Disease",5,2
"105","Bovine ephemeral fever","Disease",NA,"Disease",NA,NA,2,1
"106","Bluetongue","Disease",NA,"Disease",NA,NA,2,1
"107","Enzootic bovine leucosis","Disease",NA,"Disease",NA,NA,2,1
"108","African horse sickness","Disease","Disease","Disease","Disease","Disease",5,1
"109","African swine fever","Disease","Disease","Disease","Disease","Disease",5,1
"110","Brucella abortus","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"111","Syncerus caffer","Host","Host","Host","Host","Host",5,1
"112","Connochaetes taurinus","Host","Host","Host","Host","Host",5,1
"113","Damaliscus korrigum","Host","Host","Host","Host","Host",5,1
"114","African horse sickness antibodies","Biological molecule",NA,NA,NA,NA,1,1
"115","Reservoirs of infection","Ecological role",NA,NA,NA,NA,1,1
"116","black bear","Common name","Common name","Common name","Common name","Common name",5,1
"117","Ursus americanus","Host","Host","Host","Host","Host",5,1
"118","bacterial valvular endocarditis","Disease",NA,"Disease",NA,"Disease",3,1
"119","Staphylococcus aureus","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"120","coagulase-positive","Attribute",NA,NA,NA,"Property",2,2
"121","Labrador","Location","Location","Location","Location","Location",5,1
"122","Canada","Country","Location","Location","Country","Location",5,2
"123","radio-collared","Attribute","Characteristic",NA,NA,"Method",3,3
"124","fall 1991","Time period","Time","Time period","Time period","Time period",5,2
"125","died","Event",NA,NA,NA,NA,1,1
"126","widespread dissemination","Infection spread",NA,NA,NA,"Symptom",2,2
"127","other organs","Body parts","Tissue",NA,NA,"Tissue",3,2
"128","shortly before death","Time frame",NA,NA,NA,NA,1,1
"129","first reported case","Event",NA,NA,NA,"Event",2,1
"130","Parainfluenza 3 virus","Pathogen",NA,NA,NA,NA,1,1
"131","Bison bison","Host","Host","Host","Host","Host",5,1
"132","Delta bison herd","Host",NA,NA,NA,NA,1,1
"133","Delta Junction, Alaska (USA)","Location",NA,NA,NA,NA,1,1
"134","Domestic cattle","Host",NA,"Host","Animal source","Host",4,2
"135","Serum antibody prevalence","Measurement","Measurement","Measurement","Measurement","Measurement",5,1
"136","0%","Measurement","Prevalence",NA,NA,"Proportion",3,3
"137","1977","Time period","Start year","Year","Year","Year",5,3
"138","1984","Time period",NA,"Year","Year","Year",4,2
"139","clinical disease","Disease","Symptom",NA,"Symptom","Symptom",4,2
"140","productivity","Productivity","Measurement",NA,NA,"Measurement",3,2
"141","Rocky Mountain cougars","Host","Host",NA,"Common name",NA,3,2
"142","FIV","Pathogen","Pathogen",NA,"Abbreviation","Pathogen",4,2
"143","FPV","Pathogen","Pathogen",NA,"Abbreviation","Pathogen",4,2
"144","FCoV","Pathogen","Pathogen",NA,"Abbreviation","Pathogen",4,2
"145","FCV","Pathogen","Pathogen",NA,"Abbreviation","Pathogen",4,2
"146","CDV","Pathogen","Pathogen",NA,NA,"Pathogen",3,1
"147","FHV","Pathogen","Pathogen",NA,"Abbreviation","Pathogen",4,2
"148","207 cougars","Sample size",NA,NA,NA,NA,1,1
"149","Rocky Mountains","Location","Location","Location","Location","Location",5,1
"150","serological data","Data type",NA,NA,NA,NA,1,1
"151","genetic material","Data type","Type of data",NA,NA,"Material",3,3
"152","seroconversion","Biological process",NA,NA,NA,NA,1,1
"153","epidemic","Disease state","Disease status","Property","Disease pattern",NA,4,4
"154","endemic","Disease state","Disease status","Property","Disease pattern",NA,4,4
"155","family membership","Demographic factor","Factor","Factor","Risk factor",NA,4,3
"156","location","Demographic factor","Factor","Factor","Risk factor",NA,4,3
"157","exposure risk","Risk factor",NA,NA,NA,NA,1,1
"158","transmission within family groups","Transmission route",NA,NA,NA,NA,1,1
"159","host sex","Host characteristic","Factor",NA,NA,NA,2,2
"160","Monachus schauinslandi","Scientific name",NA,NA,NA,NA,1,1
"161","northwestern Hawaiian Islands","Location","Location",NA,NA,"Location",3,1
"162","1997","Year",NA,NA,"Year","Year",3,1
"163","25%","Proportion",NA,NA,NA,"Proportion",2,1
"164","332 animals","Number of individuals",NA,NA,NA,"Number of individuals",2,1
"165","Leptospira pomona","Pathogen",NA,NA,NA,NA,1,1
"166","Brucella spp.","Pathogen",NA,NA,NA,NA,1,1
"167","Chlamydophila abortus","Pathogen",NA,NA,NA,NA,1,1
"168","Dirofilaria immitis","Pathogen",NA,NA,NA,NA,1,1
"169","virus neutralization test","Diagnostic method","Test","Test",NA,"Test",4,2
"170","microagglutination test","Diagnostic method","Test","Test",NA,"Test",4,2
"171","complement fixation (CF) test","Diagnostic method","Test","Test",NA,"Test",4,2
"172","card test","Diagnostic method","Test","Test",NA,"Test",4,2
"173","human granulocytic ehrlichiosis (HGE)","Disease","Disease",NA,NA,NA,2,1
"174","specific forward primer (DGA)","Diagnostic tool",NA,NA,NA,NA,1,1
"175","Ehrlichia spp. reverse primer (GA1UR)","Diagnostic tool",NA,NA,NA,NA,1,1
"176","E. chaffeensis-specific forward primer (DCH)","Diagnostic tool",NA,NA,NA,NA,1,1
"177","E. phagocytophila genogroup-specific forward primer (GE9f)","Diagnostic tool",NA,NA,NA,NA,1,1
"178","white blood cells","Biological material","Tissue",NA,NA,NA,2,2
"179","62 deer","Sample size",NA,NA,NA,NA,1,1
"180","10 populations","Population",NA,NA,NA,NA,1,1
"181","four U.S. states","Location",NA,NA,NA,NA,1,1
"182","indirect fluorescence assays","Diagnostic method","Diagnostic method","Process","Laboratory technique","Technique",5,4
"183","P < 0.001","Statistical significance",NA,"Statistical significance","Statistical significance",NA,3,1
"184","ehrlichial pathogens","Pathogen",NA,NA,NA,"Pathogen",2,1
"185","DGA primer","detects",NA,NA,NA,NA,1,1
"186","DCH primer","detects",NA,NA,NA,NA,1,1
"187","GE9f primer","detects",NA,NA,NA,NA,1,1
"188","Amblyomma americanum infestation","associated with",NA,NA,NA,NA,1,1
"189","E. chaffeensis","found in","Pathogen",NA,NA,"Pathogen",3,2
"190","Anthrax","Disease","Disease","Disease","Disease","Disease",5,1
"191","Bacillus anthracis","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"192","hippos","Common name","Common name",NA,NA,"Common name",3,1
"193","Hippopotamus amphibius","Host","Host","Host","Host","Host",5,1
"194","Cape buffalo","Common name","Host","Common name","Common name","Common name",5,2
"195","elephant","Common name","Host",NA,NA,"Common name",3,2
"196","Loxodonta africana","Host","Host","Host","Host","Host",5,1
"197","Luangwa Valley","Location","Location","Location","Location","Location",5,1
"198","Zambia","Location","Location","Country","Location","Location",5,2
"199","Luangwa River valley","Location","Location",NA,NA,NA,2,1
"200","June 1987","Time period",NA,NA,NA,NA,1,1
"201","November 1987","Time period","Time",NA,NA,NA,2,2
"202","August 1988","Time period",NA,NA,NA,NA,1,1
"203","September 1988","Time period","Time",NA,NA,NA,2,2
"204","August 1989","Time period","Time",NA,NA,NA,2,2
"205","over 4000 deaths","Number of deaths",NA,NA,NA,NA,1,1
"206","environmental contamination","Environmental factor",NA,NA,NA,"Process",2,2
"207","risks to people","Risk factor",NA,NA,NA,NA,1,1
"208","methods of control","Control measure",NA,NA,NA,"Process",2,2
"209","continued monitoring of the disease","Monitoring",NA,NA,NA,NA,1,1
"210","enzootic status","Epidemiological status",NA,NA,NA,"Status",2,2
"211","black-tailed jackrabbits","Common name",NA,NA,"Common name","Common name",3,1
"212","Columbian black-tailed deer","Common name","Common name","Common name","Common name","Common name",5,1
"213","Odocoileus hemionus columbianus","Host","Host","Host","Host","Host",5,1
"214","Dermacentor occidentalis","Host","Host","Tick species","Tick species",NA,4,2
"215","Dermacentor parumapertus","Host",NA,NA,NA,NA,1,1
"216","Ixodes pacificus","Host",NA,NA,NA,NA,1,1
"217","Lyme borreliosis","Disease","Disease","Disease","Disease","Disease",5,1
"218","direct immunofluorescence","Method",NA,NA,"Detection method","Method",3,2
"219","indirect immunofluorescence","Method",NA,NA,"Detection method","Method",3,2
"220","monoclonal antibody H9724","Method",NA,NA,NA,NA,1,1
"221","monoclonal antibody H5332","Method",NA,NA,NA,NA,1,1
"222","58 of 73 (79%)","Prevalence",NA,NA,NA,NA,1,1
"223","one of 26 (4%)","Prevalence",NA,NA,NA,NA,1,1
"224","two of 10 (20%)","Prevalence",NA,NA,NA,NA,1,1
"225","two of 174 (1%)","Prevalence",NA,NA,NA,NA,1,1
"226","about 67%","Prevalence",NA,NA,NA,NA,1,1
"227","northern California","Location",NA,NA,NA,"Location",2,1
"228","wildlife","Host group",NA,NA,NA,NA,1,1
"229","sentinel","Surveillance role",NA,NA,NA,NA,1,1
"230","serosurveys","Surveillance method",NA,NA,NA,NA,1,1
"231","specific serologic tests","Diagnostic method",NA,NA,NA,NA,1,1
"232","bovine tuberculosis","Disease","Disease",NA,NA,"Disease",3,1
"233","Mycobacterium bovis","Pathogen",NA,NA,NA,NA,1,1
"234","Meles meles","Host","Host","Host","Host","Host",5,1
"235","European badger","Common name",NA,NA,NA,"Common name",2,1
"236","British cattle","Host","Host","Host","Host","Host",5,1
"237","culling","Event",NA,NA,NA,NA,1,1
"238","south-west England","Location","Location","Location",NA,"Location",4,1
"239","TB","Disease (alias)","Disease","Abbreviation","Abbreviation","Disease",5,3
"240","incident case","Symptom",NA,NA,NA,"Disease status",2,2
"241","social group","Social structure","Group","Entity",NA,NA,3,3
"242","group instability","Demographic process",NA,NA,NA,NA,1,1
"243","group size reduction","Demographic process",NA,NA,NA,NA,1,1
"244","movement","Behavior","Behavior","Process",NA,"Process",4,2
"245","high proportion of females","Demographic characteristic",NA,NA,NA,NA,1,1
"246","bacilli","Pathogen (alias)","Pathogen","Pathogen",NA,"Pathogen",4,2
"247","high-density population","Population characteristic",NA,NA,NA,NA,1,1
"248","stable social structure","Social structure",NA,"Property",NA,NA,2,2
"249","Svalbard Archipelago","Location","Location",NA,"Location","Location",4,1
"250","Norway","Location","Location","Location","Location","Location",5,1
"251","type A","Toxin type","Pathogen type",NA,"Toxin type","Toxin type",4,2
"252","beta2-toxin","Pathogen","Toxin","Toxin","Toxin","Toxin type",5,3
"253","isolation","Process",NA,NA,NA,"Process",2,1
"254","characterization","Process",NA,NA,NA,"Process",2,1
"255","gastrointestinal tract","Anatomical location","Location","Tissue","Tissue","Tissue",5,3
"256","normal inhabitant","Status",NA,NA,NA,"Property",2,2
"257","Acari: Ixodidae","Taxonomic classification",NA,"Class",NA,NA,2,2
"258","Rickettsiales: Ehrlichieae","Taxonomic classification","Taxon","Order",NA,"Taxonomic classification",4,3
"259","human ehrlichiosis","Disease","Disease","Disease",NA,NA,3,1
"260","Ehrlichia chaffeensis Anderson, Dawson, Jones, & Wilson","Pathogen",NA,NA,NA,NA,1,1
"261","lone star tick","Common name","Common name","Common name",NA,NA,3,1
"262","125 of 300 (41.7%)","Measurement",NA,NA,NA,"Proportion of individuals that tested positive",2,2
"263","30 of 30 (100%)","Measurement",NA,NA,NA,"Proportion of areas that tested positive",2,2
"264","121/150 (80.7%)","Measurement",NA,NA,NA,"Proportion of deer examined",2,2
"265","4/150 (2.7%)","Measurement",NA,NA,NA,"Proportion of deer that tested positive",2,2
"266","2 of 30 (6.7%)","Measurement",NA,NA,NA,"Proportion of areas that tested positive",2,2
"267","site-specific geographic association","Relationship",NA,NA,NA,"Concept",2,2
"268","human-associated","Pathogen characteristic",NA,"Property",NA,NA,2,2
"269","great ape populations","Host group",NA,NA,NA,NA,1,1
"270","Central Africa","Location","Location","Location","Location","Location",5,1
"271","Gabon","Location","Location","Location","Location","Location",5,1
"272","western lowland gorilla","Common name","Host",NA,"Host",NA,3,2
"273","Gorilla gorilla gorilla","Host",NA,"Host",NA,NA,2,1
"274","Pan troglodytes","Host","Host",NA,"Host","Host",4,1
"275","spa-type t148","Pathogen strain",NA,"Strain",NA,"Strain",3,2
"276","staphylococcal sepsis","Disease","Disease","Disease","Disease","Disease",5,1
"277","necrotizing wound","Symptom","Tissue",NA,"Symptom","Symptom",4,2
"278","mortality","Symptom","Symptom",NA,"Symptom","Symptom",4,1
"279","International Centre for Medical Research of Franceville","Institution","Location","Location","Research facility","Facility",5,4
"280","pulsed field gel electrophoresis","Technique",NA,"Method","Detection method","Technique",4,3
"281","Leptospira licerasiae serovar Varillal","Pathogen",NA,NA,"Pathogen",NA,2,1
"282","Leptospira fainei","Pathogen","Pathogen",NA,NA,"Pathogen",3,1
"283","Leptospira inadai","Pathogen","Pathogen",NA,NA,"Pathogen",3,1
"284","Leptospira interrogans","Pathogen",NA,NA,NA,"Pathogen",2,1
"285","Leptospira kirschneri","Pathogen",NA,NA,NA,"Pathogen",2,1
"286","peridomestic rats","Common name",NA,NA,NA,NA,1,1
"287","febrile patients","Host",NA,NA,NA,"Measurement",2,2
"288","Peruvian Amazon","Location","Location","Location","Location","Location",5,1
"289","Iquitos region","Location","Location","Location","Location","Location",5,1
"290","acute febrile illness","Symptom","Symptom",NA,NA,"Disease",3,2
"291","field trapping","Method",NA,NA,NA,"Event",2,2
"292","serological typing","Method","Method",NA,NA,"Process",3,2
"293","16S ribosomal RNA gene sequencing","Method","Method",NA,NA,"Process",3,2
"294","pulsed-field gel electrophoresis","Method","Method",NA,NA,NA,2,1
"295","DNA-DNA hybridization analysis","Method","Method","Measurement",NA,"Process",4,3
"296","microscopic agglutination test","Method","Method",NA,NA,"Process",3,2
"297","MAT","Method",NA,NA,NA,NA,1,1
"298","Southern blot hybridization","Method","Method",NA,NA,"Process",3,2
"299","Western immunoblot","Method","Method",NA,NA,"Process",3,2
"300","VAR 010(T)","Type strain","Strain","Strain","Strain","Strain",5,2
"301","881","Number of patients","Number of individuals sampled","Number of individuals sampled",NA,"Number of individuals",4,3
"302","30%","Proportion of patients with antibodies",NA,"Proportion of patients with high titers","Proportion of individuals","Proportion",4,4
"303","7%","Proportion of patients with antibodies elsewhere","Proportion of individuals infected","Proportion of patients with high titers elsewhere in Peru","Proportion of individuals","Proportion",5,5
"304","LipL32","Protein",NA,"Protein",NA,"Protein",3,1
"305","27 kDa","Molecular weight","Molecular weight","Molecular weight",NA,"Measurement",4,2
"306","32 kDa","Molecular weight","Molecular weight","Molecular weight",NA,"Measurement",4,2
"307","Mycoplasma alligatoris","Pathogen",NA,"Pathogen","Pathogen",NA,3,1
"308","Mycoplasma alligatoris sp. nov.","Scientific name","Pathogen",NA,"Pathogen species","Pathogen",4,3
"309","American alligator","Common name",NA,"Common name",NA,NA,2,1
"310","Alligator mississippiensis","Host","Host","Host","Host","Host",5,1
"311","multiple tissues","Tissue",NA,NA,"Tissue",NA,2,1
"312","diseased","Disease state",NA,"State",NA,"Condition",3,3
"313","A21JP2T","Strain","Strain","Type strain","Strain","Strain",5,2
"314","ATCC 700619T","Type strain","Strain","Type strain","Strain identifier","Strain",5,3
"315","molecular genetic","Method",NA,"Property","Characterization method","Characterization method",4,3
"316","characterizations","Process",NA,NA,NA,NA,1,1
"317","lethal","Disease",NA,NA,NA,"Property",2,2
"318","pathogen","Pathogen","Disease type",NA,NA,"Pathogen",3,2
"319","indirect fluorescent antibody test","Test","Method",NA,NA,"Test",3,2
"320",">= 1:128","Antibody level",NA,NA,NA,NA,1,1
"321","84 counties","Location",NA,NA,NA,"Location",2,1
"322","Alabama","Location","Location","Location","Location","Location",5,1
"323","Arkansas","Location","Location","Location","Location","Location",5,1
"324","Florida","Location","Location","Location","Location","Location",5,1
"325","Illinois","Location","Location","Location","Location","Location",5,1
"326","Kentucky","Location","Location","Location","Location","Location",5,1
"327","Louisiana","Location","Location","Location","Location","Location",5,1
"328","Maryland","Location","Location","Location","Location","Location",5,1
"329","Massachusetts","Location","Location","Location","Location","Location",5,1
"330","Mississippi","Location","Location","Location","Location","Location",5,1
"331","Missouri","Location","Location","Location","Location","Location",5,1
"332","North Carolina","Location","Location","Location","Location","Location",5,1
"333","South Carolina","Location","Location","Location","Location","Location",5,1
"334","Tennessee","Location","Location","Location","Location","Location",5,1
"335","Texas","Location","Location","Location","Location","Location",5,1
"336","Virginia","Location","Location","Location","Location","Location",5,1
"337","West Virginia","Location","Location","Location","Location","Location",5,1
"338","544","Number of positive deer","Number of seropositive deer","Number of individuals infected",NA,"Number of individuals infected",4,3
"339","1269","Total number of deer tested","Total number of deer tested","Number of individuals tested",NA,"Number of individuals tested",4,2
"340","43%","Prevalence of antibodies","Proportion of seropositive deer","Proportion of individuals infected",NA,"Proportion of individuals infected",4,3
"341","southerly latitude","Geographic factor",NA,NA,NA,"Geographic condition",2,2
"342","low elevation","Geographic factor","Environmental factor",NA,NA,"Geographic condition",3,3
"343","mild climatic conditions","Climatic factor",NA,NA,NA,NA,1,1
"344","Phoca vitulina","Host",NA,"Host","Host",NA,3,1
"345","Phoca groenlandica","Host",NA,"Host","Host",NA,3,1
"346","cetaceans","Host",NA,"Host","Host",NA,3,1
"347","pinnipeds","Host",NA,"Host","Host",NA,3,1
"348","lymphoid tissues","Tissue","Tissue","Tissue","Tissue","Tissue",5,1
"349","visceral tissues","Tissue","Tissue","Tissue","Tissue","Tissue",5,1
"350","brucellosis","Disease",NA,NA,NA,NA,1,1
"351","brucellosis card test","Diagnostic method","Test",NA,"Detection method","Test",4,3
"352","buffered acidified plate antigen test","Diagnostic method","Test","Test","Detection method","Test",5,3
"353","rivanol test","Diagnostic method",NA,"Test","Detection method","Test",4,3
"354","antibodies to Brucella sp.","Antibody",NA,NA,NA,NA,1,1
"355","119","Number of samples",NA,"Number of samples",NA,NA,2,1
"356","1985 to 2000","Time period",NA,NA,NA,NA,1,1
"357","1998 to 2000","Time period",NA,NA,NA,NA,1,1
"358","3 of 21 (14%)","Proportion",NA,NA,NA,NA,1,1
"359","4 of 53 (8%)","Proportion",NA,NA,NA,NA,1,1
"360","2 of 4 (50%)","Proportion",NA,NA,NA,NA,1,1
"361","3 of 9 (33%)","Proportion",NA,NA,NA,NA,1,1
"362","5 animals","Number of animals",NA,NA,NA,NA,1,1
"363","2 seropositive","Number of seropositive animals",NA,NA,NA,NA,1,1
"364","3 seronegative","Number of seronegative animals",NA,NA,NA,NA,1,1
"365","lung","Tissue","Tissue","Tissue","Tissue","Tissue",5,1
"366","axillary lymph nodes","Tissue","Tissue","Tissue","Tissue","Tissue",5,1
"367","inguinal lymph nodes","Tissue","Tissue","Tissue","Tissue","Tissue",5,1
"368","prescapular lymph nodes","Tissue","Tissue","Tissue","Tissue","Tissue",5,1
"369","gross changes","Pathological change",NA,"Symptom",NA,"Observation",3,3
"370","histopathologic changes","Pathological change",NA,"Symptom",NA,"Observation",3,3
"371","paratuberculosis","Disease","Disease","Disease","Disease","Disease",5,1
"372","Slovakia","Location","Location","Location","Location","Location",5,1
"373","IS900","Genetic marker","Genetic marker","Insertion sequence","Gene","Genetic marker",5,3
"374","restriction fragment length polymorphism (RFLP) analysis","Detection method",NA,NA,NA,NA,1,1
"375","RFLP type B-C1","Genetic marker","Pathogen subtype","Genetic type","Genotype","Genetic type",5,4
"376","cattle","Host","Host","Host","Animal source",NA,4,2
"377","acid-fast rods","Pathogen detection",NA,NA,"Microscopic feature",NA,2,2
"378","intestinal mucosa","Tissue","Tissue","Tissue","Tissue","Tissue",5,1
"379","kidney","Tissue","Tissue","Tissue","Tissue","Tissue",5,1
"380","20 brown bears","Sample size",NA,NA,NA,NA,1,1
"381","two brown bears","Sample size",NA,NA,NA,NA,1,1
"382","ruminants","Host group","Host","Host","Animal source","Common name",5,4
"383","potential vectors","Host role",NA,NA,NA,NA,1,1
"384","reservoirs","Host role",NA,"Concept",NA,"Role",3,3
"385","Puget Sound","Location","Location","Location","Location",NA,4,1
"386","WA","Location","Location",NA,"State",NA,3,2
"387","antimicrobial sensitivity","Process","Property",NA,NA,NA,2,2
"388","genetic similarity","Process","Property",NA,NA,"Measurement",3,3
"389","n = 19","Count",NA,NA,NA,NA,1,1
"390","87%","Proportion","Proportion",NA,NA,"Proportion of individuals infected",3,2
"391","n = 26","Count",NA,NA,NA,NA,1,1
"392","9%","Proportion",NA,NA,"Proportion",NA,2,1
"393","n = 8","Count",NA,NA,NA,NA,1,1
"394","antimicrobial resistant isolate","Pathogen",NA,NA,NA,NA,1,1
"395","Enteritidis","Pathogen","Serotype","Serotype","Serotype","Serotype",5,2
"396","Montevideo","Pathogen","Serotype","Serotype","Serotype","Serotype",5,2
"397","Newport","Pathogen","Serotype","Serotype","Serotype","Serotype",5,2
