"","entity","deepseek","gemma2","llama","llama70b","mistral","models_present","n_entity_types"
"104","northern elephant seal","Host",NA,"Mammal","Species","Animal",4,4
"105","Mirounga angustirostris","Host",NA,NA,NA,NA,1,1
"106","California sea lion","Host",NA,"Mammal","Species",NA,3,3
"107","Zalophus californianus","Host",NA,NA,NA,NA,1,1
"108","nephrolithiasis","disease","Disease",NA,NA,"Disease",3,2
"109","nephroliths","Other",NA,"Kidney stones",NA,"Medical Condition",3,3
"110","uric acid","Metabolite","metabolite","Organic compound",NA,NA,3,3
"111","ammonium urate","chemical compound","Crystalline compound","Biological Compound",NA,NA,3,3
"112","kidneys","Kidney","Anatomical Structure",NA,NA,NA,2,2
"113","renal pelvic dilation","pathological finding","Disease","Urological anatomical abnormality",NA,NA,3,3
"114","pyelonephritis","disease","Disease","Bacterial kidney infection",NA,NA,3,3
"115","hydronephrosis","urinary system disease","Disease","Kidney disease",NA,NA,3,3
"116","necropsy examination","pathological examination","Medical Procedure",NA,NA,NA,2,2
"117","routine necropsy examination","Biomedical Procedure",NA,NA,NA,NA,1,1
"118","1-10 mm","Measurement","Length",NA,"SizeRange",NA,3,3
"119","1-15 mm","Size range","Length",NA,"Diameter",NA,3,3
"120","diameter","measurement",NA,NA,NA,"Measurement",2,2
"121","HGE agent","Ehrlichia chaffeensis","Ehrlichia chaffeensis","Ehrlichia species",NA,NA,3,2
"122","Ehrlichia-like organism","Bacterium",NA,"Ehrlichia species","Bacterium","Bacterium",4,2
"123","Ixodes scapularis","tick","Tick","Tick species","Tick species","Tick species",5,3
"124","coastal Georgia","geographical region","Geographic Location",NA,"Geographic Region","Geographical Location",4,4
"125","serologic techniques","Technique",NA,NA,NA,NA,1,1
"126","molecular techniques","Technique",NA,NA,NA,NA,1,1
"127","culture techniques","Technique",NA,NA,NA,NA,1,1
"128","indirect fluorescent antibody testing","Technique","Technique","Technique","Technique","Technique",5,1
"129","nested polymerase chain reaction","Technique","Technique","Technique","Technique","Technique",5,1
"130","species-specific primers","biological reagent",NA,NA,"PCR Primer",NA,2,2
"131","16S rDNA fragments","Molecule",NA,NA,"Gene Fragment","Genetic Material",3,3
"132","geometric mean titer","Measurement",NA,"Biological measurement",NA,"Biological Measurement",3,3
"133","111","Measurement",NA,NA,"Titer","Geometric Mean Titer",3,3
"134","1,024","Measurement",NA,NA,"Titer","GeometricMeanTiter",3,3
"135","inguinal lymph node","inguinal lymph node","Anatomical Structure","Lymph node, inguinal",NA,NA,3,3
"136","neutrophil","neutrophil","leukocyte","Granulocyte","Blood cell","Cell",5,5
"137","Ehrlichia-type morula","Molecule",NA,"Biological Cell Structure","Cellular structure","Pathological structure",4,4
"138","blood smears","biological sample","Diagnostic specimen","Biological sample","BiologicalSample","biological sample",5,4
"139","antibodies to Ehrlichia chaffeensis","Antibody",NA,NA,NA,NA,1,1
"140","Pathogenic agents","Pathogenic agents",NA,"Bacteria",NA,NA,2,2
"141","Free-living wild species","Host",NA,"Host",NA,NA,2,1
"142","535 sera","BiologicalSample",NA,NA,NA,NA,1,1
"143","Eight species of wildlife","Host",NA,NA,NA,NA,1,1
"144","1987","Year","Year","Year","Year","Year",5,1
"145","1989","Year","Year",NA,"Year","Year",4,1
"146","Foot-and-mouth disease","Disease",NA,"Disease",NA,NA,2,1
"147","Bovine herpes virus types 1 and 2","Virus",NA,"Bovine herpesvirus",NA,NA,2,2
"148","Lumpy skin disease","Disease",NA,"Disease",NA,NA,2,1
"149","Bovine viral diarrhoea","Disease",NA,"Disease",NA,NA,2,1
"150","Akabane","Disease","Disease","Virus","Disease","Disease",5,2
"151","Bovine ephemeral fever","Disease",NA,"Disease",NA,NA,2,1
"152","Bluetongue","Disease",NA,"Disease",NA,NA,2,1
"153","Enzootic bovine leucosis","Disease",NA,"Disease",NA,NA,2,1
"154","African horse sickness","Disease","Disease","Disease","Disease","Disease",5,1
"155","African swine fever viruses","virus",NA,NA,NA,NA,1,1
"156","Brucella abortus","bacterium","Bacteria","Bacterial species","Bacterium","Bacterium",5,4
"157","Buffalo","Host",NA,"Syncerus caffer",NA,NA,2,2
"158","Syncerus caffer","Host","Host","Host","Host",NA,4,1
"159","Wildebeest","Host",NA,"Mammal",NA,NA,2,2
"160","Connochaetes taurinus","Host","Host","Host","Host","hosts",5,2
"161","Topi","Host",NA,"Mammal",NA,NA,2,2
"162","Damaliscus korrigum","Host","Host","Host","Host","hosts",5,2
"163","Zebra","Host","Equine","Equus quagga","Equus quagga","Animal species",5,4
"164","Wart hog","Host",NA,"Sus scrofa (domestic pig)",NA,NA,2,2
"165","Bacterial valvular endocarditis","Disease","Disease",NA,"Disease",NA,3,1
"166","black bear","Ursidae",NA,"Ursus americanus","Ursus americanus","Animal",4,3
"167","Ursus americanus","species","Animal",NA,"Species","Animal species",4,4
"168","coagulase-positive Staphylococcus aureus","Bacterium","Pathogen",NA,"Bacterium",NA,3,2
"169","northern Labrador","geographical region",NA,"Geographic Region",NA,NA,2,2
"170","Canada","Country","Geopolitical Entity","Country","Country","Geopolitical Entity",5,2
"171","fall 1991","time period","Time Expression","Season","Season","Temporal Event",5,4
"172","death","animal death",NA,NA,"BiologicalProcess","Event",3,3
"173","radio-collared","adjective",NA,"Animal with tracking device","Property","Animal tracking device",4,4
"174","infection dissemination","Disease dissemination",NA,NA,NA,NA,1,1
"175","first reported case","Event",NA,NA,NA,"Medical Event",2,2
"176","parainfluenza 3 virus","virus","Virus","Viral pathogen","Virus","Virus",5,3
"177","Bison bison","species","Host","Species","Species","Animal species",5,4
"178","Delta bison","population","Host","Wild animal population","Bison herd","Animal species",5,5
"179","Delta Junction, Alaska (USA)","Geographical location",NA,NA,NA,NA,1,1
"180","Serum antibody prevalence","Biological measure","Quantitative measure","Virological measurement","Measurement",NA,4,4
"181","0%","Prevalence","Percentage",NA,"Percentage","Percentage",4,2
"182","1977 to 1984","Time period",NA,NA,"Time Period",NA,2,2
"183","Domestic cattle","Domestic mammal",NA,"Bos taurus","Organism",NA,3,3
"184","Infection","Disease",NA,"Bacterial infection",NA,"Disease",3,2
"185","Clinical disease","Disease",NA,"Infectious disease",NA,NA,2,2
"186","Decrease in productivity","Disease outcome",NA,NA,NA,NA,1,1
"187","Rocky Mountain cougars","Mammal","Animal Species","Wildcat subspecies","Puma concolor","Animal species",5,5
"188","Puma concolor","species","Animal Species","hosts","Species","hosts",5,4
"189","1990-2004","Time Period","Time Period","Time period","Time Period","Time Period",5,2
"190","207","Number","Number of cougars","Number of cougars","Count of organisms","Number of cougars",5,3
"191","four populations","Biological Population","Animal populations","Wildlife populations","BiologicalPopulation","Geographic populations",5,5
"192","feline immunodeficiency virus (FIV)","lentivirus",NA,NA,NA,NA,1,1
"193","feline parvovirus (FPV)","virus",NA,NA,NA,NA,1,1
"194","feline coronavirus (FCoV)","Coronavirus",NA,NA,NA,NA,1,1
"195","feline calicivirus (FCV)","virus",NA,NA,NA,NA,1,1
"196","feline herpesvirus (FHV)","Virus",NA,NA,NA,NA,1,1
"197","Yersinia pestis","Pathogen","Bacterium","Bacterium","Bacterium","Bacterium",5,2
"198","serologic data","biological data",NA,NA,NA,NA,1,1
"199","family membership","Genetic factor","Demographic Factor","kinship relationship","SocialFactor","Social Group",5,5
"200","location","Rocky Mountains","Geographic location","geographic region","GeographicLocation","Geographical region",5,5
"201","endemic","Population attribute","Disease Transmission Pattern","disease","DiseaseStatus","Property",5,5
"202","sporadic","Disease Occurrence Pattern",NA,NA,"DiseaseCourse",NA,2,2
"203","exposure risk","Risk Factor",NA,"Measurement",NA,NA,2,2
"204","Hawaiian monk seal","endangered species","Animal","Mammal","Species","Animal species",5,5
"205","Monachus schauinslandi","species","Animal Species","hosts","Species","hosts",5,4
"206","northwestern Hawaiian Islands","Geographical Region","Geographic Location","geographic region","GeographicRegion","Geographical Location",5,5
"207","1997","Year","Year","Year","Year","Year",5,1
"208","25%","Measurement","Percentage","Proportion","Proportion","Percentage",5,3
"209","332 animals","Measurement",NA,NA,NA,"Quantity",2,2
"210","bacteria","Pathogenic bacterium",NA,NA,NA,"Microorganism",2,2
"211","phocine herpesvirus-1","Virus","Virus","Virus","Virus","Virus",5,1
"212","enzyme-linked immunosorbent assay","Test","Test",NA,"Laboratory Test","Test",4,2
"213","virus neutralization test","Test","Test","Test","Laboratory Test","Test",5,2
"214","Leptospira bratislava","Bacterium","Bacteria","Bacterial pathogen","Bacterium species","Bacteria",5,4
"215","L. hardjo","Leptospira hardjo","Bacteria","Bacterium","Bacterium",NA,4,3
"216","L. icterohaemorrhagiae","Leptospira serovar","Bacteria","Bacterium","Bacterial species",NA,4,4
"217","L. pomona","Leptospira species","Bacteria","Leptospira pomona","Leptospira species",NA,4,3
"218","microagglutination test","Test","Test","Test","Laboratory Test","Test",5,2
"219","Brucella spp.","Pathogen","Bacteria","Bacterial pathogen","Bacterium","Bacteria",5,4
"220","conventional serologic tests","Test",NA,"Test",NA,"Test",3,1
"221","B. canis","Bacteria","Bacteria","Borrelia canis","Babesia canis",NA,4,3
"222","card test","Test","Test","Test","DiagnosticTest","Test",5,2
"223","Chlamydophila abortus","Pathogen","Bacteria","Bacterial pathogen","Bacterium","Bacterium",5,4
"224","complement fixation (CF) test","Test","Test","Test",NA,"Test",4,1
"225","Dirofilaria immitis","Parasite","Parasite","Nematode parasite","Parasitic nematode species","Parasitic nematode",5,4
"226","morbilliviruses","Virus",NA,"Morbillivirus","Virus family","Virus",4,3
"227","influenza A virus","Virus","Virus","Viral pathogen","Orthomyxovirus",NA,4,3
"228","caliciviruses","virus","Virus","Calicivirus","Virus","Virus",5,3
"229","polymerase reaction","Technique",NA,NA,NA,NA,1,1
"230","Ehrlichia sp.-like organism","Bacteria",NA,NA,NA,"Bacterium",2,2
"231","human granulocytic ehrlichiosis (HGE)","Disease","Disease",NA,NA,NA,2,1
"232","agent of human granulocytic ehrlichiosis (HGE)","bacterium",NA,NA,NA,NA,1,1
"233","16S rDNA sequence","Genetic Marker",NA,NA,"Gene sequence",NA,2,2
"234","DGA","Primer","Primer",NA,"Primer","Primer",4,1
"235","GA1UR","Primer","Primer",NA,"Primer","Primer",4,1
"236","DCH","Primer",NA,NA,"Primer","Primer",3,1
"237","GE9f","Primer","Primer",NA,"Primer","Primer",4,1
"238","nested polymerase chain reactions","Technique",NA,NA,"Diagnostic technique",NA,2,2
"239","control samples","reference sample",NA,NA,NA,NA,1,1
"240","white blood cells","Cell","leukocytes","Leukocyte",NA,"biological sample",4,4
"241","deer","Host",NA,"Host",NA,NA,2,1
"242","E. chaffeensis-reactive antibodies","Antibody",NA,NA,NA,NA,1,1
"243","indirect fluorescence assays","Technique","Laboratory Technique","Technique","Diagnostic technique","Laboratory Technique",5,3
"244","serologic cross-reactions","Challenge","Immunological phenomenon","Biological phenomenon",NA,"Biological Phenomenon",4,4
"245","Anthrax","Disease","Disease","Bacterial disease","Disease","Disease",5,2
"246","Luangwa Valley","river valley","Geographic Location","Geographical Region","GeographicRegion","Geographical Location",5,5
"247","Zambia","country","Country","Country","Country","Country",5,2
"248","hippos","wildlife","Hippopotamus amphibius",NA,"Organism","Animal species",4,4
"249","Hippopotamus amphibius","Host","Host","Host","Host","Host",5,1
"250","Cape buffalo","species","Animal","Host","Species","Animal species",5,5
"251","elephant","animal","animal",NA,"Species","Animal",4,3
"252","Loxodonta africana","Host","Host","Host","Host","Host",5,1
"253","Bacillus anthracis","Bacterium","Bacterium","Bacterial pathogen","Bacterium","Bacterium",5,2
"254","4000 deaths","DeathCount",NA,NA,NA,NA,1,1
"255","June","Month",NA,NA,"Month","Month",3,1
"256","November","Month","DATE","Time","Month","Month",5,3
"257","August","Month","Time Period","Time","Month","Month",5,3
"258","September","Month","Time Period","Time",NA,"Month",4,3
"259","1988","Year","Year","Year","Year","Year",5,1
"260","100 km","Measurement","Distance","Distance","Distance","Distance",5,2
"261","up-river","geographical region",NA,NA,"DirectionalLocation","Directional Location",3,3
"262","August 1989","Date",NA,NA,NA,NA,1,1
"263","field study","epidemiological study","Research Method",NA,"Epidemiological study",NA,3,3
"264","environmental contamination","biological contamination",NA,NA,"Process","Process",3,2
"265","risks to people","Disease transmission risk",NA,NA,NA,NA,1,1
"266","methods of control","disease control",NA,NA,"Process","Process",3,2
"267","local laboratory staff","Health Professional",NA,NA,"HealthcareProfessional","Healthcare Professional",3,3
"268","continued monitoring","Public health measure",NA,NA,"Process",NA,2,2
"269","enzootic status","Disease Presence",NA,NA,"DiseaseStatus","Disease status",3,3
"270","Borrelia burgdorferi","bacterium","Bacteria","Bacterial pathogen","Bacterium","Bacterium",5,4
"271","black-tailed jackrabbit","Host","Animal","Mammal",NA,"Mammal",4,3
"272","Lepus californicus californicus","Host","Host","Host","Host","Host",5,1
"273","Columbian black-tailed deer","Host","Animal","Mammal","Mammal","Mammal",5,3
"274","Odocoileus hemionus columbianus","Host","Host","Host","Host","Host",5,1
"275","Dermacentor occidentalis","Tick","Host","Tick species","Tick species","Host",5,3
"276","D. parumapertus","Tick","Host","Tick species","Tick species","Host",5,3
"277","Ixodes neotomae","Tick","Host","Tick species","Tick species","Host",5,3
"278","I. pacificus","Tick","Host","Tick species","Tick species","Host",5,3
"279","Haemaphysalis leporispalustris","Tick","Host","Tick species","Tick species","Host",5,3
"280","indirect immunofluorescence","serological technique",NA,NA,"Laboratory technique","Method",3,3
"281","direct immunofluorescence","immunofluorescence technique",NA,NA,"Laboratory Technique","Method",3,3
"282","H9724","Borrelia burgdorferi strain","Monoclonal Antibody","Monoclonal antibody","Strain","Borrelia burgdorferi",5,5
"283","H5332","Borrelia burgdorferi strain","Monoclonal Antibody","Monoclonal antibody","Strain","Borrelia burgdorferi",5,5
"284","spirochetes","Borrelia burgdorferi",NA,NA,NA,"Bacteria",2,2
"285","Lyme borreliosis","disease","Disease","Disease","Disease","Disease",5,2
"286","northern California","region","Geographic Location",NA,"Region",NA,3,3
"287","73","Total number","Number of black-tailed jackrabbits",NA,"Count",NA,3,3
"288","58","Count","Number of jackrabbits with antibodies",NA,"Count",NA,3,2
"289","79%","Prevalence","Percentage",NA,"Percentage",NA,3,2
"290","26","Identifier",NA,"Number",NA,NA,2,2
"291","4%","Percentage",NA,NA,"Percentage",NA,2,1
"292","20%","Percentage","Percentage","Percentage","Percentage","Percentage",5,1
"293","174","Number","Number",NA,"Sample size",NA,3,2
"294","1%","Percentage","Percentage",NA,"Percentage",NA,3,1
"295","40","Count",NA,"Number of samples",NA,"Number",3,3
"296","15%","Percentage","Percentage",NA,"Percentage",NA,3,1
"297","Social organization","Animal social behavior",NA,NA,"Property",NA,2,2
"298","Movement","Animal movement",NA,NA,"Property",NA,2,2
"299","European badger","Host","Animal",NA,NA,"Animal species",3,3
"300","Meles meles","Host","Host","Species of mammal","Species","Host",5,3
"301","Bovine tuberculosis","Bacterial disease",NA,"Disease","Disease",NA,3,2
"302","Mycobacterium bovis","Pathogen",NA,NA,NA,NA,1,1
"303","British cattle","Host","Host","Domestic cattle","Bos taurus (Domestic Cattle)","Host",5,3
"304","Bos taurus","Host",NA,NA,NA,"Host",2,1
"305","South-west England","Geographical region",NA,NA,"GeographicRegion",NA,2,2
"306","Incidence","Measurement",NA,NA,"Measurement",NA,2,1
"307","Social group","Clique",NA,NA,"Population",NA,2,2
"308","Group size reduction","Population control",NA,NA,NA,NA,1,1
"309","Individual movement","Animal behavior",NA,NA,NA,NA,1,1
"310","Demographic processes","Population dynamics",NA,NA,"Sociological_process",NA,2,2
"311","Disease dynamics","Epidemiological factor",NA,NA,"Biological Process",NA,2,2
"312","Long-term intensive study","Research project",NA,NA,"Research project",NA,2,1
"313","Culture of clinical samples","Microbiological culture",NA,NA,NA,NA,1,1
"314","Group size","Measurement",NA,"Measurement","Measurement",NA,3,1
"315","Proportion of females","Measurement",NA,NA,NA,NA,1,1
"316","Males","Genus",NA,"Biological Population","HumanGender",NA,3,3
"317","Social structure","Biological attribute",NA,NA,NA,NA,1,1
"318","Culling","Disease control measure",NA,NA,NA,NA,1,1
"319","Clostridium perfringens","Bacterium","Bacteria","Bacterium","Bacterium","Bacterium",5,2
"320","polar bears","animal","Animal Model","Mammal","Organism","Animal Species",5,5
"321","Ursus maritimus","species","Species","Host","Species","Animal species",5,4
"322","Svalbard Archipelago","Archipelago","Geographic Location",NA,NA,"Geographical Location",3,3
"323","Norway","Country","Country","Country","Country","Geopolitical Entity",5,2
"324","40 of 92 samples","ratio",NA,NA,NA,NA,1,1
"325","44%","Prevalence",NA,"Percentage","Percentage","Percentage",4,2
"326","toxin type","bacterial toxin type",NA,NA,NA,NA,1,1
"327","beta2-toxin","beta2-toxin","Bacterial toxin","Toxin","Toxin","Toxin",5,3
"328","gastrointestinal tract","anatomical structure","organ system","anatomical structure","Anatomical Structure","Anatomical Structure",5,3
"329","fatal diseases","Fatal Disease",NA,"Infectious diseases","Disease or Disorder Class","Medical Condition",4,4
"330","Ehrlichiosis","Disease",NA,NA,"Disease",NA,2,1
"331","1982-1992","Time period",NA,NA,NA,NA,1,1
"332","300","Sample Number",NA,"Number","Count","Numerical Value",4,4
"333","125","Figure","Serum sample identifier","Serum antibody titer","Sample ID",NA,4,4
"334","30","Serum sample ID",NA,NA,NA,NA,1,1
"335","150","Numerical value","Number","Number of items or values","Count",NA,4,4
"336","121","Reference citation",NA,"Ratios/Proportions","RatioDenominator",NA,3,3
"337","6.7%","Prevalence rate","Percentage","Proportion","Percentage",NA,4,3
"338","2.7%","numeric","Percentage","Proportion","Percentage",NA,4,3
"339","41.7%","percentage","Percentage","Proportion","Percentage",NA,4,3
"340","80.7%","Prevalence","Percentage","Percentage","Percentage",NA,4,2
"341","fluorescent antibody analysis","fluorescent antibody technique","Laboratory technique","Immunofluorescence assay","Laboratory Technique","Laboratory Technique",5,4
"342","Staphylococcus aureus","Strain",NA,NA,NA,"Bacterial species",2,2
"343","human-associated Staphylococcus aureus","bacteria",NA,NA,NA,NA,1,1
"344","great apes","Host",NA,NA,"Host",NA,2,1
"345","western lowland gorilla","Host","Host",NA,"Host",NA,3,1
"346","chimpanzees","Host",NA,"Primates",NA,NA,2,2
"347","spa-type t148","spa type",NA,"Staphylococcus aureus spa type",NA,"Staphylococcus aureus strain type",3,3
"348","staphylococcal sepsis","Disease","Infectious disease","Bacterial sepsis","Disease","Disease",5,3
"349","Gabon","country","Geopolitical Entity","Country","Country","Country",5,3
"350","International Centre for Medical Research of Franceville","Research Institution","Medical Research Institute","Research Institute","Research Institute","Research Institute",5,3
"351","primate facility","primate research facility",NA,NA,NA,NA,1,1
"352","Leptospira licerasiae serovar Varillal","Serovar","Bacterial Strain",NA,NA,NA,2,2
"353","human","Host","Host",NA,"Host",NA,3,1
"354","Homo sapiens","Host",NA,NA,NA,NA,1,1
"355","Rattus species","Host","Host",NA,"Host","Host",4,1
"356","Rattus norvegicus","Host","Host","Species","Host","Host",5,2
"357","Rattus rattus","Host",NA,NA,"Host","Host",3,1
"358","Peruvian Amazon","Geographical Region","Geographic Location","Geographic Region","Geographic Region","Geographical Location",5,4
"359","Iquitos region","Geographical region","Geographic Location","Geographic Region","GeographicRegion","Geographical location",5,5
"360","urban","environmental","Geographic Location",NA,NA,"Not relevant",3,3
"361","peri-urban","geographical","Geographic Location",NA,NA,"Geographical location",3,3
"362","rural","Geographical","Geographic Location",NA,NA,"Geographical location",3,3
"363","serological typing","Technique","Technique",NA,NA,"Process",3,2
"364","16S ribosomal RNA gene sequencing","Technique",NA,NA,"Method","Process",3,3
"365","pulsed-field gel electrophoresis","Technique","Technique",NA,NA,NA,2,1
"366","DNA-DNA hybridization","Technique",NA,NA,NA,NA,1,1
"367","microscopic agglutination test (MAT)","Technique",NA,NA,NA,NA,1,1
"368","Southern blot hybridization","Technique","Technique",NA,"Method","Process",4,3
"369","Western immunoblot","Technique","Technique",NA,"Method","Process",4,3
"370","LipL32","antigen","Protein","Protein","Protein","Protein",5,2
"371","27 kDa","Measurement","Protein size","Molecular weight",NA,"Protein Size",4,4
"372","32 kDa","Measurement","Protein size","Molecular weight",NA,"Protein Size",4,4
"373","2/45","Measurement","Case number or study subject identifier",NA,NA,"Ratio",3,3
