source,target,relation_type,doc_id
nucleotide sequencing,pvpA gene,detects,22
PCR-RFLP analysis,pvpA gene,detects,22
Mycoplasma gallisepticum,emerging disease,causes,22
emerging disease,house finch,affects,22
epidemiology,Mycoplasma gallisepticum,studies,22
molecular evolution,Mycoplasma gallisepticum,influences,22
house finch,Mycoplasma gallicepticum,hosts,23
plumage coloration,resistance to parasite,predicts,23
plumage hue,clearance of disease,influences,23
Mycoplasma gallicepticum,house finch,infects,23
female mate choice,plumage coloration,influences,23
carotenoid,plumage coloration,contributes to,23
disease,house finch,affects,23
infection,symptoms,causes,23
symptoms,disease,indicate,23
time to first symptoms,disease progression,measures,23
clearance of disease,resistance to parasite,indicates,23
Mycoplasma gallisepticum,songbirds,infects,24
Mycoplasma gallisepticum,house finches,infects,24
Mycoplasma gallisepticum,North America,found in,24
Mycoplasma gallisepticum,random amplification of polymorphic DNA,detected by,24
Mycoplasma gallisepticum,amplified-fragment length polymorphism,detected by,24
Mycoplasma gallisepticum,RAPD,detected by,24
Mycoplasma gallisepticum,AFLP,detected by,24
songbirds,Mycoplasma gallisepticum,hosts,24
house finches,Mycoplasma gallisepticum,hosts,24
New York,2001 isolate,location of,24
2001 isolate,vaccine and reference strains,clustered with,24
Mycoplasma gallisepticum,genomic variability,has genomic variability,24
epidemic,Mycoplasma gallisepticum,affected by,24
conjunctivitis,Mycoplasma gallisepticum,caused by,24
Mycoplasma gallisepticum,house finches,infects,25
Mycoplasma gallisepticum,1994,emerges,25
Mycoplasma gallisepticum,conjunctivitis,causes,25
Mycoplasma gallisepticum,eastern range of North America,found in,25
Mycoplasma gallisepticum,"Missoula, Montana",found in,25
Mycoplasma gallisepticum,"Portland, Oregon",found in,25
house finches,Mycoplasma gallisepticum,hosts,25
chickens,Mycoplasma gallisepticum,hosts,25
turkeys,Mycoplasma gallisepticum,hosts,25
conjunctivitis,house finches,affects,25
conjunctivitis,polymerase chain reaction,detected by,25
1994,emergence of Mycoplasma gallisepticum,associated with,25
2002,first confirmation of Mycoplasma gallisepticum in western native range,associated with,25
2004,further western expansion of Mycoplasma gallisepticum,associated with,25
2005,further western expansion of Mycoplasma gallisepticum,associated with,25
Mycoplasma gallisepticum,House Finch,infects,26
House Finch,Mycoplasma gallisepticum,hosts,26
Mycoplasma gallisepticum,House Finch,spreads,26
House Finch,Mycoplasma gallisepticum,transmits,26
Asymptomatic carriers,Mycoplasma gallisepticum,transmit,26
Seasonality,rate of spread,affects,26
Elevation,disease spread,affects,26
Host abundance,disease spread,affects,26
Discrete barriers,disease spread,do not affect,26
Anthropogenic movement,disease spread,does not affect,26
West Nile Virus,asymptomatic carriers,similarly transmitted,26
Avian influenza,asymptomatic carriers,similarly transmitted,26
House Finch,Mycoplasma gallisepticum,hosts,27
Mycoplasma gallisepticum,House Finch,infects,27
IgA,Antibody,produces,27
Mucosal Immunity,neutralize,functions,27
Spleen,cDNA,contains,27
cDNA,PCR,amplified,27
PCR,Recombinant Protein,produces,27
Recombinant Protein,,purified,27
Rabbit,Anti-sera,produces,27
Anti-sera,House Finch Serum Protein,reacts,27
House Finch Serum Protein,Western Blot,detected,27
Anti-sera,identify,used,27
Harderian Gland,Plasma Cells,contains,27
Conjunctiva,Plasma Cells,contains,27
Lachrymal Samples,Mycoplasma gallisepticum-specific IgA antibodies,contains,27
ELISA,Mycoplasma gallisepticum-specific IgA antibodies,detects,27
Mycoplasma sturni,California House Finch,infects,28
Mycoplasma gallisepticum,House Finches,infects,28
Mycoplasma gallisepticum,conjunctivitis,causes,28
Mycoplasma sturni,European Starling,isolated from,28
Mycoplasma sturni,California House Finch,isolated from,28
Mycoplasma sturni,conjunctivitis in House Finches,fails to cause,28
Mycoplasma gallisepticum,conjunctivitis in House Finches,is primary known cause of,28
male house finches,diseased conspecifics,prefer,29
male house finches,infected conspecifics,feed near,29
females,healthy conspecifics,show no preference,29
diseased males,healthy conspecifics,have lower aggression rates,29
diseased males,evolutionary trap,present,29
healthy males,diseased males,inadvertently increase risk of contracting mg,29
Mycoplasma gallisepticum,house finches,infects,29
Mycoplasma gallisepticum,lethargy and visible conjunctivitis,causes,29
Mycoplasma gallisepticum,during feeding,transmits,29
healthy conspecifics,Mycoplasma gallisepticum,are not infected,29
infected conspecifics,Mycoplasma gallisepticum,are infected,29
diseased males,Mycoplasma gallisepticum,are infected,29
diseased females,Mycoplasma gallisepticum,are infected,29
pathogen dynamics,host behaviour,are affected by,29
epidemics,host behaviour,are contributed to,29
Mycoplasma gallisepticum,house finches,infects,30
Mycoplasma gallisepticum,American goldfinch,infects,30
Mycoplasma gallisepticum,northern cardinal,infects,30
house finches,Mycoplasma gallisepticum,hosts,30
American goldfinch,Mycoplasma gallisepticum,hosts,30
northern cardinal,Mycoplasma gallisepticum,hosts,30
northern cardinals,northeastern United States,found in,30
American goldfinches,northeastern United States,found in,30
house finches,northeastern United States,found in,30
Mycoplasma gallisepticum,winter-long bird and disease surveys,detected by,30
disease prevalence,bird communities,affected by,30
disease dynamics,spatial variation in bird communities,affected by,30
house finches,Mycoplasma gallisepticum,hosts,31
Mycoplasma gallisepticum,house finches,infects,31
eastern North America,house finches,found in,31
southern California,house finches,found in,31
Mycoplasma gallisepticum,eastern house finch population,detected in,31
eastern house finch population,mycoplasmal conjunctivitis,affected by,31
northerly latitudes,disease mortality,relates to,31
southerly populations,disease mortality,relates to,31
northerly inland populations,migratory structure,relates to,31
Mycoplasma gallisepticum,house finches,infects,32
Mycoplasma gallisepticum,host cells,attaches to,32
Mycoplasma gallisepticum,host cells,invades,32
Mycoplasma gallisepticum,real-time polymerase chain reaction,detected by,32
Mycoplasma gallisepticum,"TaqMan-based real-time, quantitative polymerase chain reaction",detected by,32
Mycoplasma gallisepticum,conjunctival samples,found in,32
Mycoplasma gallisepticum,house finches,found in,32
Mycoplasma gallisepticum,development of conjunctivitis,correlates with,32
Mycoplasma gallisepticum,M. gallisepticum load,correlates with,32
rag-1,internal control gene,used as,32
rag-1,qPCR assay,detected by,32
conjunctiva,Mycoplasma gallisepticum,affected by,32
bird,Mycoplasma gallisepticum,harbours,32
bird,conjunctivitis,develops,32
Mycoplasma gallisepticum,house finches,infects,33
house finches,Mycoplasma gallisepticum,hosts,33
mosquitoes,house finches,feeds on,33
Mycoplasma gallisepticum,mosquito blood feeding patterns,affects,33
disease-induced lethargy,host capacity,diminishes,33
house finches,mosquitoes,exposed to,33
mosquitoes,house finches,exposed to,33
Mycoplasma gallisepticum,house finches,inoculated into,33
house finches,Mycoplasma gallisepticum,cured of,33
mosquitoes,environment,found in,33
West Nile virus,mosquitoes,transmitted by,33
arthropod-borne pathogens,mosquitoes,transmitted by,33
avian infections,bird defensive behavior,alter,33
Mycoplasma gallisepticum,mosquito feeding patterns,influences,33
Mycoplasma gallisepticum,transmission,influences,33
House Finches,Mycoplasma gallisepticum,hosts,34
House Sparrows,Mycoplasma gallisepticum,hosts,34
House Finches,Mycoplasma gallisepticum,infects,34
House Sparrows,Mycoplasma gallisepticum,infects,34
House Finches,United States,lives in,34
House Sparrows,United States,lives in,34
House Finches,Northeastern United States,found in,34
House Sparrows,Northeastern United States,found in,34
Christmas Bird Count,House Finches,detects,34
Christmas Bird Count,House Sparrows,detects,34
Project FeederWatch,House Finches,detects,34
Project FeederWatch,House Sparrows,detects,34
Breeding Bird Survey,House Finches,detects,34
Breeding Bird Survey,House Sparrows,detects,34
Interspecific competition,House Sparrows,affects,34
Interspecific competition,House Finches,affects,34
Disease,House Finches,affects,34
Disease,House Sparrows,affects,34
Conjunctivitis,House Finches,affects,34
Conjunctivitis,House Sparrows,affects,34
Abundance,House Finches,measured,34
Abundance,House Sparrows,measured,34
Distribution,House Finches,measured,34
Distribution,House Sparrows,measured,34
Geometric change,House Finches,measured,34
Geometric change,House Sparrows,measured,34
ln[HOSP(t+1)/HOSP(t)],House Sparrows,measured,34
HOSP(t),House Sparrows,measured,34
HOFI(t),House Finches,measured,34
house finches,Mycoplasma gallisepticum,hosts,36
Mycoplasma gallisepticum,house finches,infects,36
multilocus heterozygosity,pathogen resistance,predicts,36
multilocus heterozygosity,cell-mediated immunocompetence,predicts,36
house finches,disease,develop,36
house finches,cell-mediated immune responses,mount,36
house finches,humoral immune responses,mount,36
Mycoplasma gallisepticum,disease,causes,36
genetic variation,susceptibility,influences,36
genetic variation,resistance,influences,36
genetic variation,immunity,influences,36
Carpodacus mexicanus,Mycoplasma gallisepticum,hosts,37
Mycoplasma gallisepticum,Carpodacus mexicanus,infects,37
Carpodacus mexicanus,Eastern United States,lives in,37
Mycoplasma gallisepticum,Carpodacus mexicanus,found in,37
Amplified Fragment Length Polymorphism (AFLP),Genetic diversity,used to detect,37
Major Histocompatibity Complex (MHC),Pathogen resistance,involved in,37
MHC class I,MHC class II,similar to,37
MHC class II,Mycoplasma gallisepticum,affected by,37
MHC class I,Cytomegalovirus,affected by,37
Finch immune system,Mycoplasma gallisepticum,manipulated by,37
Pathogen genome,itself,evolving,37
Mycoplasma gallisepticum,House finch,infects,38
House finch,Mycoplasma gallisepticum,hosts,38
Mycoplasma gallisepticum,eastern US,found in,38
1994,epizootic,occurred,38
Mycoplasma gallisepticum,evolutionary change,causes,38
Mycoplasma gallisepticum,natural selection,causes,38
Mycoplasma gallisepticum,gene expression,regulates,38
gene expression,Mycoplasma gallisepticum,affected by,38
HSP 90,House finch,expressed in,38
MHC II-associated invariant chain,House finch,expressed in,38
T-cell immunoglobulin mucin 1,House finch,expressed in,38
TIM1,House finch,expressed in,38
CD74,House finch,expressed in,38
Mycoplasma gallisepticum,cDNA macroarray,detected by,38
Mycoplasma gallisepticum,suppression subtractive hybridization,detected by,38
Mycoplasma gallisepticum,blast searches,detected by,38
Mycoplasma gallisepticum,database,found in,38
macroarray resources,foundation,provide,38
Mycoplasma gallisepticum,molecular co-evolutionary studies,subject of,38
Mycoplasma gallisepticum,House finch,infects,39
Mycoplasma gallisepticum,Wild songbirds,infects,39
Mycoplasma gallisepticum,Mourning doves,infects,39
Mycoplasma gallisepticum,Baeolophus bicolor,infects,39
Mycoplasma gallisepticum,Avian species,infects,39
House finch,Mycoplasma gallisepticum,hosts,39
Wild songbirds,Mycoplasma gallisepticum,hosts,39
Mourning doves,Mycoplasma gallisepticum,hosts,39
Baeolophus bicolor,Mycoplasma gallisepticum,hosts,39
Avian species,Mycoplasma gallisepticum,hosts,39
Auburn University,Peri-urban environment,found in,39
Eastern North America,House finch,found in,39
Conjunctivitis,Mycoplasma gallisepticum,caused by,39
Mycoplasma gallisepticum,Polymerase chain reaction,detected by,39
Mycoplasma gallisepticum,Agglutination reactions,detected by,39
Experimental infections,Mycoplasma gallisepticum,used to study,39
Field portion,Study,part of,39
Survey,Field portion,part of,39
PCR,Mycoplasma gallisepticum,used to detect,39
House Finch,Mycoplasma gallisepticum,hosts,40
Corticosterone,Immune Function,regulates,40
Stress,Immune Function,impairs,40
Mycoplasma gallisepticum,House Finch,infects,40
House Finch,North America,lives in,40
House Finch,Eastern North America,lives in,40
House Finch,Stress,experiences,40
House Finch,Disease,experiences,40
Corticosterone,House Finch,measured in,40
Mycoplasma gallisepticum,House Finch,detected in,40
Latitude,Corticosterone,affects,40
Year,Corticosterone,affects,40
Body Condition,Corticosterone,affected by,40
Fat Load,Corticosterone,affected by,40
Mycoplasma gallisepticum,House finches,infects,41
House finches,Mycoplasma gallisepticum,hosts,41
House finches,Eastern North America,lives in,41
Mycoplasma gallisepticum,House finches,found in,41
Seasonal breeding,Mycoplasma gallisepticum,affects,41
Social aggregation,Mycoplasma gallisepticum,affects,41
Immunity,Mycoplasma gallisepticum,affects,41
Latitudinal gradient,Seasonal breeding,influences,41
Field and laboratory information,Immunity,detects,41
