source,target,relation_type,doc_id
birds,serum plate agglutination,tested with,21
birds,polymerase chain reaction,tested with,21
birds,hemagglutination inhibition,tested with,21
birds,histopathology,tested with,21
tufted titmice,polymerase chain reaction,tested with,21
MG,house finches,found in,21
MG,tufted titmice,found in,21
biosecurity recommendations,wild and domestic birds,applied to,21
Mycoplasma gallisepticum,chickens,is_pathogen_of,22
Mycoplasma gallisepticum,turkeys,is_pathogen_of,22
Mycoplasma gallisepticum,house finch,infects,22
house finch,Mycoplasma gallisepticum,hosts,22
Mycoplasma gallisepticum,eastern United States,has_single_point_of_origin,22
pvpA gene,PvpA,encodes_for,22
Mycoplasma gallisepticum isolates,molecular variability,were_evaluated,22
55 house finch isolates,11 chicken and turkey isolates,were_compared_to,22
polymerase chain reaction,molecular variability,was_used_to_analyze,22
restriction fragment length polymorphism,molecular variability,was_used_to_analyze,22
nucleotide sequencing,pvpA gene,was_used_to_analyze,22
sequence analysis,house finch M. gallisepticum isolates clustered,showed_that,22
Carotenoid,resistance to a novel parasite,predicts,23
plumage coloration,individual resistance to parasites,is a signal of,23
plumage hue,time to first symptoms,does not relate to,23
plumage hue,clearance of disease,negatively relates to,23
males with redder plumage,Mycoplasma gallicepticum infection,clear,23
males with yellower plumage,Mycoplasma gallicepticum infection,do not clear,23
hue of carotenoid-based plumage coloration,female mate choice,is a criterion for,23
choosing redder males,mates with better resistance to parasites,obtains,23
Mycoplasma gallisepticum,songbirds,isolate from,24
Mycoplasma gallisepticum,conjunctivitis,cause,24
house finches,Mycoplasma gallisepticum,infected with,24
North America,Mycoplasma gallisepticum outbreak,location of,24
songbirds,Mycoplasma gallisepticum,infected with,24
random amplification of polymorphic DNA,Mycoplasma gallisepticum genotyping,used for,24
amplified-fragment length polymorphism,Mycoplasma gallisepticum genotyping,used for,24
RAPD,Mycoplasma gallisepticum genotyping,used for,24
AFLP,Mycoplasma gallisepticum genotyping,used for,24
New York,Mycoplasma gallisepticum isolate,location of,24
vaccine,Mycoplasma gallisepticum,related to,24
reference strains,Mycoplasma gallisepticum,related to,24
wild songbird isolates,Mycoplasma gallisepticum,related to,24
archive,Mycoplasma gallisepticum isolates,contains,24
1994,Mycoplasma gallisepticum outbreak,year of,24
2001,Mycoplasma gallisepticum isolate,year of,24
Mycoplasma gallisepticum,conjunctivitis,causes,25
Mycoplasma gallisepticum,1994,emerged,25
Mycoplasma gallisepticum,house finches,infects,25
Mycoplasma gallisepticum,chickens,infects,25
Mycoplasma gallisepticum,turkeys,infects,25
Mycoplasma gallisepticum,eastern range of North America,found,25
Mycoplasma gallisepticum,"Missoula, Montana",found,25
Mycoplasma gallisepticum,"Portland, Oregon",found,25
conjunctivitis,repeating seasonal peaks,associated with,25
conjunctivitis,limitation of host populations,associated with,25
Mycoplasma gallisepticum,2002,confirmed,25
Mycoplasma gallisepticum,2004,detected,25
Mycoplasma gallisepticum,2005,detected,25
Mycoplasma gallisepticum,House Finches,transmitted by,26
Mycoplasma gallisepticum,House Finches,spread through,26
House Finches,new location,introduced to,26
Mycoplasma gallisepticum,asymptomatic carriers,carried by,26
West Nile Virus,asymptomatic carriers,carried by,26
Avian influenza,asymptomatic carriers,carried by,26
Carpodacus mexicanus,IgA,has,27
IgA,Carpodacus mexicanus,is produced by,27
IgA,Mycoplasma gallisepticum,is specific to,27
Carpodacus mexicanus,Mycoplasma gallisepticum,has,27
Mycoplasma gallisepticum,Carpodacus mexicanus,infects,27
Carpodacus mexicanus,Spleen,has,27
Spleen,cDNA,contains,27
cDNA,PCR,is used for,27
PCR,Protein sequence,produces,27
Protein sequence,Bacterial expression system,is used for,27
Bacterial expression system,Recombinant protein,produces,27
Recombinant protein,Rabbit anti-sera generation,is used for,27
Rabbit anti-sera,Recombinant protein,is generated against,27
Rabbit anti-sera,House finch serum protein,reacts with,27
House finch serum protein,Approximately 50-55kDa,has,27
Rabbit anti-sera,Plasma cells,is used to identify,27
Plasma cells,Harderian gland,are found in,27
Plasma cells,Conjunctiva,are found in,27
Rabbit anti-sera,ELISA,is used in,27
ELISA,Mycoplasma gallisepticum-specific IgA antibodies,detects,27
ELISA,Lachrymal samples,uses,27
Mycoplasma sturni,a California House Finch,isolated_from,28
Mycoplasma gallisepticum,free-ranging House Finches,isolated_from,28
Mycoplasma gallisepticum,conjunctivitis,causes,28
Mycoplasma gallisepticum,1994,emerged_in,28
Mycoplasma sturni,an adult European Starling,isolated_from,28
Mycoplasma sturni,a relatively small number of other avian species,reported_in,28
Mycoplasma sturni,the disease in House Finches,failed_to_reproduce,28
Mycoplasma gallisepticum,conjunctivitis in House Finches,remains_the_primary_known_cause,28
Sickness behaviour,Evolutionary trap,acts_as,29
Male house finches,Diseased conspecifics,prefer,29
Host behaviour,Pathogen dynamics,is_a,29
Selection,Individuals,favors,29
Individuals,Infected conspecifics,recognize,29
Individuals,Infected conspecifics,avoid,29
Healthy captive house finches,Carpodacus mexicanus,are,29
Mycoplasma gallisepticum,Lethargy,causes,29
Mycoplasma gallisepticum,Conjunctivitis,causes,29
Male house finches,Healthy conspecifics,prefer,29
Females,Diseased conspecifics,show_no_preference,29
Diseased males,Lower aggression rates,have,29
Diseased males,Historically beneficial behavioural cue,present,29
Healthy males,Contract MG,may_inadvertently,29
Healthy males,Risk of infection,increase,29
MG,During feeding,can_be_directly_transmitted,29
MG,Continued persistence of MG epidemics,contributes_to,29
Wild populations,MG epidemics,are_affected_by,29
Mycoplasma gallisepticum,House finches,infects,30
Mycoplasma gallisepticum,American goldfinch,transmits,30
House finches,Mycoplasma gallisepticum,are hosts of,30
American goldfinch,Mycoplasma gallisepticum,are hosts of,30
Northern cardinal,Mycoplasma gallisepticum,are hosts of,30
House finches,Disease dynamics,are affected by,30
Disease dynamics,Bird community,are influenced by,30
Bird community,Location,varies spatially,30
Mycoplasma gallisepticum,House finches,has caused mortality in,30
House finches,Mycoplasma gallisepticum,are primary hosts of,30
American goldfinch,Mycoplasma gallisepticum,are alternate hosts of,30
Northern cardinal,Mycoplasma gallisepticum,are alternate hosts of,30
House finches,Disease prevalence,are associated with,30
Northern cardinal,Disease prevalence,are associated with,30
American goldfinch,Disease prevalence,are associated with,30
House Finches,Southern California,originated from,31
Eastern House Finches,House Finches,derived from,31
Mycoplasma gallisepticum,My Coplasmal Conjunctivitis,causes,31
My Coplasmal Conjunctivitis,House Finches,affects,31
Mycoplasmal Conjunctivitis,House Finch population,monitored in,31
Belthoff and Gauthreaux,Condor,studied,31
Able and Belthoff,Proc. R. Soc. Lond.,studied,31
Dhondt et al.,J. Wild. Dis.,studied,31
Eastern House Finches,Mycoplasmal Conjunctivitis,has disease,31
Disease mortality,Migratory structure,affects,31
Mycoplasma gallisepticum,"TaqMan-based real-time, quantitative polymerase chain reaction",is detected by,32
Mycoplasma gallisepticum,Conjunctival samples,is present in,32
Mycoplasma gallisepticum,House finches,infects,32
Mycoplasma gallisepticum,Host cells,attaches to,32
Mycoplasma gallisepticum,Host cells,invades,32
Mycoplasma gallisepticum,Clinical conjunctivitis,causes,32
Mycoplasma gallisepticum,mgc2 qPCR assay,is quantified using,32
Mycoplasma gallisepticum,rag-1 qPCR assay,is quantified using,32
Mycoplasma gallisepticum,Plasmid,is present in,32
Mycoplasma gallisepticum,M. gallisepticum genomic DNA,is present in,32
House finches,Mycoplasma gallisepticum,are infected with,32
House finches,Clinical conjunctivitis,develop,32
Specific pathogen free chickens,Mycoplasma gallisepticum,are negative for,32
Conjunctival samples,House finches,are collected from,32
Real-time polymerase chain reaction,Mycoplasma gallisepticum,is used to detect,32
Standard curve method,Mycoplasma gallisepticum,is used to quantify,32
Inoculation,Post infection,occurs,32
Day,Time,is a unit of,32
Period,Time,is a unit of,32
Mycoplasma gallisepticum,house finches,infects,33
house finches,mosquitoes,hosts,33
mosquitoes,house finches,feed on,33
Mycoplasma gallisepticum,mosquito blood feeding patterns,affects,33
disease-induced lethargy,host capacity,diminishes,33
infection,bird defensive behavior,alters,33
Mycoplasma gallisepticum,West Nile virus,transmits,33
mosquitoes,healthy finches,prefer,33
mosquitoes,sick birds,exhibit no preference,33
sick birds,total defensive behaviors,make fewer,33
healthy birds,total defensive behaviors,make more,33
foot stomps,reduced mosquito feeding success,are associated with,33
House Finches,House Sparrows,competition,34
House Finches,United States,introduction,34
House Sparrows,House Finches,decline,34
Mycoplasma gallisepticum,Mycoplasmal conjunctivitis,cause,34
House Finches,Mycoplasma gallisepticum,infection,34
House Finches,Mycoplasmal conjunctivitis,decline,34
House Sparrows,House Finches,increase,34
House Finches,Christmas Bird Count,monitoring,34
House Finches,Project FeederWatch,monitoring,34
House Finches,Breeding Bird Survey,monitoring,34
House Sparrows,Christmas Bird Count,monitoring,34
House Sparrows,Project FeederWatch,monitoring,34
House Sparrows,Breeding Bird Survey,monitoring,34
House Finches,House Sparrows,abundance,34
House Finches,Northeastern United States,abundance,34
House Sparrows,Northeastern United States,abundance,34
House Finches,United States,expansion,34
House Sparrows,Northeastern United States,decline,34
House Finch,Mycoplasma gallisepticum,hosts,35
Carpodacus mexicanus,Mycoplasma gallisepticum,hosts,35
State,Detection Probability,has,35
Detection Probability,Prevalence,affects,35
Detection Probability,Incidence,affects,35
Mark-Recapture,Detection Probability,estimates,35
Field Study,Mark-Recapture,uses,35
Ecological Index,Parameter of Interest,estimates,35
Detection Probability,Biotic Factors,is affected by,35
Detection Probability,Abiotic Factors,is affected by,35
Prevalence,Detection Probability,is affected by,35
Incidence,Detection Probability,is affected by,35
house finches,Mycoplasma gallisepticum,infected by,36
house finches,Microsatellite loci,heterozygous for,36
heterozygous house finches,infection by Mycoplasma gallisepticum,developed less severe disease,36
heterozygous house finches,phytohaemagglutinin,mounted stronger cell-mediated immune responses,36
more heterozygous house finches,infection by Mycoplasma gallisepticum,show greater resistance,36
multilocus heterozygosity,pathogen resistance and cell-mediated immunocompetence,predicts,36
genetic variation,susceptibility to pathogens,influences,36
Mycoplasma gallisepticum,house finch,infected_by,38
house finch,Mycoplasma gallisepticum,host_of,38
Mycoplasma gallisepticum,eastern US,expanded_host_range,38
eastern US,US,located_in,38
house finch,Mycoplasma gallisepticum,had_selection_for,38
Mycoplasma gallisepticum,house finch,selected_for,38
Carpodacus mexicanus,eastern US,ranged_over,38
Mycoplasma gallisepticum,Carpodacus mexicanus,infected,38
experimental infection,genetic response,caused,38
genetic response,HSP,included,38
HSP,in finches,presumed_to_have_evolved,38
finches,enhanced resistance,evolved,38
Mycoplasma gallisepticum,suppression subtractive hybridization,used_in_experiment,38
SSH,Mycoplasma gallisepticum,used_in_experiment,38
cDNA macroarray,Mycoplasma gallisepticum,used_in_experiment,38
CD74,Mycoplasma gallisepticum,found_to_be_up_regulated,38
TIM1,Mycoplasma gallisepticum,found_to_be_up_regulated,38
blast,CD74,used_to_compare,38
blast,TIM1,used_to_compare,38
Norther blot,CD74,used_to_confirm,38
Norther blot,TIM1,used_to_confirm,38
Reverse Northern,CD74,used_to_confirm,38
Reverse Northern,TIM1,used_to_confirm,38
molecular co-evolution,Mycoplasma gallisepticum,facilitated_by,38
Mycoplasma gallisepticum,molecular co-evolution,studied_in_context_of,38
Mycoplasma gallisepticum,Conjunctivitis,causes,39
House finch,Mycoplasma gallisepticum,hosts,39
Mycoplasma gallisepticum,Wild songbirds,infects,39
Mycoplasma gallisepticum,Avian species,infects,39
Auburn University,Peri-urban environment,located,39
Researchers,Mycoplasma gallisepticum,study,39
Researchers,Experimental infections,conduct,39
Experimental infections,Avian species,involve,39
Mycoplasma gallisepticum,Mourning dove,detected,39
Mycoplasma gallisepticum,Baeolophus bicolor,detected,39
Fringillidae,Mycoplasma gallisepticum,infected,39
Eastern tufted titmice,Mycoplasma gallisepticum,infected,39
Researchers,Clinical signs,observe,39
Researchers,Polymerase chain reaction,use,39
Researchers,Agglutination reaction,use,39
Mycoplasma gallisepticum,Host range,has,39
Mycoplasma gallisepticum,Effect on host species,has,39
Stress hormones,Immune functions,impair,40
Stress hormones,Susceptibility to diseases,increase,40
Corticosterone,Plasma,concentrate,40
Corticosterone,Diseases,increase,40
Mycoplasma gallisepticum,House finch,infect,40
Corticosterone,Body condition,associate,40
Corticosterone,Fat load,associate,40
Latitude,Corticosterone concentrations,influence,40
Year,Corticosterone concentrations,influence,40
Winter temperatures,Corticosterone concentrations,influence,40
seasonality,disease dynamics,affects,41
breeding,disease dynamics,drives,41
social aggregation,transmission dynamics,affects,41
latitudinal variation,seasonal dynamics,drives,41
immunity,disease dynamics,influences,41
Mycoplasma gallisepticum,House finch conjunctivitis,causes,41
seasonality,dynamics of house finch-MG system,explains,41
seasonality and social aggregation,reproduce semi-annual pattern of disease prevalence,combine,41
Mycoplasma gallicepticum,Carotenoid plumage coloration,effects,42
Infection,Upper respiratory tissue,targets,42
Infection,Ocular tissue,targets,42
Parasites,Reduced expression of ornamental plumage coloration,cause,42
Mycoplasmosis,Carotenoid utilization,affects,42
Diagnosis,Mycoplasma gallicepticum,requires,42
MG infection,Plumage coloration,influences,42
Feathers,Carotenoid pigment,contain,42
MG,Bacterial pathogen,is a,42
Health survey,house finches,studies,44
house finches,Mycoplasma gallisepticum,host to,44
Mycoplasma gallisepticum infection,host susceptibility,influences,44
Season,physiologic parameters,effects,44
Weights,season,are influenced by,44
Fat scores,season,are influenced by,44
Packed cell volume and total plasma protein measures,season,are influenced by,44
Culture of voided fecal material,bacterial isolates,yields,44
Bacterial isolates,normal gastrointestinal flora,represent,44
Avian pox lesions,population,are influenced by,44
Blood and gastrointestinal parasite infections,population,are influenced by,44
Proctophyllodes spp. feather mite infestations,population,are influenced by,44
Greater fat scores,mite infestation,are associated with,44
Tarsal length,mite infestation,is associated with,44
Male,mite infestation,is associated with,44
Logistic regression analysis,data,uses,44
Data,potential risk factors,indicates,44
house finches,Mycoplasma gallisepticum,infected by,45
eastern house finch population,Mycoplasma gallisepticum,infected by,45
western house finch population,Mycoplasma gallisepticum,infected by,45
house finches from Montana,house finch strain of MG,infected by,45
house finches from Alabama,house finch strain of MG,infected by,45
house finches from Montana,infected finch,exposed to,45
house finches from Alabama,infected finch,exposed to,45
house finches,conjunctivitis,developed,45
house finches,MG antibodies,seroconverted,45
house finches,serum plate agglutination assay,tested by,45
house finches,polymerase chain reaction,tested by,45
house finches,infected finch,co-housed with,45
house finches,Mycoplasma gallisepticum,became infected,45
house finches,conjunctivitis,developed,45
house finches,Mycoplasma gallisepticum,showed evidence of infection,45
Mycoplasma gallisepticum,House finches,infects,46
House finches,Mycoplasma gallisepticum,are affected by,46
Auburn,House finches,is home to,46
1995,Epidemic,marks the start of,46
1996,Study,is the year of,46
1998,Study,is the year of,46
Fall,Study,is the season of,46
Quarantine,Study,is a part of,46
Polymerase chain reaction,Detection,is used for,46
Serologic analysis,Detection,is used for,46
Choanal swabs,Detection,are collected for,46
Blood,Detection,is collected for,46
Conjunctivitis,Mycoplasma gallisepticum,is a symptom of,46
Host-parasite interaction,House finches,is studied in,46
Epidemic,House finches,is studied in,46
House finches,Flock,are part of,46
Birds,Flock,are part of,46
Study,House finches,is conducted on,46
Experiment,House finches,is conducted on,46
Survey,House finches,is conducted on,46
Mycoplasma gallisepticum,conjunctivitis,associated with,47
conjunctivitis,house finches,affect,47
house finches,clinical signs,presenting with,47
clinical signs,M. gallisepticum,associated with,47
Wildlife Rehabilitation Center of Minnesota,house finches,managed,47
1996,outbreak,associated with,47
M. gallisepticum,nested PCR,detected by,47
