entity_id,entity,type,doc_id
62,hepatic necrosis,Disease,59830
63,lymphopenia,Hematologic disorder,59830
64,intranuclear inclusion bodies,Viral inclusion body,59830
65,viral particles,Herpesviridae,59830
66,adrenal glands,Tissue,59830
67,liver,Tissue,59830
68,kidney,Tissue,59830
69,thymus,Tissue,59830
70,lymphocytes,immune cell,59830
71,phocine adrenal cell lines,Phocine (seal) adrenal cell line,59830
72,phocine kidney cell lines,biological entity,59830
73,cytopathic effect,pathological process,59830
74,coastal California,geographical region,59830
75,USA,Country,59830
76,74 of 162 (45%),Statistical measure,59830
77,50,Percentage,59830
78,24,Number,59830
79,42 of 95 (44%),prevalence,59830
80,32 of 67 (47%),Statistical Measure,59830
81,0 to 63 days,Time Range,59830
82,below average birth weight,Sign or Symptom,59830
83,island fox,species,59699
84,Urocyon littoralis,species,59699
85,Channel Islands,Archipelago,59699
86,California,state,59699
87,USA,Country,59699
88,serologic survey,serologic survey,59699
89,194,Count,59699
90,canine adenovirus,canine adenovirus,59699
91,canine parvovirus,virus,59699
92,canine herpesvirus,Canid herpesvirus 1,59699
93,canine coronavirus,virus,59699
94,leptospirosis,disease,59699
95,toxoplasmosis,parasitic disease,59699
96,canine distemper virus,Canine morbillivirus,59699
97,antibody prevalence,epidemiological measure,59699
98,97%,seroprevalence,59699
99,59%,Prevalence,59699
100,pestivirus,Genus,59904
101,Pyrenean Chamois,subspecies,59904
102,Rupicapra pyrenaica pyrenaica,LLM_Default_Classification,59904
103,Spain,Country,59904
104,northeastern Spain,geographical region,59904
105,previously unreported disease,disease,59904
106,noncoding regions,genomic region,59904
107,border disease virus cluster,virus cluster,59904
108,16 of 17 chamois,Organism Count,59904
109,82.1% to 88.1%,Prevalence,59904
110,2001-02,Date,59904
111,southern chamois,species,59578
112,Rupicapra pyrenaica,species,59578
113,border disease virus,Pestivirus,59578
114,central Pyrenees,geographical region,59578
115,NE Spain,Geographical,59578
116,2001,Year,59578
117,2002,Year,59578
118,42%,Percentage,59578
119,20,Number,59578
120,depression,Disease,59578
121,weakness,symptom,59578
122,movement difficulties,Paresis,59578
123,abnormal behaviour,Symptom,59578
124,alopecia,symptom,59578
125,skin hyperpigmentation,Disease Symptom,59578
126,cachexia,syndrome,59578
127,abscesses,Pathological finding,59578
128,pneumonia,viral pneumonia,59578
129,subcutaneous infection,viral infection,59578
130,orchitis,Disease,59578
131,brain,organ,59578
132,edema,symptom,59578
133,gliosis,pathological process,59578
134,espongiosis,disease,59578
135,northern elephant seal,Host,59831
136,Mirounga angustirostris,Host,59831
137,California sea lion,Host,59831
138,Zalophus californianus,Host,59831
139,nephrolithiasis,disease,59831
140,nephroliths,Other,59831
141,uric acid,Metabolite,59831
142,ammonium urate,chemical compound,59831
143,kidneys,Kidney,59831
144,renal pelvic dilation,pathological finding,59831
145,pyelonephritis,disease,59831
146,hydronephrosis,urinary system disease,59831
147,necropsy examination,pathological examination,59831
148,histopathology,laboratory test,59831
149,routine necropsy examination,Biomedical Procedure,59831
150,2004,Year,59831
151,2005,Year,59831
152,1-10 mm,Measurement,59831
153,1-15 mm,Size range,59831
154,diameter,measurement,59831
155,white-tailed deer,host,59842
156,Odocoileus virginianus,hosts,59842
157,Ehrlichia spp.,Bacteria,59842
158,Ehrlichia chaffeensis,Bacteria,59842
159,HGE agent,Ehrlichia chaffeensis,59842
160,Ehrlichia-like organism,Bacterium,59842
161,Amblyomma americanum,tick,59842
162,Ixodes scapularis,tick,59842
163,coastal Georgia,geographical region,59842
164,southeastern United States,Bioregion,59842
165,serologic techniques,Technique,59842
166,molecular techniques,Technique,59842
167,culture techniques,Technique,59842
168,indirect fluorescent antibody testing,Technique,59842
169,nested polymerase chain reaction,Technique,59842
170,species-specific primers,biological reagent,59842
171,16S rDNA fragments,Molecule,59842
172,antibodies,Molecule,59842
173,geometric mean titer,Measurement,59842
174,111,Measurement,59842
175,"1,024",Measurement,59842
176,inguinal lymph node,inguinal lymph node,59842
177,neutrophil,neutrophil,59842
178,Ehrlichia-type morula,Molecule,59842
179,blood smears,biological sample,59842
180,antibodies to Ehrlichia chaffeensis,Antibody,59842
181,Antibodies,Immune response molecule,59912
182,Pathogenic agents,Pathogenic agents,59912
183,Free-living wild species,Host,59912
184,Tanzania,Geographical Region,59912
185,535 sera,BiologicalSample,59912
186,Eight species of wildlife,Host,59912
187,1987,Year,59912
188,1989,Year,59912
189,Foot-and-mouth disease,Disease,59912
190,Bovine herpes virus types 1 and 2,Virus,59912
191,Lumpy skin disease,Disease,59912
192,Bovine viral diarrhoea,Disease,59912
193,Akabane,Disease,59912
194,Bovine ephemeral fever,Disease,59912
195,Bluetongue,Disease,59912
196,Enzootic bovine leucosis,Disease,59912
197,African horse sickness,Disease,59912
198,African swine fever viruses,virus,59912
199,Brucella abortus,bacterium,59912
200,Buffalo,Host,59912
201,Syncerus caffer,Host,59912
202,Wildebeest,Host,59912
203,Connochaetes taurinus,Host,59912
204,Topi,Host,59912
205,Damaliscus korrigum,Host,59912
206,Zebra,Host,59912
207,Wart hog,Host,59912
208,Bacterial valvular endocarditis,Disease,59921
209,black bear,Ursidae,59921
210,Ursus americanus,species,59921
211,coagulase-positive Staphylococcus aureus,Bacterium,59921
212,northern Labrador,geographical region,59921
213,Canada,Country,59921
214,fall 1991,time period,59921
215,death,animal death,59921
216,radio-collared,adjective,59921
217,infection dissemination,Disease dissemination,59921
218,first reported case,Event,59921
219,parainfluenza 3 virus,virus,58455
220,Bison bison,species,58455
221,Delta bison,population,58455
222,"Delta Junction, Alaska (USA)",Geographical location,58455
223,Serum antibody prevalence,Biological measure,58455
224,0%,Prevalence,58455
225,100%,Percentage,58455
226,1977 to 1984,Time period,58455
227,Domestic cattle,Domestic mammal,58455
228,Infection,Disease,58455
229,Clinical disease,Disease,58455
230,Decrease in productivity,Disease outcome,58455
231,Rocky Mountain cougars,Mammal,59903
232,Puma concolor,species,59903
233,1990-2004,Time Period,59903
234,207,Number,59903
235,four populations,Biological Population,59903
236,feline immunodeficiency virus (FIV),lentivirus,59903
237,feline parvovirus (FPV),virus,59903
238,feline coronavirus (FCoV),Coronavirus,59903
239,feline calicivirus (FCV),virus,59903
240,canine distemper virus (CDV),virus,59903
241,feline herpesvirus (FHV),Virus,59903
242,Yersinia pestis,Pathogen,59903
243,serologic data,biological data,59903
244,family membership,Genetic factor,59903
245,age,biological attribute,59903
246,sex,sex,59903
247,location,Rocky Mountains,59903
248,endemic,Population attribute,59903
249,sporadic,Disease Occurrence Pattern,59903
250,exposure risk,Risk Factor,59903
251,Hawaiian monk seal,endangered species,59836
252,Monachus schauinslandi,species,59836
253,northwestern Hawaiian Islands,Geographical Region,59836
254,1997,Year,59836
255,2001,Year,59836
256,25%,Measurement,59836
257,332 animals,Measurement,59836
258,serum samples,serum samples,59836
259,antibodies,Measurement,59836
260,viruses,Pathogen,59836
261,bacteria,Pathogenic bacterium,59836
262,parasites,parasites,59836
263,phocine herpesvirus-1,Virus,59836
264,enzyme-linked immunosorbent assay,Test,59836
265,virus neutralization test,Test,59836
266,Leptospira bratislava,Bacterium,59836
267,L. hardjo,Leptospira hardjo,59836
268,L. icterohaemorrhagiae,Leptospira serovar,59836
269,L. pomona,Leptospira species,59836
270,microagglutination test,Test,59836
271,Brucella spp.,Pathogen,59836
272,conventional serologic tests,Test,59836
273,B. canis,Bacteria,59836
274,card test,Test,59836
275,Chlamydophila abortus,Pathogen,59836
276,complement fixation (CF) test,Test,59836
277,Toxoplasma gondii,Parasite,59836
278,Dirofilaria immitis,Parasite,59836
279,morbilliviruses,Virus,59836
280,influenza A virus,Virus,59836
281,canine adenovirus,virus,59836
282,caliciviruses,virus,59836
283,polymerase reaction,Technique,59858
284,Ehrlichia sp.-like organism,Bacteria,59858
285,white-tailed deer,Host,59858
286,Odocoileus virginianus,Host,59858
287,Ehrlichia chaffeensis,bacterium,59858
288,human granulocytic ehrlichiosis (HGE),Disease,59858
289,agent of human granulocytic ehrlichiosis (HGE),bacterium,59858
290,16S rDNA sequence,Genetic Marker,59858
291,DGA,Primer,59858
292,GA1UR,Primer,59858
293,DCH,Primer,59858
294,GE9f,Primer,59858
295,nested polymerase chain reactions,Technique,59858
296,control samples,reference sample,59858
297,white blood cells,Cell,59858
298,deer,Host,59858
299,prevalence,Epidemiology measure,59858
300,E. chaffeensis-reactive antibodies,Antibody,59858
301,indirect fluorescence assays,Technique,59858
302,Amblyomma americanum,Tick,59858
303,serologic cross-reactions,Challenge,59858
304,Anthrax,Disease,56169
305,Luangwa Valley,river valley,56169
306,Zambia,country,56169
307,hippos,wildlife,56169
308,Hippopotamus amphibius,Host,56169
309,Cape buffalo,species,56169
310,Syncerus caffer,Host,56169
311,elephant,animal,56169
312,Loxodonta africana,Host,56169
313,Bacillus anthracis,Bacterium,56169
314,4000 deaths,DeathCount,56169
315,June,Month,56169
316,November,Month,56169
317,1987,Year,56169
318,August,Month,56169
319,September,Month,56169
320,1988,Year,56169
321,100 km,Measurement,56169
322,up-river,geographical region,56169
323,August 1989,Date,56169
324,field study,epidemiological study,56169
325,environmental contamination,biological contamination,56169
326,risks to people,Disease transmission risk,56169
327,methods of control,disease control,56169
328,local laboratory staff,Health Professional,56169
329,continued monitoring,Public health measure,56169
330,enzootic status,Disease Presence,56169
331,Borrelia burgdorferi,bacterium,59837
332,black-tailed jackrabbit,Host,59837
333,Lepus californicus californicus,Host,59837
334,Columbian black-tailed deer,Host,59837
335,Odocoileus hemionus columbianus,Host,59837
336,Dermacentor occidentalis,Tick,59837
337,D. parumapertus,Tick,59837
338,Ixodes neotomae,Tick,59837
339,I. pacificus,Tick,59837
340,Haemaphysalis leporispalustris,Tick,59837
341,antibodies,Antibody,59837
342,indirect immunofluorescence,serological technique,59837
343,direct immunofluorescence,immunofluorescence technique,59837
344,H9724,Borrelia burgdorferi strain,59837
345,H5332,Borrelia burgdorferi strain,59837
346,spirochetes,Borrelia burgdorferi,59837
347,Lyme borreliosis,disease,59837
348,northern California,region,59837
349,73,Total number,59837
350,58,Count,59837
351,79%,Prevalence,59837
352,26,Identifier,59837
353,1,species,59837
354,4%,Percentage,59837
355,10,Numerical value,59837
356,2,Percentage,59837
357,20%,Percentage,59837
358,174,Number,59837
359,1%,Percentage,59837
360,40,Count,59837
361,15%,Percentage,59837
362,Social organization,Animal social behavior,59823
363,Movement,Animal movement,59823
364,European badger,Host,59823
365,Meles meles,Host,59823
366,Bovine tuberculosis,Bacterial disease,59823
367,Mycobacterium bovis,Pathogen,59823
368,British cattle,Host,59823
369,Bos taurus,Host,59823
370,South-west England,Geographical region,59823
371,Incidence,Measurement,59823
372,Social group,Clique,59823
373,Group size reduction,Population control,59823
374,Individual movement,Animal behavior,59823
375,Demographic processes,Population dynamics,59823
376,Disease dynamics,Epidemiological factor,59823
377,Long-term intensive study,Research project,59823
378,Culture of clinical samples,Microbiological culture,59823
379,Group size,Measurement,59823
380,Proportion of females,Measurement,59823
381,Males,Genus,59823
382,Social structure,Biological attribute,59823
383,Culling,Disease control measure,59823
384,Clostridium perfringens,Bacterium,57733
385,polar bears,animal,57733
386,Ursus maritimus,species,57733
387,Svalbard Archipelago,Archipelago,57733
388,Norway,Country,57733
389,fecal samples,biological sample,57733
390,2001,Year,57733
391,40 of 92 samples,ratio,57733
392,44%,Prevalence,57733
393,toxin type,bacterial toxin type,57733
394,beta2-toxin,beta2-toxin,57733
395,gastrointestinal tract,anatomical structure,57733
396,fatal diseases,Fatal Disease,57733
397,Amblyomma americanum,organism,59859
398,Ehrlichia chaffeensis,Pathogen,59859
399,white-tailed deer,Host,59859
400,Odocoileus virginianus,host,59859
401,serum samples,Biological Sample,59859
402,antibodies,immune response,59859
403,Ehrlichiosis,Disease,59859
404,southeastern United States,geographic region,59859
405,1982-1992,Time period,59859
406,300,Sample Number,59859
407,125,Figure,59859
408,30,Serum sample ID,59859
409,150,Numerical value,59859
410,121,Reference citation,59859
411,4,Reference citation,59859
412,2,Serum,59859
413,6.7%,Prevalence rate,59859
414,2.7%,numeric,59859
415,41.7%,percentage,59859
416,80.7%,Prevalence,59859
417,fluorescent antibody analysis,fluorescent antibody technique,59859
418,Staphylococcus aureus,Strain,56156
419,human-associated Staphylococcus aureus,bacteria,56156
420,great apes,Host,56156
421,western lowland gorilla,Host,56156
422,Gorilla gorilla gorilla,Host,56156
423,chimpanzees,Host,56156
424,Pan troglodytes,Host,56156
425,spa-type t148,spa type,56156
426,staphylococcal sepsis,Disease,56156
427,Gabon,country,56156
428,International Centre for Medical Research of Franceville,Research Institution,56156
429,primate facility,primate research facility,56156
430,Leptospira licerasiae serovar Varillal,Serovar,56805
431,Leptospira,Genus,56805
432,human,Host,56805
433,Homo sapiens,Host,56805
434,Rattus species,Host,56805
435,Rattus norvegicus,Host,56805
436,Rattus rattus,Host,56805
437,leptospirosis,disease,56805
438,Peruvian Amazon,Geographical Region,56805
439,Iquitos region,Geographical region,56805
440,urban,environmental,56805
441,peri-urban,geographical,56805
442,rural,Geographical,56805
443,serological typing,Technique,56805
444,16S ribosomal RNA gene sequencing,Technique,56805
445,pulsed-field gel electrophoresis,Technique,56805
446,DNA-DNA hybridization,Technique,56805
447,microscopic agglutination test (MAT),Technique,56805
448,PCR,Technique,56805
449,Southern blot hybridization,Technique,56805
450,Western immunoblot,Technique,56805
451,LipL32,antigen,56805
452,27 kDa,Measurement,56805
453,32 kDa,Measurement,56805
454,2/45,Measurement,56805
455,6,Measurement,56805
456,2,Measurement,56805
457,1:100,Measurement,56805
458,30%,Measurement,56805
459,7%,Measurement,56805
460,acute febrile illness,Disease,56805
461,Mycoplasma alligatoris sp. nov.,species,57753
462,American alligators,American alligator,57753
463,Alligator mississippiensis,species,57753
464,multiple tissues,anatomical structure,57753
465,"biochemical, serological and molecular genetic characterizations",method,57753
466,lethal,Attribute,57753
467,A21JP2T (ATCC 700619T),strain,57753
468,white-tailed deer,deer,59860
469,Odocoileus virginianus,reservoir species,59860
470,Ehrlichia spp.,Bacterial genus,59860
471,antibody prevalence,Epidemiological measure,59860
472,indirect fluorescent antibody test,diagnostic test,59860
473,544,Number of samples,59860
474,1269,Figure,59860
475,43%,Prevalence,59860
476,southerly latitude,Geographic Location,59860
477,low elevation,geographic location,59860
478,milder climatic conditions,climatic condition,59860
479,Alabama,Geographic location,59860
480,Arkansas,Geographic Region,59860
481,Florida,state,59860
482,Georgia,Geographic region,59860
483,Illinois,Geographic location,59860
484,Kentucky,Location,59860
485,Louisiana,U.S. state,59860
486,Maryland,GeographicRegion,59860
487,Massachusetts,US State,59860
488,Mississippi,Geographic Region,59860
489,Missouri,State,59860
490,North Carolina,Geographic Region,59860
491,South Carolina,State,59860
492,Tennessee,Geographic Region,59860
493,Texas,State,59860
494,Virginia,Species,59860
495,West Virginia,Geographic Region,59860
496,USA,Country,59860
497,84 counties,GeographicRegion,59860
498,Brucella sp.,bacterium,59886
499,marine mammals,Host,59886
500,pinnipeds,Host,59886
501,cetaceans,Host,59886
502,harbor seals,Host,59886
503,Phoca vitulina,Host,59886
504,harp seals,Host,59886
505,Phoca groenlandica,Host,59886
506,Connecticut,state,59886
507,Rhode Island,State,59886
508,serum samples,Biological Sample,59886
509,119,Reference number,59886
510,1985 to 2000,Time Period,59886
511,brucellosis card test,Test method,59886
512,buffered acidified plate antigen test,Test method,59886
513,rivanol test,Test method,59886
514,lymphoid tissues,Tissue,59886
515,visceral tissues,Tissue,59886
516,lung,Tissue,59886
517,axillary lymph nodes,Lymph node,59886
518,inguinal lymph nodes,Lymph node,59886
519,prescapular lymph nodes,Lymph node,59886
520,3 of 21 (14%),Prevalence,59886
521,4 of 53 (8%),Prevalence,59886
522,2 of 4 (50%),Prevalence,59886
523,3 of 9 (33%),Prevalence,59886
524,no gross or histopathologic changes,Finding,59886
525,Mycobacterium avium subsp. paratuberculosis,bacterium subspecies,57730
526,MAP,Bacterium,57730
527,brown bear,Host,57730
528,Ursus arctos,Host,57730
529,National Park Low Tatras,National Park,57730
530,central European Carpathians,mountain range,57730
531,Slovakia,country,57730
532,kidney,organ,57730
533,intestinal mucosa,Anatomical structure,57730
534,mycobacterial infections,Disease,57730
535,paratuberculosis,bacterium subspecies,57730
536,Ziehl-Neelsen staining,staining technique,57730
537,culture,Microbiological culture,57730
538,polymerase chain reaction (PCR),Diagnostic Technique,57730
539,IS900,Genetic Marker,57730
540,RFLP type B-C1,strain identifier,57730
541,cattle,Host,57730
542,infection,Event,57730
543,isolation,Event,57730
544,detection,Event,57730
545,Salmonella spp.,bacterium,59832
546,Salmonella enterica,pathogen,59832
547,California sea lion,Host,59832
548,Zalophus californianus,Host,59832
549,northern elephant seal,Host,59832
550,Mirounga angustirostris,Host,59832
551,western gull,Host,59832
552,Larus occidentalis,Host,59832
553,pinnipeds,Host,59832
554,Papio anubis,species,60194
555,baboons,Species,60194
556,Cercopithecus aethiops,species,60194
557,vervets,Monkey,60194
558,Ethiopia,Country,60194
559,Rift Valley,Geographical region,60194
560,59 faecal samples,faecal sample,60194
561,41 faecal samples,Faecal Sample,60194
562,Ziehl-Neelsen method,Laboratory technique,60194
563,long-tailed macaques,Host,60248
564,Macaca fascicularis,Host,60248
565,Humans,Host,60248
566,Parasites,Biological Organism,60137
567,black howler monkeys,host,60137
568,Alouatta pigra,species,60137
569,ecological web,food web,60137
570,ecosystem health,ecological concept,60137
571,fecal samples,Biological Sample,60137
572,50,Number,60137
573,283,Parasite,60137
574,2003,Year,60137
575,2004,Year,60137
576,quantitative centrifugation concentration,Technique,60137
577,sugar,chemical compound,60137
578,zinc sulfate,Chemical Compound,60137
579,bright-field microscopy,Technique,60137
580,phase microscopy,Technique,60137
581,ELISAs,Technique,60137
582,Controrchis biliophilus,Trematode,60137
583,Dicrocoeliidae,Family of parasitic flatworms (Trematoda),60137
584,Trypanoxyuris minutus,species,60137
585,Oxyuridae,Parasitic nematode family,60137
586,Giardia sp.,Parasite,60137
587,Hexamitidae,Family,60137
588,Entamoeba sp.,Parasite,60137
589,Endamoebidae,Family,60137
590,80%,Prevalence,60137
591,81%,Prevalence,60137
592,8%,Prevalence,60137
593,27%,Prevalence,60137
594,40%,Prevalence rate,60137
595,DNA extraction,Biological process,60137
596,Giardia sp.-positive fecal samples,Biological sample,60137
597,Controrchis sp.,Parasitic nematode,60134
598,Trypanoxyuris sp.,Genus,60134
599,Strongyloides sp.,parasite,60134
600,Alouatta palliata,hosts,60134
601,Ateles geoffroyi,hosts,60134
602,howler monkey,species,60134
603,spider monkey,Ateles geoffroyi,60134
604,Costa Rica,Ecoregion,60134
605,tropical dry forest,tropical dry forest,60134
606,species richness,Measurement,60134
607,prevalence,Measurement,60134
608,host traits,Property,60134
609,reproductive status,Property,60134
610,social status,Property,60134
611,age,Property,60134
612,sex,Property,60134
613,host population density,Measurement,60134
614,humidity,climatic factor,60134
615,conservation strategies,Conservation Strategy,60134
616,protected areas,ecosystem,60134
617,infectious diseases,parasitic diseases,60134
618,parasite,Biological Organism,60321
619,parasite richness,parasite richness,60321
620,host,Host,60321
621,chacma baboons,Host,60321
622,Papio ursinus,Host,60321
623,gastrointestinal parasites,gastrointestinal parasite,60321
624,rainfall,Climatic factor,60321
625,temperature,Physical Quantity,60321
626,age,biological attribute,60321
627,sex,Biological Sex,60321
628,body condition,Physiological condition,60321
629,social rank,Social factor,60321
630,ranging behavior,Behavior,60321
631,home range productivity,ecological factor,60321
632,day range,ecological feature,60321
633,fecal samples,fecal sample,60321
634,mixed models,statistical mixed models,60321
635,dataset,biological dataset,60321
636,dry seasons,Environmental factor,60321
637,desert population,Population,60321
638,spatial scales,spatial scale,60321
639,population level,Analytical scale,60321
640,group level,Analytical scale,60321
641,individual level,Analytical scale,60321
642,effect size,statistical measure,60321
643,"Phocascaris cystophorae Berland, 1964",species,59994
644,Nematoda,Phylum,59994
645,Anisakidae,Family,59994
646,hooded seal,species,59994
647,Cystophora cristata,Species,59994
648,Scanning electron microscopy (SEM),Imaging Technique,59994
649,surface morphological characteristics,Morphological Characteristic,59994
650,excretory pore,anatomical structure,59994
651,interlabia knobs,Anatomical structure,59994
652,lips and adjacent structures,Anatomical structure,59994
653,caudal papillae and papilla-like structures,Anatomical structure,59994
654,stomach,organ,59994
655,Phocascaris,Genus,59994
656,Contracaecum osculatum (sensu lato),Nematode species,59994
657,phocid seals,Host,59994
658,eastern spotted skunks,animal,60365
659,Spilogale putorius,species,60365
660,parasites,parasitic organism,60365
661,Nematoda,Phylum,60365
662,Protozoa,Parasite,60365
663,survey,ResearchStudy,60365
664,western Arkansas,geographic location,60365
665,west-central Arkansas,Region,60365
666,March 2005 to January 2007,Time Period,60365
667,29,Number,60365
668,82,Number,60365
669,4.1 +/- 2.1,parasite count,60365
670,endoparasite community,parasite community,60365
671,ecology of the species,species ecology,60365
672,chamois,species,60360
673,Rupicapra rupicapra rupicapra,species,60360
674,gastrointestinal helminths,gastrointestinal helminths,60360
675,lungworm larvae,parasite,60360
676,steroid hormone,hormone,60360
677,testosterone,steroid hormone,60360
678,epiandrosterone,steroid hormone,60360
679,cortisol,steroid hormone,60360
680,oestrogen,steroid hormone,60360
681,enzyme immunoassays (EIA),laboratory technique,60360
682,non-invasive methods,method,60360
683,one year,Time,60360
684,throughout a year,time period,60360
685,Gastrointestinal helminths,Helminth,60352
686,Florida panthers,species,60352
687,Puma concolor coryi,Biological Organism,60352
688,Alaria marcianae,Trematode,60352
689,Spirometra mansonoides,tapeworm,60352
690,Ancylostoma pluridentatum,Parasitic nematode species,60352
691,Ancylostoma caninum,Ancylostoma caninum,60352
692,Taenia omissa,tapeworm,60352
693,Mesocestoides sp.,Cestode,60352
694,anthelmintic treatment,Therapeutic Protocol,60352
695,necropsy,animal autopsy,60352
696,six counties in southern Florida,Geographic Region,60352
697,1978-1983,Time Period,60352
698,1996-2003,Time period,60352
699,Forrester et al. (1985),ResearchPaper,60352
700,coyotes,species,60155
701,Canis latrans,species,60155
702,lungworms,parasite,60155
703,Filaroides osleri,species,60155
704,Capillaria aerophila,species,60155
705,trachea,organ,60155
706,bronchial trees,Anatomical Structure,60155
707,cysts,Parasitic Cyst,60155
708,mucus,respiratory mucus,60155
709,Oklahoma,U.S. state,60155
710,Colorado,Location,60155
711,Wyoming,State,60155
712,Iowa,State,60155
713,South Dakota,U.S. state,60155
714,Nebraska,Geographical location,60155
715,Texas,state,60155
716,Kansas,state,60155
717,395,Count,60155
718,60,Number,60155
719,68,BiologicalSampleCount,60155
720,17%,Prevalence,60155
721,151,Number,60155
722,38%,Prevalence,60155
723,6%,Prevalence,60155
724,195,Number of coyotes,60155
725,49%,prevalence,60155
726,field examinations,method,60155
727,cysts of Filaroides osleri,parasitic cyst,60155
728,Capillaria aerophila infections,infectious disease,60155
729,coyote carcasses,biological specimen,60155
730,Eurasian lynx,Host,60242
731,Lynx lynx,hosts,60242
732,Estonia,Geographical Region,60242
733,helminths,helminth,60242
734,Diphyllobothrium latum,tapeworm,60242
735,5%,Measurement,60242
736,Taenia pisiformis,tapeworm species,60242
737,100%,Measurement,60242
738,Taenia laticollis,Helminth,60242
739,41%,Measurement,60242
740,Taenia hydatigena,tapeworm,60242
741,3%,Measurement,60242
742,Taenia taeniaeformis,Helminth,60242
743,Toxocara cati,Helminth,60242
744,68%,Measurement,60242
745,Trichinella spp.,Parasite,60242
746,22%,Measurement,60242
747,37 carcasses,BiologicalSample,60242
748,1999-2001,Time Period,60242
749,61 fecal samples,biological,60242
750,eggs of T. cati,Helminth egg,60242
751,38 samples,Measurement,60242
752,Capillaria spp.,Parasitic Nematode,60242
753,8 samples,Measurement,60242
754,snow tracking,ecological technique,60242
755,European mink,species,60035
756,Mustela lutreola,species,60035
757,Aleutian Disease Virus,virus,60035
758,ADV,Virus,60035
759,Navarra,Administrative region,60035
760,Spain,Country,60035
761,February-March 2004 and 2005,Time Period,60035
762,September-December 2004,Time period,60035
763,blood samples,biological sample,60035
764,plasma samples,Biological Sample,60035
765,84,Number,60035
766,93,Number,60035
767,gamma globulin levels,Laboratory or clinical measurement,60035
768,9.6%,Prevalence,60035
769,23,Number,60035
770,traumatic and hemorrhagic lesions,Pathological Feature,60035
771,canine distemper virus,Virus,60035
772,pulmonary adiaspiromycosis,disease,60035
773,negative,Serology test result,60035
774,necropsies,procedure,60035
775,Elaeophorosis,disease,60186
776,Elaeophora elaphi,Parasite,60186
777,red deer,deer,60186
778,Cervus elaphus,species,60186
779,Toledo Province,Province,60186
780,Spain,Country,60186
781,October 1994 and September 1995,Time period,60186
782,151 red deer,sample size,60186
783,two to 18 nematodes per host,Measurement,60186
784,hepatic vessels,Hepatic blood vessel,60186
785,fall through early spring,Season,60186
786,sex or age groups,demographic factor,60186
787,fallow deer,species,60186
788,Dama dama,fallow deer,60186
789,blood samples,Measurement,60186
790,microfilariae,Measurement,60186
791,Parafilaroides normani,species,60142
792,Parafilaroides,Genus,60142
793,Nematoda,Phylum,60142
794,Filaroididae,Family,60142
795,Arctocephalus pusillus doriferus,Host,60142
796,Australian fur seal,species,60142
797,Arctocephalus forsteri,Host,60142
798,New Zealand fur seal,species,60142
799,Arctocephalus tropicalis,Host,60142
800,sub-Antarctic fur seal,species,60142
801,Carnivora,Order,60142
802,Otariidae,Family,60142
803,lung,organ,60142
804,Australia,Species,60142
805,New Zealand,Geographical Region,60142
806,South Africa,Country,60142
807,body size,Measurement,60142
808,spicule shape,Measurement,60142
809,spicule size,Measurement,60142
810,vulva to anus length,Measurement,60142
811,vaginal sphincter musculature,anatomical structure,60142
812,Brugia beaveri,parasitic nematode,60342
813,filaria,parasite,60342
814,raccoons,Host,60342
815,Procyon lotor,Host,60342
816,Louisiana,state,60342
817,microfilariae,parasite larva,60342
818,mosquitoes,Host,60342
819,domestic cat,Host,60342
820,jirds,Host,60342
821,Meriones unguiculatus,Host,60342
