"","entity","deepseek","gemma2","llama","llama70b","mistral","models_present","n_entity_types"
"31","34%","Measurement",NA,NA,NA,"Percentage",2,2
"32","14 positive/55 sampled","Measurement",NA,NA,NA,NA,1,1
"33","9%","Measurement","Prevalence",NA,NA,"Percentage",3,3
"34","4/55","Measurement",NA,NA,NA,NA,1,1
"35","3%","Measurement",NA,NA,"Prevalence",NA,2,2
"36","1/28","Measurement",NA,NA,NA,NA,1,1
"37","2%","Measurement","Prevalence",NA,NA,"Percentage",3,3
"38","1/36","Measurement",NA,NA,NA,NA,1,1
"39","9/16","Measurement",NA,NA,NA,NA,1,1
"40","5/26","Measurement",NA,NA,NA,NA,1,1
"41","Herpesvirus","Virus genus","Virus","Phocine herpesvirus","Virus","causes",5,4
"42","Pacific harbor seals","Species",NA,NA,NA,NA,1,1
"43","Phoca vitulina richardsi","subspecies","Subspecies","Species","Subspecies of mammal","Host",5,5
"44","adrenal necrosis","Disease","Disease",NA,"Disease","Pathological Condition",4,2
"45","sepsis","Disease","Disease","Disease","Disease","Disease",5,1
"46","bacterial omphalophlebitis","Disease","Disease","Disease","Disease","Disease",5,1
"47","gastroenteritis","Disease","Disease","Disease","Disease","Disease",5,1
"48","thymic atrophy","Disease","Disease","Thymic disorder","Disease","Disease",5,2
"49","lymphopenia","Hematologic disorder","Blood condition","Hematological Abnormality","Disease or Syndrome","Pathological Condition",5,5
"50","intranuclear inclusion bodies","Viral inclusion body",NA,NA,"Viral inclusion bodies","Pathological finding",3,3
"51","viral particles","Herpesviridae",NA,"Viral capsids","Virion","Pathogen",4,4
"52","adrenal glands","Tissue","Tissue","Organ","Tissue","Organ",5,2
"53","liver","Tissue","Tissue","Organ","Tissue","Organ",5,2
"54","thymus","Tissue",NA,NA,NA,NA,1,1
"55","lymphocytes","immune cell",NA,NA,NA,NA,1,1
"56","phocine adrenal cell lines","Phocine (seal) adrenal cell line","Cell Culture",NA,NA,NA,2,2
"57","phocine kidney cell lines","biological entity",NA,NA,NA,NA,1,1
"58","cytopathic effect","pathological process","Biological Phenomenon","Viral cytopathic effect",NA,"Pathological finding",4,4
"59","coastal California","geographical region",NA,NA,NA,"Geographical Location",2,2
"60","74 of 162 (45%)","Statistical measure",NA,NA,NA,NA,1,1
"61","24","Number","Number of species","Number","Number of species","Year",5,3
"62","42 of 95 (44%)","prevalence",NA,NA,NA,NA,1,1
"63","32 of 67 (47%)","Statistical Measure",NA,NA,NA,NA,1,1
"64","0 to 63 days","Time Range","Duration",NA,"Duration","Time Period",4,3
"65","below average birth weight","Sign or Symptom","Physical characteristic",NA,NA,NA,2,2
"66","Channel Islands","Archipelago",NA,"Geographic Region",NA,"Geographical Location",3,3
"67","California","state","Geographic Location",NA,"AdministrativeRegion",NA,3,3
"68","serologic survey","serologic survey",NA,NA,"Research Study","Scientific Study",3,3
"69","194","Count","Number of individuals",NA,"Quantity","Quantity",4,3
"70","canine parvovirus","virus","Virus","Viral pathogen","Virus","Virus",5,3
"71","canine herpesvirus","Canid herpesvirus 1","Virus","Virus","Virus","Virus",5,2
"72","canine coronavirus","virus","Virus","virus","Virus","Virus",5,2
"73","59%","Prevalence",NA,NA,"Percentage","Prevalence",3,2
"74","pestivirus","Genus","Virus",NA,"Virus","Virus",4,2
"75","Pyrenean Chamois","subspecies","Animal","Species","Species","Animal Species",5,4
"76","Rupicapra pyrenaica pyrenaica","LLM_Default_Classification","Animal Species","Species","Subspecies","Animal Species",5,4
"77","Spain","Country",NA,"Country",NA,NA,2,1
"78","northeastern Spain","geographical region","Geographic Location","Geographic Region",NA,NA,3,3
"79","previously unreported disease","disease",NA,NA,NA,NA,1,1
"80","noncoding regions","genomic region","Viral genomic regions",NA,"BiologicalRegion","Genomic region",4,4
"81","border disease virus cluster","virus cluster",NA,"Viral cluster",NA,NA,2,2
"82","16 of 17 chamois","Organism Count",NA,NA,NA,NA,1,1
"83","82.1% to 88.1%","Prevalence",NA,NA,"Percentage range",NA,2,2
"84","2001-02","Date","Temporal Expression","Time period","TimePeriod","YearRange",5,5
"85","southern chamois","species","Animal","Rupicapra pyrenaica (species)","Species","Animal species",5,5
"86","Rupicapra pyrenaica","species","Animal Species","Species","Species","Species",5,3
"87","border disease virus","Pestivirus","Virus","Virus","Virus","Virus",5,2
"88","central Pyrenees","geographical region","Geographic Location","Mountain range","MountainRange","Geographical Location",5,5
"89","NE Spain","Geographical","Geographic Location","Administrative Region","GeographicRegion","Geographical Location",5,5
"90","2002","Year","Year","Year","Year","Year",5,1
"91","42%","Percentage","Percentage","Percentage","Percentage","Percentage",5,1
"92","20","Number",NA,NA,"Quantity",NA,2,2
"93","depression","Disease","Mental disorder",NA,"Disease or Syndrome","Mental disorder",4,3
"94","movement difficulties","Paresis","Clinical sign",NA,"Sign or Symptom","Symptom",4,4
"95","abnormal behaviour","Symptom","Clinical sign",NA,"Sign or Symptom","Symptom",4,3
"96","alopecia","symptom","Symptom",NA,"Disease or Syndrome","Symptom",4,3
"97","skin hyperpigmentation","Disease Symptom","Clinical sign",NA,"Disease or Syndrome","Symptom",4,4
"98","cachexia","syndrome","Disease symptom","Clinical condition","Disease or Syndrome","Symptom",5,5
"99","abscesses","Pathological finding","lesion","Subcutaneous abscesses","Disease or Syndrome","Medical Condition",5,5
"100","subcutaneous infection","viral infection","Infectious disease","Subcutaneous abscess","Disease or Syndrome","Disease",5,5
"101","orchitis","Disease","Disease","Inflammation of the testes","Disease","Disease",5,2
"102","edema","symptom","Clinical finding","Brain edema","Disease or Syndrome","Medical Condition",5,5
"103","espongiosis","disease","Disease","Pathological process/Neurological disorder/White matter lesion","Disease or Syndrome","Disease",5,4
"104","northern elephant seal","Host",NA,"Mammal","Species","Animal",4,4
"105","Mirounga angustirostris","Host",NA,NA,NA,NA,1,1
"106","California sea lion","Host",NA,"Mammal","Species","Animal",4,4
"107","Zalophus californianus","Host",NA,NA,NA,NA,1,1
"108","nephrolithiasis","disease","Disease",NA,NA,"Disease",3,2
"109","nephroliths","Other","Kidney stones",NA,NA,"Pathological condition",3,3
"110","uric acid","Metabolite","metabolite","Organic compound",NA,"Biochemical compound",4,4
"111","ammonium urate","chemical compound","Crystalline compound","Biological Compound",NA,"Chemical Compound",4,4
"112","kidneys","Kidney","Anatomical Structures",NA,NA,NA,2,2
"113","renal pelvic dilation","pathological finding","Anatomical Abnormality","Urological anatomical abnormality",NA,"Medical Condition",4,4
"114","pyelonephritis","disease","Disease or Syndrome","Bacterial kidney infection",NA,"Disease",4,4
"115","hydronephrosis","urinary system disease","Disease or Syndrome","Kidney disease",NA,"Medical Condition",4,4
"116","necropsy examination","pathological examination",NA,NA,NA,NA,1,1
"117","routine necropsy examination","Biomedical Procedure",NA,NA,NA,NA,1,1
"118","1-10 mm","Measurement","Length",NA,"SizeRange","SizeRange",4,3
"119","1-15 mm","Size range","Length",NA,"DiameterRange","SizeRange",4,4
"120","diameter","measurement",NA,NA,NA,"Measurement",2,2
"121","HGE agent","Ehrlichia chaffeensis",NA,NA,"Ehrlichia chaffeensis","Pathogen",3,2
"122","Ehrlichia-like organism","Bacterium","Unidentified Ehrlichia species",NA,"Bacterium","Bacterium",4,2
"123","Ixodes scapularis","tick","Tick","Tick species","Tick species","Organism",5,4
"124","coastal Georgia","geographical region","Geographic Location","Geographic Region","Geographic Region","Geographical Location",5,4
"125","serologic techniques","Technique",NA,NA,NA,NA,1,1
"126","molecular techniques","Technique",NA,NA,NA,NA,1,1
"127","culture techniques","Technique",NA,NA,NA,NA,1,1
"128","indirect fluorescent antibody testing","Technique",NA,"Method",NA,"Technique",3,2
"129","nested polymerase chain reaction","Technique",NA,"Method",NA,"Technique",3,2
"130","species-specific primers","biological reagent",NA,NA,NA,NA,1,1
"131","16S rDNA fragments","Molecule",NA,NA,"Gene Fragment","Measurement",3,3
"132","geometric mean titer","Measurement",NA,NA,"Measurement","Measurement",3,1
"133","111","Measurement","Geometric mean titer",NA,"Titer Value","Measurement",4,3
"134","1,024","Measurement","Geometric Mean Titer",NA,"Titer value","Measurement",4,3
"135","inguinal lymph node","inguinal lymph node","Anatomical Structure","Lymph node, inguinal",NA,NA,3,3
"136","neutrophil","neutrophil","leukocyte","Granulocyte","Blood cell","Tissue",5,5
"137","Ehrlichia-type morula","Molecule",NA,NA,"Intracellular inclusion","Bacterial structure",3,3
"138","blood smears","biological sample","Diagnostic specimen","Biological sample","BiologicalSample","Tissue",5,5
"139","antibodies to Ehrlichia chaffeensis","Antibody",NA,NA,NA,NA,1,1
"140","Pathogenic agents","Pathogenic agents",NA,NA,NA,NA,1,1
"141","Free-living wild species","Host",NA,NA,NA,NA,1,1
"142","535 sera","BiologicalSample",NA,NA,NA,NA,1,1
"143","Eight species of wildlife","Host",NA,NA,NA,NA,1,1
"144","1987","Year",NA,"Year","Year","Year",4,1
"145","1989","Year",NA,"Year","Year","Year",4,1
"146","Foot-and-mouth disease","Disease",NA,NA,NA,NA,1,1
"147","Bovine herpes virus types 1 and 2","Virus",NA,NA,NA,NA,1,1
"148","Lumpy skin disease","Disease",NA,NA,NA,NA,1,1
"149","Bovine viral diarrhoea","Disease",NA,NA,NA,NA,1,1
"150","Akabane","Disease","Virus","Disease","Disease","Disease",5,2
"151","Bovine ephemeral fever","Disease",NA,NA,NA,NA,1,1
"152","Bluetongue","Disease",NA,NA,NA,NA,1,1
"153","Enzootic bovine leucosis","Disease",NA,NA,NA,NA,1,1
"154","African horse sickness","Disease","Disease","Disease","Disease","Disease",5,1
"155","African swine fever viruses","virus",NA,NA,NA,NA,1,1
"156","Brucella abortus","bacterium","Bacteria","Bacterial species","Bacterium species","Bacterium",5,5
"157","Buffalo","Host",NA,NA,NA,NA,1,1
"158","Syncerus caffer","Host","Host",NA,"Host","Host",4,1
"159","Wildebeest","Host",NA,NA,NA,NA,1,1
"160","Connochaetes taurinus","Host","Host","hosts","Host","Host",5,2
"161","Topi","Host",NA,NA,NA,NA,1,1
"162","Damaliscus korrigum","Host","Host","hosts","Host","Host",5,2
"163","Zebra","Host","Animal","Equus quagga","Equus quagga","Animal species",5,4
"164","Wart hog","Host",NA,NA,NA,NA,1,1
"165","Bacterial valvular endocarditis","Disease","Disease",NA,NA,NA,2,1
"166","black bear","Ursidae","Animal","Ursus americanus",NA,"Animal",4,3
"167","Ursus americanus","species","Animal",NA,"Species","Animal species",4,4
"168","coagulase-positive Staphylococcus aureus","Bacterium","Pathogen",NA,NA,NA,2,2
"169","northern Labrador","geographical region",NA,"Geographic Region","GeographicRegion",NA,3,3
"170","Canada","Country","Geographic Location","Country","Country","Geopolitical Entity",5,3
"171","fall 1991","time period","Time Expression","Season","Season","Temporal Event",5,4
"172","death","animal death",NA,NA,"BiologicalProcess","Event",3,3
"173","radio-collared","adjective","Animal Tracking Device","Animal with tracking device","Device","Animal tracking device",5,5
"174","infection dissemination","Disease dissemination",NA,NA,NA,NA,1,1
"175","first reported case","Event",NA,NA,NA,NA,1,1
"176","parainfluenza 3 virus","virus","Virus","Viral pathogen","Virus species","Virus",5,4
"177","Bison bison","species","Animal","Species","Species","Animal species",5,4
"178","Delta bison","population","Animal subspecies","Wild animal population","Bison herd","Animal species",5,5
"179","Delta Junction, Alaska (USA)","Geographical location",NA,NA,NA,NA,1,1
"180","Serum antibody prevalence","Biological measure",NA,NA,"Measurement",NA,2,2
"181","0%","Prevalence","Percentage","Percentage","Percentage","Percentage",5,2
"182","1977 to 1984","Time period",NA,NA,NA,"Time Period",2,2
"183","Domestic cattle","Domestic mammal",NA,"Bos taurus",NA,NA,2,2
"184","Infection","Disease",NA,"Bacterial infection",NA,NA,2,2
"185","Clinical disease","Disease",NA,"Infectious disease",NA,NA,2,2
"186","Decrease in productivity","Disease outcome",NA,NA,NA,NA,1,1
"187","Rocky Mountain cougars","Mammal","Animal Species",NA,"Puma concolor","Animal species",4,4
"188","Puma concolor","species",NA,"Species","Species","hosts",4,3
"189","1990-2004","Time Period","Time Period","Date range","Time Period","Time Period",5,2
"190","207","Number","Number of cougars","Number of cougars","Count of Organisms","Number of cougars",5,3
"191","four populations","Biological Population","Animal populations","Wild animal populations","BiologicalPopulation","Geographic or Demographic Group",5,5
"192","feline immunodeficiency virus (FIV)","lentivirus",NA,NA,NA,NA,1,1
"193","feline parvovirus (FPV)","virus",NA,NA,NA,NA,1,1
"194","feline coronavirus (FCoV)","Coronavirus",NA,NA,NA,NA,1,1
"195","feline calicivirus (FCV)","virus",NA,NA,NA,NA,1,1
"196","feline herpesvirus (FHV)","Virus",NA,NA,NA,NA,1,1
"197","Yersinia pestis","Pathogen","Bacterium","Bacterium","Bacterium","Bacterium",5,2
"198","serologic data","biological data",NA,NA,NA,NA,1,1
"199","family membership","Genetic factor","Demographic Factor",NA,"SocialFactor","Social Group",4,4
"200","location","Rocky Mountains","Geographic location","Property","GeographicLocation","Geographical region",5,5
"201","endemic","Population attribute",NA,NA,NA,NA,1,1
"202","sporadic","Disease Occurrence Pattern",NA,NA,NA,NA,1,1
"203","exposure risk","Risk Factor",NA,NA,NA,NA,1,1
"204","Hawaiian monk seal","endangered species","Animal","Mammal","Species","Animal species",5,5
"205","Monachus schauinslandi","species","Animal Species","hosts","hosts","hosts",5,3
"206","northwestern Hawaiian Islands","Geographical Region","Geographic Location","geographic region","GeographicLocation:IslandGroup","Geographical Location",5,5
"207","1997","Year","Year","Year","Year","Year",5,1
"208","25%","Measurement",NA,"Proportion",NA,"Percentage",3,3
"209","332 animals","Measurement","Hawaiian monk seals","Hawaiian monk seal population",NA,"Quantity",4,4
"210","bacteria","Pathogenic bacterium",NA,NA,NA,"Organism",2,2
"211","phocine herpesvirus-1","Virus","Virus","Virus","Virus","Virus",5,1
"212","enzyme-linked immunosorbent assay","Test",NA,"Test","Laboratory Test","Test",4,2
"213","virus neutralization test","Test","Test","Test","Laboratory test","Test",5,2
"214","Leptospira bratislava","Bacterium","Bacteria","Bacterial pathogen","Bacterium species","Bacterium",5,4
"215","L. hardjo","Leptospira hardjo","Bacteria","Bacterium","Bacterium species",NA,4,4
"216","L. icterohaemorrhagiae","Leptospira serovar","Bacteria","Bacterium","Bacterium species",NA,4,4
"217","L. pomona","Leptospira species","Bacteria","Leptospira pomona","Bacterium species",NA,4,4
"218","microagglutination test","Test","Test","Test","Laboratory Test","Test",5,2
"219","Brucella spp.","Pathogen","Bacteria","Bacterial pathogen","Bacterium","Bacteria",5,4
"220","conventional serologic tests","Test",NA,"Test",NA,"Test",3,1
"221","B. canis","Bacteria","Bacteria","Borrelia canis","Babesia canis",NA,4,3
"222","card test","Test","Test","Test","Diagnostic test","Test",5,2
"223","Chlamydophila abortus","Pathogen","Bacteria","Bacterial pathogen","Bacterium species","Bacterium",5,5
"224","complement fixation (CF) test","Test","Test","Test",NA,"Test",4,1
"225","Dirofilaria immitis","Parasite","Parasite","Nematode parasite","Nematode parasite species","Parasitic nematode",5,4
"226","morbilliviruses","Virus","Virus","Morbillivirus","Virus","Virus",5,2
"227","influenza A virus","Virus","Virus","Viral pathogen","Virus","Virus",5,2
"228","caliciviruses","virus","Virus","Calicivirus","Virus","Virus",5,3
"229","polymerase reaction","Technique",NA,NA,NA,NA,1,1
"230","Ehrlichia sp.-like organism","Bacteria",NA,NA,NA,"Bacterium",2,2
"231","human granulocytic ehrlichiosis (HGE)","Disease","Disease",NA,NA,NA,2,1
"232","agent of human granulocytic ehrlichiosis (HGE)","bacterium",NA,NA,NA,NA,1,1
"233","16S rDNA sequence","Genetic Marker",NA,NA,"Gene sequence",NA,2,2
"234","DGA","Primer","Primer","Primer","Primer","Primer",5,1
"235","GA1UR","Primer","Primer","Primer","Primer","Primer",5,1
"236","DCH","Primer","Primer","Primer","Primer","Primer",5,1
"237","GE9f","Primer","Primer","Primer","Primer","Primer",5,1
"238","nested polymerase chain reactions","Technique",NA,NA,"Laboratory Technique",NA,2,2
"239","control samples","reference sample",NA,NA,NA,NA,1,1
"240","white blood cells","Cell","leukocytes",NA,"CellType","biological sample",4,4
"241","deer","Host","Organism",NA,NA,NA,2,2
"242","E. chaffeensis-reactive antibodies","Antibody",NA,NA,"Antibody",NA,2,1
"243","indirect fluorescence assays","Technique","Laboratory Technique","Process","Laboratory Technique","Process",5,3
"244","serologic cross-reactions","Challenge",NA,NA,NA,"Process",2,2
"245","Anthrax","Disease","Disease","Bacterial disease","Disease","Disease",5,2
"246","Luangwa Valley","river valley","Geographic Location","Geographical Region","GeographicRegion","Geographical Location",5,5
"247","Zambia","country","Country","Country","Country","Country",5,2
"248","hippos","wildlife",NA,NA,NA,"Animal species",2,2
"249","Hippopotamus amphibius","Host","Host","Host","Host","Host",5,1
"250","Cape buffalo","species","Animal","Mammal","Species","Animal species",5,5
"251","elephant","animal","animal","Loxodonta africana",NA,"Animal",4,3
"252","Loxodonta africana","Host","Host","Host","Host","Host",5,1
"253","Bacillus anthracis","Bacterium","Bacterium","Bacterial pathogen","Bacterium species","Bacterium",5,3
"254","4000 deaths","DeathCount",NA,NA,NA,NA,1,1
"255","June","Month",NA,"Month",NA,"Month",3,1
"256","November","Month",NA,NA,"Time","Month",3,2
"257","August","Month","Time Period",NA,"Time","Month",4,3
"258","September","Month",NA,NA,"Time","Month",3,2
"259","1988","Year",NA,NA,"Year","Year",3,1
"260","100 km","Measurement","Distance","Distance","Distance","Distance",5,2
"261","up-river","geographical region",NA,NA,NA,"Directional Location",2,2
"262","August 1989","Date","DATE","Date",NA,NA,3,2
"263","field study","epidemiological study","Research Method",NA,NA,NA,2,2
"264","environmental contamination","biological contamination",NA,NA,NA,NA,1,1
"265","risks to people","Disease transmission risk",NA,NA,NA,NA,1,1
"266","methods of control","disease control",NA,NA,NA,"BiomedicalProcedure",2,2
"267","local laboratory staff","Health Professional",NA,"Organism",NA,"Organism",3,2
"268","continued monitoring","Public health measure",NA,NA,NA,NA,1,1
"269","enzootic status","Disease Presence",NA,NA,NA,"Disease status",2,2
"270","Borrelia burgdorferi","bacterium","Bacteria","Bacterial pathogen","Bacterium species","Bacterium",5,5
"271","black-tailed jackrabbit","Host","Mammal","Mammal","Species","Mammal",5,3
"272","Lepus californicus californicus","Host","Host","Species","Subspecies of Mammal","Animal",5,4
"273","Columbian black-tailed deer","Host","Mammal","Mammal","Organism - Species - Mammal - Deer","Mammal",5,3
"274","Odocoileus hemionus columbianus","Host","Host","Taxon","Subspecies of deer","Animal species",5,4
"275","Dermacentor occidentalis","Tick","Tick species","Species of tick","Tick species","Organism",5,4
"276","D. parumapertus","Tick","Host","Species of tick","Tick species","Organism",5,5
"277","Ixodes neotomae","Tick","Tick species","Species of tick","Tick species","Organism",5,4
"278","I. pacificus","Tick","Host","Species of tick","Tick species","Organism",5,5
"279","Haemaphysalis leporispalustris","Tick","Tick","Tick species","Tick species","Organism",5,3
"280","indirect immunofluorescence","serological technique","Procedure",NA,"Laboratory technique",NA,3,3
"281","direct immunofluorescence","immunofluorescence technique","Procedure",NA,"Laboratory Technique",NA,3,3
"282","H9724","Borrelia burgdorferi strain",NA,"Monoclonal antibody","Monoclonal Antibody",NA,3,3
"283","H5332","Borrelia burgdorferi strain",NA,"Monoclonal antibody","Monoclonal Antibody",NA,3,3
"284","spirochetes","Borrelia burgdorferi",NA,NA,NA,NA,1,1
"285","Lyme borreliosis","disease","Disease","Disease","Disease","Disease",5,2
"286","northern California","region","Geographic Location",NA,"GeographicRegion",NA,3,3
"287","73","Total number","Number",NA,NA,NA,2,2
"288","58","Count",NA,NA,NA,NA,1,1
"289","79%","Prevalence","Percentage",NA,NA,NA,2,2
"290","26","Identifier",NA,NA,NA,NA,1,1
"291","4%","Percentage","Percentage",NA,NA,NA,2,1
"292","20%","Percentage","Percentage","Percentage",NA,"Percentage",4,1
"293","174","Number","Strain or isolate of Borrelia burgdorferi",NA,NA,NA,2,2
"294","1%","Percentage","Percentage",NA,NA,NA,2,1
"295","40","Count","Percentage",NA,"Count","Number",4,3
"296","15%","Percentage","Percentage",NA,NA,NA,2,1
"297","Social organization","Animal social behavior",NA,NA,"Property",NA,2,2
"298","Movement","Animal movement",NA,NA,"Property",NA,2,2
"299","European badger","Host","Animal","Mammal",NA,"Animal species",4,4
"300","Meles meles","Host","Host","Species of mammal","Species","Species",5,3
"301","Bovine tuberculosis","Bacterial disease",NA,"Disease","Disease",NA,3,2
"302","Mycobacterium bovis","Pathogen",NA,NA,NA,NA,1,1
"303","British cattle","Host","Host","Organism","Bos taurus (Domestic Cattle)","Animal",5,4
"304","Bos taurus","Host",NA,NA,NA,NA,1,1
"305","South-west England","Geographical region",NA,NA,"GeographicRegion",NA,2,2
"306","Incidence","Measurement",NA,NA,"Disease incidence",NA,2,2
"307","Social group","Clique",NA,NA,"Population",NA,2,2
"308","Group size reduction","Population control",NA,NA,"Process",NA,2,2
"309","Individual movement","Animal behavior",NA,NA,NA,NA,1,1
"310","Demographic processes","Population dynamics",NA,NA,"Process",NA,2,2
"311","Disease dynamics","Epidemiological factor",NA,NA,"Process",NA,2,2
"312","Long-term intensive study","Research project",NA,NA,NA,NA,1,1
"313","Culture of clinical samples","Microbiological culture",NA,NA,NA,NA,1,1
"314","Group size","Measurement",NA,"Measurement","Quantity",NA,3,2
"315","Proportion of females","Measurement",NA,NA,NA,NA,1,1
"316","Males","Genus",NA,NA,NA,NA,1,1
"317","Social structure","Biological attribute",NA,NA,NA,NA,1,1
"318","Culling","Disease control measure",NA,NA,NA,NA,1,1
"319","Clostridium perfringens","Bacterium","Bacteria","Bacterium","Bacterium species","Bacterium",5,3
"320","polar bears","animal","Animal Model","Mammal","Organism",NA,4,4
"321","Ursus maritimus","species","Species","Species","Species","Animal species",5,3
"322","Svalbard Archipelago","Archipelago","Geographical Location",NA,"GeographicLocation:IslandGroup","Geographical Location",4,3
"323","Norway","Country","Country","Country","Country","Geopolitical Entity",5,2
"324","40 of 92 samples","ratio",NA,NA,NA,NA,1,1
"325","44%","Prevalence","Prevalence","Percentage","Percentage","Percentage",5,2
"326","toxin type","bacterial toxin type",NA,NA,NA,NA,1,1
"327","beta2-toxin","beta2-toxin","Bacterial toxin","Toxin","Toxin","Toxin",5,3
"328","gastrointestinal tract","anatomical structure","organ system","anatomical structure","Anatomical Structure","Anatomical Structure",5,3
"329","fatal diseases","Fatal Disease",NA,"Infectious diseases","Disease or Disorder Class","Medical Condition",4,4
"330","Ehrlichiosis","Disease",NA,NA,NA,NA,1,1
"331","1982-1992","Time period",NA,NA,NA,NA,1,1
"332","300","Sample Number",NA,"Number","Count","Numerical Value",4,4
"333","125","Figure","Serum sample identifier","Serum antibody titer","Sample ID","Page number",5,5
"334","30","Serum sample ID",NA,"Number of collection areas",NA,NA,2,2
"335","150","Numerical value","Number","Number of items or values","Count","Numerical Value",5,5
"336","121","Reference citation","Ratio","Ratios/Proportions","RatioDenominator","Numerical Value",5,5
"337","6.7%","Prevalence rate","Percentage","Proportion","Percentage","Percentage",5,3
"338","2.7%","numeric","Percentage","Proportion","Percentage","Percentage",5,3
"339","41.7%","percentage","Percentage","Proportion","Percentage","Percentage",5,3
"340","80.7%","Prevalence","Percentage","Percentage","Percentage","Percentage",5,2
"341","fluorescent antibody analysis","fluorescent antibody technique","Laboratory Technique",NA,"Laboratory Technique","Laboratory Technique",4,2
"342","Staphylococcus aureus","Strain",NA,NA,NA,"Bacterial species",2,2
"343","human-associated Staphylococcus aureus","bacteria",NA,NA,NA,NA,1,1
"344","great apes","Host",NA,NA,NA,NA,1,1
"345","western lowland gorilla","Host","Animal",NA,NA,NA,2,2
"346","chimpanzees","Host","Primate","Primate",NA,NA,3,2
"347","spa-type t148","spa type",NA,"Staphylococcus aureus spa type",NA,"Bacterial genetic marker",3,3
"348","staphylococcal sepsis","Disease","Infectious Disease","Bacterial sepsis","Disease or Syndrome","Disease",5,4
"349","Gabon","country","Geographic Location","Country","Country","Country",5,3
"350","International Centre for Medical Research of Franceville","Research Institution","Medical Research Institute","Research Institute","Research Institute","Research Institution",5,3
"351","primate facility","primate research facility","Research laboratory","Primate research facility",NA,"Research Institution",4,4
"352","Leptospira licerasiae serovar Varillal","Serovar",NA,NA,"Bacterial serovar","Bacterial Pathogen",3,3
"353","human","Host",NA,NA,NA,"Host",2,1
"354","Homo sapiens","Host",NA,NA,NA,NA,1,1
"355","Rattus species","Host","Rodent",NA,NA,"Host",3,2
"356","Rattus norvegicus","Host","Rodent","Species","Host","Host",5,3
"357","Rattus rattus","Host",NA,NA,NA,"Host",2,1
"358","Peruvian Amazon","Geographical Region","Geographic Location","Geographic Region","Geographic Region","Geographical Location",5,4
"359","Iquitos region","Geographical region","Geographic Location","Geographic Region","GeographicRegion","Geographical location",5,5
"360","urban","environmental","Geographic Location",NA,NA,NA,2,2
"361","peri-urban","geographical","Geographic Location",NA,NA,NA,2,2
"362","rural","Geographical","Geographic Location",NA,NA,NA,2,2
"363","serological typing","Technique","Technique","Measurement",NA,NA,3,2
"364","16S ribosomal RNA gene sequencing","Technique",NA,NA,NA,NA,1,1
"365","pulsed-field gel electrophoresis","Technique","Technique","Measurement",NA,"Technique",4,2
"366","DNA-DNA hybridization","Technique",NA,NA,NA,NA,1,1
"367","microscopic agglutination test (MAT)","Technique",NA,NA,NA,NA,1,1
"368","Southern blot hybridization","Technique","Technique","Measurement",NA,NA,3,2
"369","Western immunoblot","Technique","Technique","Measurement",NA,NA,3,2
"370","LipL32","antigen","Protein","Protein","Protein",NA,4,2
"371","27 kDa","Measurement","Protein size","Measurement",NA,NA,3,2
"372","32 kDa","Measurement","Protein size","Measurement",NA,NA,3,2
"373","2/45","Measurement",NA,NA,NA,NA,1,1
"374","1:100","Measurement",NA,NA,NA,NA,1,1
"375","30%","Measurement","Percentage","Percentage","Prevalence","Percentage",5,3
